Time	Knee_Ankle_Angle_right_4.81 X
6.760000	81.48191071	
6.780000	80.88809204	
6.800000	80.30924225	
6.820000	79.70483398	
6.840000	79.02202606	
6.860000	78.21775818	
6.880000	77.18947601	
6.900000	76.08582306	
6.920000	74.75802612	
6.940000	73.29119110	
6.960000	71.35892487	
6.980000	69.12828064	
7.000000	66.49648285	
7.020000	63.66911316	
7.040000	60.70193481	
7.060000	57.67131042	
7.080000	54.55109787	
7.100000	51.14582825	
7.120000	47.40862274	
7.140000	43.50053406	
7.160000	39.71248245	
7.180000	36.52733612	
7.200000	34.40690231	
7.220000	33.55527496	
7.240000	33.81107712	
7.260000	35.01320267	
7.280000	37.22958755	
7.300000	40.52774048	
7.320000	44.79159546	
7.340000	49.77261353	
7.360000	55.33535004	
7.380000	61.44520950	
7.400000	68.11731720	
7.420000	75.19531250	
7.440000	82.58119202	
7.460000	90.11849213	
7.480000	97.56150818	
7.500000	104.48728943	
7.520000	109.99192047	
7.540000	113.00215149	
7.560000	112.75195313	
7.580000	109.90613556	
7.600000	106.27381134	
7.620000	102.40615082	
7.640000	98.02822876	
7.660000	93.38455200	
7.680000	89.56449890	
7.700000	87.43701935	
7.720000	86.09857178	
7.740000	84.90683746	
7.760000	83.51586914	
7.780000	82.32278442	
7.800000	81.63256073	
7.820000	81.34700775	
7.840000	81.11507416	
7.860000	80.68732452	
7.880000	80.13663483	
7.900000	79.62695313	
7.920000	79.11901855	
7.940000	78.55313110	
7.960000	77.69823456	
7.980000	76.78030396	
8.000000	75.65466309	
8.020000	74.51508331	
8.040000	73.17543793	
8.059999	71.54946899	
8.080000	69.58823395	
8.099999	67.32501221	
8.120000	64.77629089	
8.139999	62.00566864	
8.160000	59.06901169	
8.179999	56.05151367	
8.200000	52.98756027	
8.220000	49.43015671	
8.240000	45.51976395	
8.260000	41.39101791	
8.280000	37.82922363	
8.300000	35.14855957	
8.320000	33.78956223	
8.340000	33.51480865	
8.360000	34.31373215	
8.380000	36.04950714	
8.400000	38.87533951	
8.420000	42.65736008	
8.440000	47.27805710	
8.460000	52.56474686	
8.480000	58.42219543	
8.500000	64.72148895	
8.520000	71.43357086	
8.540000	78.53423309	
8.559999	86.03510284	
8.580000	93.55382538	
8.599999	100.57354736	
8.620000	106.43640137	
8.639999	110.36411285	
8.660000	111.80818176	
8.679999	110.55007172	
8.700000	107.54168701	
8.720000	103.89588928	
8.740000	99.53549194	
8.760000	94.94246674	
8.780000	90.73670197	
8.800000	88.06377411	
8.820000	86.52292633	
8.840000	85.26525116	
8.860000	83.90601349	
8.880000	82.58055878	
8.900000	81.68615723	
8.920000	81.13809967	
8.940000	80.76139832	
8.960000	80.21877289	
8.980000	79.74886322	
9.000000	79.35546112	
9.020000	79.07456207	
9.040000	78.73719025	
9.059999	78.26926422	
9.080000	77.72587585	
9.099999	77.01013947	
9.120000	76.12382507	
9.139999	75.02297974	
9.160000	73.65480042	
9.179999	72.05506897	
9.200000	69.98357391	
9.220000	67.67543793	
9.240000	65.08452606	
9.260000	62.36722183	
9.280000	59.56066513	
9.300000	56.53005981	
9.320000	53.21684647	
9.340000	49.41143799	
9.360000	45.20481491	
9.380000	41.04665375	
9.400000	37.47329330	
9.420000	35.00067139	
9.440000	33.71944046	
9.460000	33.51804733	
9.480000	34.30887985	
9.500000	36.10494995	
9.520000	38.96821594	
9.540000	42.79554749	
9.559999	47.47029877	
9.580000	52.77113342	
9.599999	58.66319275	
9.620000	65.14553070	
9.639999	72.23432922	
9.660000	79.86677551	
9.679999	87.93014526	
9.700000	95.95622253	
9.719999	103.35211182	
9.740000	109.17556000	
9.760000	112.59123230	
9.780000	113.02625275	
9.800000	110.65080261	
9.820000	107.06772614	
9.840000	103.02022552	
9.860000	98.71389008	
9.880000	94.44944000	
9.900000	91.01511383	
9.920000	88.99272156	
9.940000	87.75183868	
9.960000	86.47461700	
9.980000	85.08280182	
10.000000	83.83666992	
10.020000	83.18302917	
10.040000	82.85943604	
10.059999	82.56159210	
10.080000	82.05541992	
10.099999	81.55171967	
10.120000	81.10428619	
10.139999	80.62052155	
10.160000	80.09208679	
10.179999	79.22623444	
10.200000	78.25164032	
10.219999	77.02999115	
10.240000	75.79077148	
10.260000	74.45499420	
10.280000	72.93724823	
10.300000	71.13784790	
10.320000	68.87385559	
10.340000	66.30776978	
10.360000	63.51656723	
10.380000	60.66083145	
10.400000	57.78946686	
10.420000	54.73199844	
10.440000	51.35872269	
10.460000	47.45917130	
10.480000	43.43999863	
10.500000	39.52777863	
10.520000	36.39362335	
10.540000	34.24412918	
10.559999	33.26661682	
10.580000	33.29917908	
10.599999	34.33528519	
10.620000	36.52251434	
10.639999	39.71879196	
10.660000	43.83753586	
10.679999	48.69897461	
10.700000	54.20985031	
10.719999	60.26786804	
10.740000	66.79190826	
10.760000	73.88108826	
10.780000	81.29795837	
10.800000	89.14441681	
10.820000	96.79042816	
10.840000	103.66847229	
10.860000	108.73907471	
10.880000	111.34340668	
10.900000	111.05446625	
10.920000	108.35385895	
10.940000	104.62519836	
10.960000	100.58065796	
10.980000	96.50880432	
11.000000	92.78327179	
11.020000	90.04093170	
11.040000	88.51165771	
11.059999	87.35742950	
