Time	Referenz_left_y_baseline X
12.139999	-0.00786641	
12.160000	-0.00159961	
12.179999	0.00492847	
12.200000	0.00783926	
12.219999	0.01138410	
12.240000	0.01245779	
12.259999	0.01588084	
12.280000	0.01859355	
12.300000	0.02295485	
12.320000	0.02501263	
12.340000	0.02800563	
12.360000	0.02950011	
12.380000	0.03123681	
12.400000	0.03172110	
12.420000	0.03128448	
12.440000	0.03048806	
12.460000	0.02774622	
12.480000	0.02396117	
12.500000	0.01645105	
12.520000	0.00694767	
12.540000	-0.00742373	
12.559999	-0.01844652	
12.580000	-0.02642022	
12.599999	-0.02771138	
12.620000	-0.02865587	
12.639999	-0.02869900	
12.660000	-0.02869900	
12.679999	-0.02865604	
12.700000	-0.02865587	
12.719999	-0.02869900	
12.740000	-0.02822313	
12.759999	-0.02625564	
12.780000	-0.02091885	
12.799999	-0.01430486	
12.820000	-0.00586861	
12.840000	0.00078024	
12.860000	0.00917237	
12.880000	0.01578248	
12.900000	0.02319406	
12.920000	0.02748629	
12.940000	0.03267318	
12.960000	0.03552216	
12.980000	0.03893341	
13.000000	0.03996146	
13.020000	0.04082729	
13.040000	0.04068714	
13.059999	0.03908956	
13.080000	0.03760873	
13.099999	0.03401066	
13.120000	0.03149892	
13.139999	0.02637167	
13.160000	0.01988994	
13.179999	0.00640863	
13.200000	-0.00999038	
13.219999	-0.02293871	
13.240000	-0.02851640	
13.259999	-0.02840589	
13.280000	-0.02825126	
13.299999	-0.02782390	
13.320000	-0.02740397	
13.340000	-0.02238721	
13.360000	-0.01351568	
13.380000	-0.00039199	
13.400000	0.01110077	
13.420000	0.02095184	
13.440000	0.02721830	
13.460000	0.03110677	
13.480000	0.03250995	
13.500000	0.03314298	
13.520000	0.03318846	
13.540000	0.03108437	
13.559999	0.02894928	
13.580000	0.02544454	
13.599999	0.02385589	
13.620000	0.01821032	
13.639999	0.00928523	
13.660000	-0.00737184	
13.679999	-0.02003449	
13.700000	-0.02791201	
13.719999	-0.02787410	
13.740000	-0.02802891	
13.759999	-0.02833733	
13.780000	-0.02831291	
13.799999	-0.02806731	
13.820000	-0.02548735	
13.840000	-0.02173010	
13.860000	-0.01509742	
13.880000	-0.00752868	
13.900000	0.00183423	
13.920000	0.00942099	
13.940000	0.01579931	
13.960000	0.01929918	
13.980000	0.02325167	
14.000000	0.02519085	
14.020000	0.02687180	
14.040000	0.02703217	
14.059999	0.02520348	
14.080000	0.02107833	
14.099999	0.01142925	
14.120000	-0.00035679	
14.139999	-0.01477939	
14.160000	-0.02372570	
