Time	Left_Forefoot_y_baseline X
7.520000	0.00057706	
7.540000	-0.00719923	
7.560000	-0.01157284	
7.580000	-0.01215214	
7.600000	-0.01215214	
7.620000	-0.00991154	
7.640000	-0.00308748	
7.660000	0.00870594	
7.680000	0.02028665	
7.700000	0.02559070	
7.720000	0.02452348	
7.740000	0.01909065	
7.760000	0.01095724	
7.780000	-0.00157961	
7.800000	-0.01091293	
7.820000	-0.01570126	
7.840000	-0.01474264	
7.860000	-0.01319158	
7.880000	-0.00860566	
7.900000	-0.00043051	
7.920000	0.00928359	
7.940000	0.01599573	
7.960000	0.01880656	
7.980000	0.01710472	
8.000000	0.01405710	
8.020000	0.00750130	
8.040000	-0.00331746	
8.059999	-0.01277110	
8.080000	-0.01842982	
8.099999	-0.01734817	
8.120000	-0.01668209	
8.139999	-0.01422137	
8.160000	-0.00756395	
8.179999	0.00354095	
8.200000	0.01447819	
8.220000	0.02232258	
8.240000	0.02565941	
8.260000	0.02690397	
8.280000	0.02513485	
8.300000	0.01932104	
8.320000	0.00869545	
8.340000	-0.00329730	
8.360000	-0.01118550	
8.380000	-0.01429421	
8.400000	-0.01487410	
8.420000	-0.01311731	
8.440000	-0.00768471	
8.460000	0.00246137	
8.480000	0.01151390	
8.500000	0.01857123	
8.520000	0.02084063	
8.540000	0.02043003	
8.559999	0.01891929	
8.580000	0.01292734	
8.599999	0.00403568	
8.620000	-0.00585470	
8.639999	-0.01122230	
8.660000	-0.01205441	
8.679999	-0.01194477	
8.700000	-0.00775135	
8.720000	-0.00117703	
8.740000	0.00774692	
8.760000	0.01261981	
8.780000	0.01103891	
8.800000	0.00456971	
8.820000	-0.00496376	
8.840000	-0.01067677	
8.860000	-0.01504874	
8.880000	-0.01616102	
8.900000	-0.01607442	
8.920000	-0.01299658	
8.940000	-0.00539349	
8.960000	0.00418112	
8.980000	0.01460512	
9.000000	0.02073140	
9.020000	0.02111895	
9.040000	0.01847023	
9.059999	0.01093586	
9.080000	0.00038226	
9.099999	-0.00891238	
9.120000	-0.01399550	
9.139999	-0.01359397	
9.160000	-0.01400086	
9.179999	-0.01435015	
9.200000	-0.01242387	
9.220000	-0.00602522	
9.240000	0.00252309	
9.260000	0.01049028	
9.280000	0.01393019	
9.300000	0.01588403	
9.320000	0.01599264	
9.340000	0.01427042	
9.360000	0.01044235	
9.380000	0.00174572	
9.400000	-0.00582096	
9.420000	-0.01153272	
9.440000	-0.01263165	
9.460000	-0.01217496	
9.480000	-0.01193902	
9.500000	-0.00856966	
9.520000	-0.00417568	
9.540000	-0.00052144	
9.559999	0.00030348	
9.580000	-0.00468954	
9.599999	-0.00894305	
9.620000	-0.01348245	
9.639999	-0.01402718	
9.660000	-0.01402718	
9.679999	-0.01348245	
9.700000	-0.01010141	
9.719999	-0.00386012	
