Time	Referenz_left_y_velocity X
4.440000	0.10709529	
4.460000	0.06433263	
4.480000	0.01907447	
4.500000	-0.02079158	
4.520000	-0.06667000	
4.540000	-0.12540582	
4.560000	-0.23921619	
4.580000	-0.40609735	
4.600000	-0.56274813	
4.620000	-0.63581997	
4.640000	-0.59947067	
4.660000	-0.47556639	
4.680000	-0.29398626	
4.700000	-0.12188015	
4.720000	-0.01968511	
4.740000	0.00454703	
4.760000	0.00080547	
4.780000	-0.00078877	
4.800000	-0.00139611	
4.820000	-0.00162075	
4.840000	-0.00170867	
4.860000	-0.00044722	
4.880000	0.00151178	
4.900000	0.00215880	
4.920000	0.00109257	
4.940000	-0.00052322	
4.960000	-0.00248073	
4.980000	-0.00380079	
5.000000	-0.00229757	
5.020000	0.00092251	
5.040000	0.00472038	
5.060000	0.00816534	
5.080000	0.01344165	
5.100000	0.02458157	
5.120000	0.05822639	
5.140000	0.11414471	
5.160000	0.18872792	
5.180000	0.27110827	
5.200000	0.34839118	
5.220000	0.39673290	
5.240000	0.41515601	
5.260000	0.40930259	
5.280000	0.38111529	
5.300000	0.32921550	
5.320000	0.26621404	
5.340000	0.20623559	
5.360000	0.14303289	
5.380000	0.08714276	
5.400000	0.03713852	
5.420000	-0.00501213	
5.440000	-0.05861481	
5.460000	-0.12916023	
5.480000	-0.24486883	
5.500000	-0.41523996	
5.520000	-0.57733446	
5.540000	-0.65610629	
5.560000	-0.62342131	
5.580000	-0.50231546	
5.600000	-0.31778532	
5.620000	-0.13433528	
5.640000	-0.02104006	
5.660000	0.00705799	
5.680000	-0.00175623	
5.700000	-0.00332525	
5.720000	-0.00287530	
5.740000	-0.00119725	
5.760000	-0.00035465	
5.780000	-0.00016627	
5.800000	0.00034105	
5.820000	0.00077952	
5.840000	0.00083434	
5.860000	0.00064323	
5.880000	0.00039749	
5.900000	0.00015050	
5.920000	-0.00002719	
5.940000	0.00000000	
5.960000	0.00000012	
5.980000	0.00000000	
6.000000	0.00000012	
6.020000	-0.00025295	
6.040000	0.00125257	
6.060000	0.00438758	
6.080000	0.00794132	
6.100000	0.01646193	
6.120000	0.05386351	
6.140000	0.13650340	
6.160000	0.25877216	
6.180000	0.38110465	
6.200000	0.47058809	
6.220000	0.49947372	
6.240000	0.46707049	
6.260000	0.38613203	
6.280000	0.29168117	
6.300000	0.21283233	
6.320000	0.15459694	
6.340000	0.10908838	
6.360000	0.06549871	
6.380000	0.03459738	
6.400000	0.00582654	
6.420000	-0.01905591	
6.440000	-0.06130422	
6.460000	-0.13525009	
6.480000	-0.26683870	
6.500000	-0.43741611	
6.520000	-0.57925159	
6.540000	-0.63325059	
6.560000	-0.58144420	
6.580000	-0.44643676	
6.600000	-0.26466787	
6.620000	-0.10503346	
6.640000	-0.01503191	
6.660000	0.00648182	
6.680000	0.00164919	
6.700000	-0.00194870	
6.720000	-0.00367214	
6.740000	-0.00264980	
6.760000	-0.00086576	
6.780000	0.00077455	
6.800000	0.00256120	
6.820000	0.00346421	
6.840000	0.00245360	
6.860000	0.00052514	
6.880000	-0.00014355	
6.900000	0.00019632	
6.920000	0.00030131	
6.940000	0.00019502	
6.960000	-0.00001658	
6.980000	-0.00072699	
7.000000	0.00145274	
7.020000	0.01559505	
7.040000	0.06070960	
7.060000	0.14782920	
7.080000	0.27282983	
7.100000	0.39191765	
7.120000	0.47093630	
7.140000	0.48576692	
7.160000	0.44466895	
7.180000	0.36444667	
7.200000	0.28199941	
7.220000	0.22157422	
7.240000	0.18282637	
7.260000	0.15122867	
7.280000	0.11680190	
7.300000	0.08806837	
7.320000	0.05814599	
7.340000	0.03631834	
7.360000	0.00499952	
7.380000	-0.04851717	
7.400000	-0.15282588	
7.420000	-0.32058147	
7.440000	-0.51857799	
7.460000	-0.66303456	
7.480000	-0.69321316	
7.500000	-0.60764444	
7.520000	-0.43947005	
7.540000	-0.24367760	
7.560000	-0.08531620	
7.580000	-0.01167741	
7.600000	0.00071637	
7.620000	-0.00000664	
7.640000	0.01878042	
7.660000	0.06073314	
7.680000	0.13375711	
7.700000	0.23076265	
7.720000	0.34105417	
7.740000	0.43795627	
7.760000	0.49784595	
7.780000	0.49931225	
7.800000	0.44837973	
7.820000	0.36775076	
7.840000	0.27405819	
7.860000	0.18680777	
7.880000	0.09869941	
7.900000	0.01638587	
7.920000	-0.06614462	
7.940000	-0.13007180	
7.960000	-0.17774794	
7.980000	-0.22006883	
8.000000	-0.31069213	
8.020000	-0.43414176	
8.040000	-0.53379107	
8.059999	-0.56557536	
8.080000	-0.51683891	
8.099999	-0.39562398	
8.120000	-0.22259942	
8.139999	-0.07698185	
8.160000	-0.00714690	
8.179999	0.00026276	
8.200000	0.00528606	
8.220000	0.01074423	
8.240000	0.03556924	
8.260000	0.08995169	
8.280000	0.18699291	
8.300000	0.29989246	
8.320000	0.40657866	
8.340000	0.47791889	
8.360000	0.49755448	
8.380000	0.45888039	
8.400000	0.38070625	
8.420000	0.29597291	
8.440000	0.20808233	
8.460000	0.13153833	
8.480000	0.05767517	
8.500000	0.00149949	
8.520000	-0.05479366	
8.540000	-0.11224599	
8.559999	-0.19677435	
8.580000	-0.32535115	
8.599999	-0.47794116	
8.620000	-0.58639139	
8.639999	-0.59957695	
8.660000	-0.52167618	
8.679999	-0.37385193	
8.700000	-0.20405953	
8.720000	-0.06707643	
8.740000	-0.00538658	
8.760000	0.00437815	
8.780000	0.00146211	
8.800000	0.01603731	
8.820000	0.05603741	
8.840000	0.13325228	
8.860000	0.23095581	
8.880000	0.32606325	
8.900000	0.38038397	
8.920000	0.38254607	
8.940000	0.33454725	
8.960000	0.25463256	
8.980000	0.17276251	
9.000000	0.11381068	
9.020000	0.08534265	
9.040000	0.06773786	
9.059999	0.05704672	
9.080000	0.04631205	
9.099999	0.03696232	
9.120000	0.01927526	
9.139999	0.00222213	
9.160000	-0.04058262	
9.179999	-0.13672219	
9.200000	-0.29228878	
9.220000	-0.44243675	
9.240000	-0.52564502	
9.260000	-0.51437926	
9.280000	-0.41563857	
9.300000	-0.26080894	
9.320000	-0.10636482	
9.340000	-0.01655680	
9.360000	0.00823158	
9.380000	0.00336648	
9.400000	0.00869961	
9.420000	0.01670469	
9.440000	0.04221280	
9.460000	0.09544438	
9.480000	0.17933701	
9.500000	0.26672757	
9.520000	0.33407670	
9.540000	0.35779592	
9.559999	0.34037659	
9.580000	0.29103085	
9.599999	0.22963575	
9.620000	0.17611463	
9.639999	0.13274483	
9.660000	0.09878739	
9.679999	0.06571937	
9.700000	0.04088324	
9.719999	0.02528782	
9.740000	0.02174563	
9.760000	0.01247879	
9.780000	-0.00936904	
9.800000	-0.06282302	
9.820000	-0.15913428	
9.840000	-0.30374259	
9.860000	-0.44278872	
9.880000	-0.51104569	
9.900000	-0.48373902	
9.920000	-0.38338706	
9.940000	-0.24137127	
9.960000	-0.09879503	
9.980000	-0.01112055	
10.000000	0.01041907	
10.020000	0.00168122	
10.040000	0.00013827	
10.059999	0.00164596	
10.080000	0.00569143	
10.099999	0.00840959	
10.120000	0.03075934	
10.139999	0.08406866	
10.160000	0.16919306	
10.179999	0.26162070	
10.200000	0.34116724	
10.219999	0.37784687	
10.240000	0.35775179	
10.260000	0.29132900	
10.280000	0.20959070	
