Time	Hip_right_4.81 X
3.940000	92.23056793	
3.960000	94.97132111	
3.980000	97.38990784	
4.000000	99.53874969	
4.020000	101.49092865	
4.040000	103.31802368	
4.060000	104.91488647	
4.080000	106.11294556	
4.100000	106.70552826	
4.120000	106.76246643	
4.140000	106.50076294	
4.160000	106.02658844	
4.180000	105.51033783	
4.200000	105.06699371	
4.220000	105.02129364	
4.240000	105.34877014	
4.260000	105.79988861	
4.280000	106.05784607	
4.300000	106.39839935	
4.320000	106.67025757	
4.340000	106.53653717	
4.360000	105.56351471	
4.380000	103.84837341	
4.400000	102.05218506	
4.420000	100.24141693	
4.440000	98.52891541	
4.460000	96.49876404	
4.480000	94.29552460	
4.500000	91.87770081	
4.520000	89.75437164	
4.540000	87.77986908	
4.560000	86.15217590	
4.580000	84.35108948	
4.600000	82.71662140	
4.620000	81.18827820	
4.640000	79.96674347	
4.660000	78.75459290	
4.680000	77.59692383	
4.700000	76.36149597	
4.720000	75.19522858	
4.740000	74.06925964	
4.760000	72.98525238	
4.780000	71.89379883	
4.800000	70.88558960	
4.820000	70.16851044	
4.840000	69.72728729	
4.860000	69.77072906	
4.880000	70.20893860	
4.900000	71.35275269	
4.920000	72.92778778	
4.940000	74.92458344	
4.960000	76.98635864	
4.980000	79.42262268	
5.000000	82.08281708	
5.020000	85.04276276	
5.040000	87.83744812	
5.060000	90.56719971	
5.080000	92.93728638	
5.100000	95.03838348	
5.120000	96.78818512	
5.140000	98.43207550	
5.160000	100.08519745	
5.180000	101.64453888	
5.200000	102.94752502	
5.220000	103.90217590	
5.240000	104.39877319	
5.260000	104.45836639	
5.280000	104.17115021	
5.300000	103.67028046	
5.320000	103.33973694	
5.340000	103.34761810	
5.360000	103.93536377	
5.380000	104.77606964	
5.400000	105.69132233	
5.420000	106.68515015	
5.440000	107.38185120	
5.460000	107.17851257	
5.480000	105.76355743	
5.500000	103.89026642	
5.520000	102.17366791	
5.540000	100.64220428	
5.560000	98.89710999	
5.580000	96.76782990	
5.600000	94.51071167	
5.620000	92.32305908	
5.640000	90.55258942	
5.660000	88.93430328	
5.680000	87.55197144	
5.700000	85.83686066	
5.720000	84.22462463	
5.740000	82.50563049	
5.760000	80.98491669	
5.780000	79.33699799	
5.800000	77.71103668	
5.820000	76.15625763	
5.840000	74.96724701	
5.860000	73.90086365	
5.880000	72.98733521	
5.900000	72.01420593	
5.920000	71.25664520	
5.940000	70.72300720	
5.960000	70.54407501	
5.980000	70.76184845	
6.000000	71.47011566	
6.020000	72.76364899	
6.040000	74.48222351	
6.060000	76.53284454	
6.080000	78.83786774	
6.100000	81.63262177	
6.120000	84.63297272	
6.140000	87.70056915	
6.160000	90.55516815	
6.180000	93.52941132	
6.200000	96.29570770	
6.220000	98.90103149	
6.240000	101.00533295	
6.260000	102.90865326	
6.280000	104.58375549	
6.300000	105.93894196	
6.320000	106.81382751	
6.340000	106.96331024	
6.360000	106.73020172	
6.380000	106.27445221	
6.400000	106.01950073	
6.420000	105.97618103	
6.440000	106.34487152	
6.460000	107.01502991	
6.480000	107.60691833	
6.500000	108.13233185	
6.520000	108.66284180	
6.540000	109.13524628	
6.560000	109.02285004	
6.580000	107.87760162	
6.600000	105.97158051	
6.620000	103.99298096	
6.640000	102.36794281	
6.660000	100.79322052	
6.680000	98.93955231	
6.700000	96.71784210	
6.720000	94.49817657	
6.740000	92.10571289	
6.760000	89.97158813	
6.780000	88.12614441	
6.800000	86.77543640	
6.820000	85.01676941	
6.840000	83.06131744	
6.860000	80.94808960	
6.880000	79.20357513	
6.900000	77.53108215	
6.920000	76.09105682	
6.940000	74.75212860	
6.960000	73.72206879	
6.980000	72.69940186	
7.000000	71.78299713	
7.020000	70.92666626	
7.040000	70.31779480	
7.060000	69.98316193	
7.080000	70.06994629	
7.100000	70.66978455	
7.120000	71.90644836	
7.140000	73.61232758	
7.160000	75.62715912	
7.180000	77.93420410	
7.200000	80.42383575	
7.220000	83.39522552	
7.240000	86.47597504	
7.260000	89.65591431	
