Time	Step_Length_2_4.81 X
7.780000	-0.49956089	
7.800000	-0.43517613	
7.820000	-0.36841291	
7.840000	-0.29863852	
7.860000	-0.22536039	
7.880000	-0.14777946	
7.900000	-0.06606579	
7.920000	0.02249169	
7.940000	0.11590731	
7.960000	0.21496868	
7.980000	0.31603938	
8.000000	0.42016745	
8.020000	0.52292693	
8.040000	0.62041461	
8.059999	0.70596939	
8.080000	0.77320904	
8.099999	0.81754577	
8.120000	0.83783853	
8.139999	0.84380656	
8.160000	0.84244508	
8.179999	0.83550078	
8.200000	0.81920135	
8.220000	0.79272383	
8.240000	0.75939417	
8.260000	0.71931630	
8.280000	0.67291582	
8.300000	0.62195349	
8.320000	0.56591940	
8.340000	0.50595695	
8.360000	0.44070399	
8.380000	0.37361354	
8.400000	0.30406338	
8.420000	0.23271942	
8.440000	0.15793300	
8.460000	0.07782829	
8.480000	-0.00787711	
8.500000	-0.09873474	
8.520000	-0.19357556	
8.540000	-0.29120100	
8.559999	-0.39073467	
8.580000	-0.48887318	
8.599999	-0.58137679	
8.620000	-0.66283256	
8.639999	-0.72730213	
8.660000	-0.77195042	
8.679999	-0.79539454	
8.700000	-0.80235338	
8.720000	-0.79900384	
8.740000	-0.78786981	
8.760000	-0.77008885	
8.780000	-0.74301773	
8.800000	-0.70937240	
8.820000	-0.66814363	
8.840000	-0.62234128	
8.860000	-0.57135737	
8.880000	-0.51636171	
8.900000	-0.45617235	
8.920000	-0.39293969	
8.940000	-0.32605165	
8.960000	-0.25808913	
8.980000	-0.18658710	
9.000000	-0.11128807	
9.020000	-0.03278780	
9.040000	0.05408835	
9.059999	0.14463103	
9.080000	0.24233705	
9.099999	0.33943045	
9.120000	0.43896627	
9.139999	0.53610486	
9.160000	0.62735230	
9.179999	0.70670938	
9.200000	0.76906371	
9.220000	0.81100696	
9.240000	0.83169746	
9.260000	0.83907557	
9.280000	0.83587211	
9.300000	0.82423705	
9.320000	0.80186641	
9.340000	0.77542305	
9.360000	0.74319571	
9.380000	0.70556015	
9.400000	0.65882087	
9.420000	0.60653794	
9.440000	0.54894024	
9.460000	0.48620051	
9.480000	0.42040533	
9.500000	0.35150629	
9.520000	0.28070843	
9.540000	0.20629597	
9.559999	0.12834430	
9.580000	0.04534531	
9.599999	-0.04221225	
9.620000	-0.13543665	
9.639999	-0.23379374	
9.660000	-0.33654433	
9.679999	-0.44096166	
9.700000	-0.54253590	
9.719999	-0.63652664	
9.740000	-0.71625191	
9.760000	-0.77746302	
9.780000	-0.81686020	
9.800000	-0.83345389	
9.820000	-0.83591032	
9.840000	-0.82781690	
9.860000	-0.81432015	
9.880000	-0.79112160	
9.900000	-0.75999254	
9.920000	-0.72164637	
9.940000	-0.67734456	
9.960000	-0.62857801	
9.980000	-0.57375038	
10.000000	-0.51508552	
10.020000	-0.45159483	
10.040000	-0.38619143	
10.059999	-0.31728595	
10.080000	-0.24538887	
10.099999	-0.16988224	
10.120000	-0.09030724	
10.139999	-0.00496709	
10.160000	0.08508468	
10.179999	0.18031597	
10.200000	0.27947891	
10.219999	0.38237232	
10.240000	0.48536265	
10.260000	0.58382285	
10.280000	0.67334390	
10.300000	0.74906218	
10.320000	0.80403954	
10.340000	0.83490342	
10.360000	0.84608215	
10.380000	0.84826195	
10.400000	0.84441948	
10.420000	0.83265573	
10.440000	0.80930889	
10.460000	0.77986878	
10.480000	0.74472183	
10.500000	0.70337027	
10.520000	0.65563464	
10.540000	0.60222352	
10.559999	0.54470330	
10.580000	0.48188233	
10.599999	0.41577196	
10.620000	0.34812409	
10.639999	0.27877581	
10.660000	0.20664251	
10.679999	0.13035536	
10.700000	0.04771423	
10.719999	-0.04138041	
10.740000	-0.13620633	
10.760000	-0.23502988	
10.780000	-0.33627731	
10.800000	-0.43804985	
10.820000	-0.53639561	
10.840000	-0.62542242	
10.860000	-0.69992399	
10.880000	-0.75451040	
10.900000	-0.78698945	
10.920000	-0.79860693	
10.940000	-0.79847997	
10.960000	-0.79025739	
10.980000	-0.77623862	
11.000000	-0.75224602	
11.020000	-0.72108907	
11.040000	-0.68264413	
11.059999	-0.63929093	
11.080000	-0.59048766	
11.099999	-0.53706318	
11.120000	-0.47851342	
11.139999	-0.41551220	
11.160000	-0.35044235	
11.179999	-0.28285146	
11.200000	-0.21284401	
11.219999	-0.13947558	
11.240000	-0.06207705	
11.259999	0.02070117	
11.280000	0.10871518	
11.300000	0.20118064	
11.320000	0.29622221	
11.340000	0.39374906	
11.360000	0.49036634	
11.380000	0.58371103	
11.400000	0.66821063	
11.420000	0.73896444	
11.440000	0.78768641	
11.460000	0.81336457	
11.480000	0.82259542	
11.500000	0.82218593	
11.520000	0.81344163	
11.540000	0.79540449	
11.559999	0.76917481	
11.580000	0.73868662	
11.599999	0.70170414	
11.620000	0.65704864	
11.639999	0.60651672	
11.660000	0.54902440	
11.679999	0.48833191	
11.700000	0.42341071	
11.719999	0.35635734	
11.740000	0.28485692	
11.759999	0.20826125	
11.780000	0.12975550	
11.800000	0.04651272	
11.820000	-0.04233897	
11.840000	-0.13924217	
11.860000	-0.24076223	
11.880000	-0.34611982	
11.900000	-0.45339239	
11.920000	-0.55880880	
11.940000	-0.65731382	
11.960000	-0.74284172	
11.980000	-0.81029254	
12.000000	-0.85491621	
12.020000	-0.87576532	
12.040000	-0.87958246	
12.059999	-0.87446463	
12.080000	-0.86182314	
12.099999	-0.84154022	
12.120000	-0.81175512	
12.139999	-0.77544385	
12.160000	-0.73215902	
12.179999	-0.68294877	
12.200000	-0.62860262	
12.219999	-0.56939000	
12.240000	-0.50577867	
12.259999	-0.43984425	
12.280000	-0.37130988	
12.300000	-0.30009300	
12.320000	-0.22438622	
12.340000	-0.14379066	
12.360000	-0.05926585	
12.380000	0.03140628	
12.400000	0.12675470	
12.420000	0.22641629	
12.440000	0.32768863	
12.460000	0.42997789	
12.480000	0.53126335	
12.500000	0.62565714	
12.520000	0.70722705	
12.540000	0.76919270	
12.559999	0.80795157	
12.580000	0.82451117	
12.599999	0.83101141	
12.620000	0.83130491	
12.639999	0.82660067	
12.660000	0.81123483	
12.679999	0.78658074	
12.700000	0.75626099	
12.719999	0.72009563	
12.740000	0.67802459	
12.759999	0.62851924	
12.780000	0.57191002	
12.799999	0.51068062	
12.820000	0.44527256	
12.840000	0.37725204	
12.860000	0.30642033	
12.880000	0.23256087	
12.900000	0.15467417	
12.920000	0.07077873	
12.940000	-0.01933372	
12.960000	-0.11468714	
12.980000	-0.21463090	
13.000000	-0.31817585	
13.020000	-0.42423713	
13.040000	-0.52843934	
13.059999	-0.62627047	
13.080000	-0.71146894	
13.099999	-0.77809453	
13.120000	-0.82143444	
13.139999	-0.84069705	
13.160000	-0.84552950	
13.179999	-0.84182113	
13.200000	-0.83310133	
13.219999	-0.81522685	
13.240000	-0.78888488	
13.259999	-0.75491494	
13.280000	-0.71349108	
13.299999	-0.66464126	
13.320000	-0.60990149	
13.340000	-0.55194920	
13.360000	-0.49124104	
13.380000	-0.42796540	
13.400000	-0.36174083	
13.420000	-0.29249763	
13.440000	-0.22075337	
13.460000	-0.14437759	
13.480000	-0.06355429	
13.500000	0.02514887	
13.520000	0.11931926	
13.540000	0.21767205	
13.559999	0.31886667	
13.580000	0.42202502	
13.599999	0.52628422	
13.620000	0.62420905	
13.639999	0.71107352	
13.660000	0.77741134	
13.679999	0.81965661	
13.700000	0.83770579	
13.719999	0.84541738	
13.740000	0.84614581	
13.759999	0.84232807	
13.780000	0.82629269	
13.799999	0.80102301	
13.820000	0.77143037	
13.840000	0.73688316	
13.860000	0.69622159	
13.880000	0.64693385	
13.900000	0.59156299	
13.920000	0.53147113	
13.940000	0.46730036	
13.960000	0.39986199	
13.980000	0.32951874	
14.000000	0.25560486	
14.020000	0.17793882	
14.040000	0.09420240	
14.059999	0.00447845	
14.080000	-0.09160256	
14.099999	-0.19237602	
14.120000	-0.29750001	
14.139999	-0.40465236	
14.160000	-0.50967008	
14.179999	-0.60642856	
14.200000	-0.68836242	
14.219999	-0.75053787	
14.240000	-0.79156703	
14.259999	-0.80989951	
14.280000	-0.81373113	
14.299999	-0.80765897	
14.320000	-0.79774386	
14.340000	-0.77896309	
14.360000	-0.75167716	
14.380000	-0.71755755	
14.400000	-0.67830157	
14.420000	-0.63409483	
14.440000	-0.58396482	
14.460000	-0.52802324	
14.480000	-0.46763408	
14.500000	-0.40359950	
14.520000	-0.33741683	
14.540000	-0.26817042	
14.559999	-0.19514585	
14.580000	-0.11769557	
14.599999	-0.03768396	
14.620000	0.05064762	
14.639999	0.14313352	
14.660000	0.24138325	
14.679999	0.33847213	
14.700000	0.43706840	
14.719999	0.53418618	
14.740000	0.62599158	
14.759999	0.70620394	
14.780000	0.76912975	
14.799999	0.81022221	
14.820000	0.82912272	
14.839999	0.83649784	
14.860000	0.83419287	
14.880000	0.82387120	
14.900000	0.80241334	
14.920000	0.77588826	
14.940000	0.74741167	
14.960000	0.71257722	
14.980000	0.66941136	
15.000000	0.61883801	
15.020000	0.56286436	
15.040000	0.50280738	
15.059999	0.44059235	
15.080000	0.37631142	
15.099999	0.31048042	
15.120000	0.23859000	
15.139999	0.16428363	
15.160000	0.08222723	
15.179999	-0.00328553	
15.200000	-0.09574950	
15.219999	-0.19048476	
15.240000	-0.28899300	
15.259999	-0.38725221	
15.280000	-0.48408532	
15.299999	-0.57605284	
15.320000	-0.65951878	
15.339999	-0.72809887	
15.360000	-0.77655947	
15.380000	-0.80366325	
15.400000	-0.81307667	
15.420000	-0.81067777	
15.440000	-0.79926705	
15.460000	-0.78113997	
15.480000	-0.75751007	
15.500000	-0.72837406	
15.520000	-0.69359988	
15.540000	-0.65087849	
15.559999	-0.60338223	
15.580000	-0.54906398	
15.599999	-0.48772043	
15.620000	-0.42327017	
15.639999	-0.35405558	
15.660000	-0.28414893	
15.679999	-0.20744979	
15.700000	-0.12786698	
15.719999	-0.04447663	
15.740000	0.04825377	
15.759999	0.14693916	
15.780000	0.25354564	
15.799999	0.36091614	
15.820000	0.46895397	
15.839999	0.57355922	
15.860000	0.66823089	
15.880000	0.74719030	
15.900000	0.80290550	
15.920000	0.83290112	
15.940000	0.84410703	
15.960000	0.84577620	
15.980000	0.83634174	
16.000000	0.81839514	
16.020000	0.79143941	
16.039999	0.76482564	
16.059999	0.73022950	
16.080000	0.68721026	
16.100000	0.63339704	
16.119999	0.57426441	
16.139999	0.50978595	
16.160000	0.44304228	
16.180000	0.37216145	
16.199999	0.29851407	
16.219999	0.22053272	
16.240000	0.13912606	
16.260000	0.05219173	
16.279999	-0.04087615	
16.299999	-0.14146221	
16.320000	-0.24589169	
16.340000	-0.35397065	
16.359999	-0.46106291	
16.379999	-0.56452036	
