Time	Knee_Ankle_Angle_left_4.84 X
5.560000	110.63388062	
5.580000	112.43341827	
5.600000	114.48567963	
5.620000	116.81558228	
5.640000	119.37931061	
5.660000	122.20547485	
5.680000	125.27622986	
5.700000	128.63491821	
5.720000	132.27185059	
5.740000	136.19889832	
5.760000	140.26318359	
5.780000	144.18948364	
5.800000	147.56359863	
5.820000	150.01760864	
5.840000	151.24716187	
5.860000	151.08859253	
5.880000	149.56672668	
5.900000	146.82795715	
5.920000	143.05909729	
5.940000	138.38581848	
5.960000	132.96771240	
5.980000	126.94136047	
6.000000	120.43058777	
6.020000	113.50247955	
6.040000	106.30814362	
6.060000	99.08793640	
6.080000	92.16120911	
6.100000	85.98960114	
6.120000	81.16450500	
6.140000	78.22233582	
6.160000	77.27236938	
6.180000	78.19235229	
6.200000	80.61297607	
6.220000	83.98415375	
6.240000	87.53975677	
6.260000	90.77786255	
6.280000	93.51995087	
6.300000	95.78771210	
6.320000	97.55932617	
6.340000	98.93498230	
6.360000	100.06993866	
6.380000	101.06217957	
6.400000	101.90380096	
6.420000	102.63169861	
6.440000	103.28955078	
6.460000	103.95154572	
6.480000	104.61260223	
6.500000	105.31410980	
6.520000	106.09622192	
6.540000	107.03110504	
6.560000	108.11472321	
6.580000	109.36474609	
6.600000	110.77938843	
6.620000	112.37879181	
6.640000	114.19333649	
6.660000	116.28707886	
6.680000	118.68833923	
6.700000	121.40026855	
6.720000	124.38568115	
6.740000	127.64550781	
6.760000	131.18228149	
6.780000	134.99472046	
6.800000	138.94711304	
6.820000	142.79554749	
6.840000	146.12384033	
6.860000	148.57131958	
6.880000	149.81201172	
6.900000	149.70549011	
6.920000	148.26119995	
6.940000	145.65803528	
6.960000	142.07614136	
6.980000	137.66441345	
7.000000	132.52767944	
7.020000	126.80982971	
7.040000	120.60314941	
7.060000	114.01496124	
7.080000	107.11727142	
7.100000	100.12223816	
7.120000	93.25836182	
7.140000	86.92618561	
7.160000	81.67010498	
7.180000	78.09083557	
7.200000	76.47023773	
7.220000	76.74076080	
7.240000	78.66751862	
7.260000	81.77981567	
7.280000	85.35891724	
7.300000	88.72859192	
7.320000	91.61152649	
7.340000	93.99363708	
7.360000	95.85742950	
7.380000	97.25086975	
7.400000	98.35343170	
7.420000	99.30990601	
7.440000	100.12551880	
7.460000	100.78596497	
7.480000	101.35388184	
7.500000	101.93467712	
7.520000	102.61132813	
7.540000	103.40977478	
7.560000	104.37802124	
7.580000	105.54341888	
7.600000	106.88519287	
