Time	Right_Hand_y_baseline X
8.160000	-0.02848709	
8.179999	-0.02636701	
8.200000	-0.01848155	
8.220000	-0.00426871	
8.240000	0.00732386	
8.260000	0.00756240	
8.280000	-0.00646794	
8.300000	-0.02041489	
8.320000	-0.02831072	
8.340000	-0.02288228	
8.360000	-0.01007622	
8.380000	0.00934434	
8.400000	0.02335858	
8.420000	0.02401578	
8.440000	0.00749141	
8.460000	-0.01212257	
8.480000	-0.02547807	
8.500000	-0.02618080	
8.520000	-0.01859117	
8.540000	-0.00192195	
8.559999	0.01769149	
8.580000	0.02955127	
8.599999	0.02387094	
8.620000	0.00157034	
8.639999	-0.01827180	
8.660000	-0.02833736	
8.679999	-0.02171546	
8.700000	-0.00566715	
8.720000	0.01474649	
8.740000	0.03086334	
8.760000	0.03139043	
8.780000	0.01313531	
8.800000	-0.00920510	
8.820000	-0.02490377	
8.840000	-0.02537358	
8.860000	-0.01604748	
8.880000	0.00003791	
8.900000	0.01836294	
8.920000	0.02999812	
8.940000	0.02767855	
8.960000	0.00927353	
8.980000	-0.01143885	
9.000000	-0.02531838	
9.020000	-0.02617002	
9.040000	-0.01939440	
9.059999	-0.00384772	
9.080000	0.01340443	
9.099999	0.02335781	
9.120000	0.01658022	
9.139999	-0.00267357	
9.160000	-0.01957065	
9.179999	-0.02739376	
9.200000	-0.02162254	
9.220000	-0.00688356	
9.240000	0.01165831	
9.260000	0.02635205	
9.280000	0.02568448	
9.300000	0.00734329	
9.320000	-0.01300758	
9.340000	-0.02679104	
9.360000	-0.02528870	
9.380000	-0.01581395	
9.400000	0.00047958	
9.420000	0.01911640	
9.440000	0.02984732	
9.460000	0.02364022	
9.480000	0.00205594	
9.500000	-0.01791531	
9.520000	-0.02787948	
9.540000	-0.02124006	
9.559999	-0.00740886	
9.580000	0.01369727	
9.599999	0.02995664	
9.620000	0.03346783	
9.639999	0.01703721	
9.660000	-0.00579154	
9.679999	-0.02322030	
9.700000	-0.02605039	
9.719999	-0.01910627	
