Time	Left_Hand_y_baseline X
1.940000	0.00611401	
1.960000	0.02428532	
1.980000	0.03389466	
2.000000	0.03085387	
2.020000	0.01231194	
2.040000	-0.00875622	
2.060000	-0.02575147	
2.080000	-0.03069693	
2.100000	-0.02888483	
2.120000	-0.02046978	
2.140000	-0.00356257	
2.160000	0.01586962	
2.180000	0.03040880	
2.200000	0.03349406	
2.220000	0.02106827	
2.240000	-0.00106460	
2.260000	-0.02116537	
2.280000	-0.03095597	
2.300000	-0.03037608	
2.320000	-0.02490997	
2.340000	-0.01169258	
2.360000	0.00462013	
2.380000	0.01715982	
2.400000	0.01645553	
2.420000	0.00036114	
2.440000	-0.01638281	
2.460000	-0.02915162	
2.480000	-0.03093553	
2.500000	-0.02902472	
2.520000	-0.01767862	
2.540000	0.00224787	
2.560000	0.02178687	
2.580000	0.03095531	
2.600000	0.02471095	
2.620000	0.00240105	
2.640000	-0.01733303	
2.660000	-0.03052729	
2.680000	-0.03071207	
2.700000	-0.02750230	
2.720000	-0.01787645	
2.740000	-0.00158972	
2.760000	0.01399571	
2.780000	0.02294135	
2.800000	0.02128929	
2.820000	0.00674051	
2.840000	-0.01237869	
2.860000	-0.02814293	
2.880000	-0.03382701	
2.900000	-0.03204495	
2.920000	-0.02352166	
2.940000	-0.00683445	
2.960000	0.01147950	
2.980000	0.02359092	
3.000000	0.02208942	
3.020000	0.00419348	
3.040000	-0.01434177	
3.060000	-0.02823299	
3.080000	-0.02964431	
3.100000	-0.02270699	
3.120000	-0.00687397	
3.140000	0.01547742	
3.160000	0.03048098	
3.180000	0.03247678	
3.200000	0.01789308	
3.220000	-0.00500202	
3.240000	-0.02278101	
3.260000	-0.03069043	
3.280000	-0.03062749	
3.300000	-0.02420062	
3.320000	-0.01114112	
3.340000	0.00666308	
3.360000	0.01771665	
3.380000	0.01825285	
3.400000	0.00557101	
3.420000	-0.01230764	
3.440000	-0.02620196	
3.460000	-0.03146940	
3.480000	-0.03114802	
3.500000	-0.02595413	
3.520000	-0.01561260	
3.540000	0.00037199	
3.560000	0.01208359	
3.580000	0.01322997	
3.600000	-0.00083554	
3.620000	-0.01791102	
3.640000	-0.02961719	
3.660000	-0.03116065	
3.680000	-0.02487588	
3.700000	-0.00799584	
3.720000	0.01749629	
3.740000	0.04174733	
3.760000	0.05369675	
3.780000	0.04749876	
3.800000	0.02448875	
3.820000	-0.00434071	
3.840000	-0.02438968	
3.860000	-0.02945369	
3.880000	-0.02213031	
3.900000	-0.00778306	
3.920000	0.00983679	
3.940000	0.02488744	
3.960000	0.03207713	
3.980000	0.02674913	
4.000000	0.00772917	
4.020000	-0.01406795	
4.040000	-0.02867931	
4.060000	-0.03091705	
4.080000	-0.02467048	
4.100000	-0.01018506	
4.120000	0.01170152	
4.140000	0.03318101	
4.160000	0.04556835	
4.180000	0.04090732	
4.200000	0.01757342	
4.220000	-0.00930482	
4.240000	-0.02752483	
4.260000	-0.02766299	
4.280000	-0.01727992	
4.300000	0.00147009	
4.320000	0.02074516	
4.340000	0.03573787	
4.360000	0.03948039	
4.380000	0.02903426	
4.400000	0.00294459	
4.420000	-0.01978958	
4.440000	-0.03277576	
4.460000	-0.02931309	
4.480000	-0.02057809	
4.500000	-0.00284284	
4.520000	0.01999623	
4.540000	0.04130608	
4.560000	0.05339634	
4.580000	0.04999214	
4.600000	0.02908069	
4.620000	-0.00034308	
4.640000	-0.02234423	
4.660000	-0.02863473	
4.680000	-0.02024138	
4.700000	-0.00399363	
4.720000	0.01450872	
4.740000	0.02874255	
4.760000	0.03249240	
4.780000	0.02226204	
4.800000	-0.00041348	
4.820000	-0.01991057	
4.840000	-0.03015405	
4.860000	-0.02454686	
4.880000	-0.01345861	
