Time	Knöchel li X	Knöchel li Y	Knöchel li Weg	Knöchel li v(X)	Knöchel li v(Y)	Knöchel li v(Bahn)	Knöchel li a(X)	Knöchel li a(Y)	Knöchel li a(Bahn)
1.880000	-0.55165184	-0.48604751	3.20222640	-2.88643456	-0.83874232	3.00582647	7.66525412	7.03941393	-9.39877987	
1.900000	-0.61069185	-0.50110793	3.26315689	-2.68723845	-0.66401088	2.76806092	13.72584248	7.20085001	-15.21645546	
1.920000	-0.66465348	-0.51192486	3.31819201	-2.34011793	-0.50600547	2.39419985	19.64551163	6.39866924	-20.72100067	
1.940000	-0.71010786	-0.51925993	3.36423445	-1.85823298	-0.38692564	1.89808881	24.46487808	5.04487705	-24.96341133	
1.960000	-0.74342108	-0.52494824	3.39802980	-1.28194439	-0.30973518	1.31883180	27.24285698	3.69519329	-23.20185089	
1.980000	-0.76262528	-0.53023303	3.41794801	-0.66706192	-0.26410088	0.71744049	27.47623444	2.79677582	-15.31593418	
2.000000	-0.76830673	-0.53563029	3.42578435	-0.07938740	-0.23012152	0.24343023	25.35589981	2.44736028	-6.58911705	
2.020000	-0.76219028	-0.54035258	3.43351173	0.41926834	-0.18752955	0.45929649	21.51767921	2.45182538	1.67323935	
2.040000	-0.74685919	-0.54404169	3.44928050	0.80160987	-0.12924244	0.81196183	16.79357719	2.53869891	9.03418255	
2.060000	-0.72534531	-0.54596931	3.47088051	1.07331514	-0.06664219	1.07538211	12.12899017	2.45771217	11.17877674	
2.080000	-0.70055646	-0.54628229	3.49567127	1.25217342	-0.01397728	1.25225139	8.27388096	2.06993604	8.25818253	
2.100000	-0.67366588	-0.54530472	3.52257967	1.36100996	0.02251838	1.36119628	5.46129131	1.46820176	5.43036938	
2.120000	-0.64522922	-0.54430270	3.55103397	1.42913675	0.04228178	1.42976213	3.57621026	0.89923817	3.58121514	
2.140000	-0.61569262	-0.54339516	3.58058453	1.47943985	0.04853654	1.48023582	2.44689083	0.51544005	2.45856881	
2.160000	-0.58569980	-0.54264706	3.61058664	1.51814640	0.04992557	1.51896715	1.82922709	0.32575390	1.83958697	
2.180000	-0.55504513	-0.54157329	3.64126015	1.54738367	0.05479577	1.54835355	1.41806638	0.30002129	1.42908347	
2.200000	-0.52370155	-0.54047126	3.67262316	1.57201719	0.06303884	1.57328069	1.06047845	0.38766316	1.07648134	
2.220000	-0.49187431	-0.53907216	3.70448112	1.59155512	0.07224030	1.59319377	0.75229776	0.49959207	0.77563196	
2.240000	-0.45974702	-0.53756756	3.73664355	1.60313213	0.08221166	1.60523868	0.47394961	0.59551519	0.50620615	
2.260000	-0.42742246	-0.53582633	3.76901507	1.60823596	0.09481481	1.61102843	0.22565763	0.70250988	0.27019072	
