Time	Referenz_right_y_velocity X
14.400000	0.38325176	
14.420000	0.40520924	
14.440000	0.38826531	
14.460000	0.34176525	
14.480000	0.27710101	
14.500000	0.20813058	
14.520000	0.12762119	
14.540000	0.03674464	
14.559999	-0.07622512	
14.580000	-0.21825841	
14.599999	-0.38763419	
14.620000	-0.52414101	
14.639999	-0.57399976	
14.660000	-0.52230406	
14.679999	-0.39622188	
14.700000	-0.23668665	
14.719999	-0.07313884	
14.740000	0.05743017	
14.759999	0.15970549	
14.780000	0.25163493	
14.799999	0.34336796	
14.820000	0.40327618	
14.839999	0.41777939	
14.860000	0.38361993	
14.880000	0.32090434	
14.900000	0.25228563	
14.920000	0.18973425	
14.940000	0.13890080	
14.960000	0.08090744	
14.980000	0.01715260	
15.000000	-0.05213815	
15.020000	-0.11830294	
15.040000	-0.20874916	
15.059999	-0.33299688	
15.080000	-0.45427862	
15.099999	-0.51719391	
15.120000	-0.50033331	
15.139999	-0.41995394	
15.160000	-0.27987134	
15.179999	-0.11653119	
15.200000	0.02969322	
15.219999	0.13281928	
15.240000	0.22020212	
15.259999	0.29844257	
15.280000	0.35336363	
15.299999	0.36842361	
15.320000	0.34840131	
15.339999	0.29820868	
15.360000	0.23994461	
15.380000	0.19059807	
15.400000	0.14664246	
15.420000	0.10661571	
15.440000	0.06277124	
15.460000	0.02492876	
15.480000	-0.02663867	
15.500000	-0.08930629	
15.520000	-0.17913584	
15.540000	-0.30080613	
15.559999	-0.42756867	
15.580000	-0.50159770	
15.599999	-0.48945439	
15.620000	-0.40628162	
15.639999	-0.27164248	
15.660000	-0.12682223	
15.679999	0.00371765	
15.700000	0.10099854	
15.719999	0.18921369	
15.740000	0.27520776	
15.759999	0.34889492	
15.780000	0.38509440	
15.799999	0.36828166	
15.820000	0.30401656	
15.839999	0.22420043	
15.860000	0.15815379	
15.880000	0.10608095	
15.900000	0.07362754	
15.920000	0.05040775	
15.940000	0.03448146	
15.960000	0.01243868	
15.980000	-0.00515586	
16.000000	-0.03428936	
16.020000	-0.08963442	
16.039999	-0.20468494	
16.059999	-0.35080636	
16.080000	-0.46750945	
16.100000	-0.50573587	
16.119999	-0.45371667	
16.139999	-0.33090401	
16.160000	-0.16137889	
16.180000	-0.00451356	
16.199999	0.11392430	
16.219999	0.19479883	
16.240000	0.27024505	
16.260000	0.32004440	
16.279999	0.33625779	
16.299999	0.31489313	
16.320000	0.26603225	
16.340000	0.20559484	
16.359999	0.15091543	
16.379999	0.11257090	
16.400000	0.07910763	
16.420000	0.05062723	
16.440001	0.02258879	
16.459999	0.00267289	
16.480000	-0.02408163	
16.500000	-0.05618412	
16.520000	-0.11052118	
16.539999	-0.20314595	
16.559999	-0.32355562	
16.580000	-0.42000136	
