Time	Step_Length_1_4.84 X
6.860000	0.57807142
6.880000	0.52041548
6.900000	0.45720834
6.920000	0.39007965
6.940000	0.31879532
6.960000	0.24412788
6.980000	0.16488487
7.000000	0.08162117
7.020000	-0.00651123
7.040000	-0.09878138
7.060000	-0.19491509
7.080000	-0.29291940
7.100000	-0.39069483
7.120000	-0.48526877
7.140000	-0.57239819
7.160000	-0.64781976
7.180000	-0.70699513
7.200000	-0.74895465
7.220000	-0.77298069
7.240000	-0.78125012
7.260000	-0.77582210
7.280000	-0.76040304
7.300000	-0.73631525
7.320000	-0.70458442
7.340000	-0.66523761
7.360000	-0.61920297
7.380000	-0.56716096
7.400000	-0.50993276
7.420000	-0.44841149
7.440000	-0.38327771
7.460000	-0.31502777
7.480000	-0.24346343
7.500000	-0.16815111
7.520000	-0.08852316
7.540000	-0.00425525
7.560000	0.08484100
7.580000	0.17835966
7.600000	0.27504665
7.620000	0.37256739
7.640000	0.46765622
7.660000	0.55620539
7.680000	0.63340878
7.700000	0.69537300
7.720000	0.73998666
7.740000	0.76804459
7.760000	0.78131914
7.780000	0.78253841
7.800000	0.77384382
7.820000	0.75687981
7.840000	0.73198777
7.860000	0.69940746
7.880000	0.65896583
7.900000	0.61112428
7.920000	0.55633372
7.940000	0.49562174
7.960000	0.42949307
7.980000	0.35917723
8.000000	0.28514168
8.020000	0.20761606
8.040000	0.12563746
8.059999	0.03930826
8.080000	-0.05132981
8.099999	-0.14594805
8.120000	-0.24365808
8.139999	-0.34260839
8.160000	-0.44011304
8.179999	-0.53273571
8.200000	-0.61597997
8.220000	-0.68506151
8.240000	-0.73680353
8.260000	-0.77037323
8.280000	-0.78718221
8.300000	-0.78914899
8.320000	-0.77925539
8.340000	-0.75949091
8.360000	-0.73174059
8.380000	-0.69609886
8.400000	-0.65357840
8.420000	-0.60471725
8.440000	-0.55066812
8.460000	-0.49178955
8.480000	-0.42890787
8.500000	-0.36234438
8.520000	-0.29246101
8.540000	-0.21931446
8.559999	-0.14237382
8.580000	-0.06118493
8.599999	0.02441104
8.620000	0.11403957
8.639999	0.20754400
8.660000	0.30376983
8.679999	0.40070102
8.700000	0.49496159
8.720000	0.58274281
8.740000	0.65902930
8.760000	0.71957499
8.780000	0.76260871
8.800000	0.78868699
8.820000	0.79985148
8.840000	0.79860145
8.860000	0.78747272
8.880000	0.76757073
8.900000	0.73928452
8.920000	0.70263666
8.940000	0.65841353
8.960000	0.60744441
8.980000	0.55102181
9.000000	0.49006248
9.020000	0.42521265
9.040000	0.35673308
9.059999	0.28483975
9.080000	0.20922387
9.099999	0.12959361
9.120000	0.04608180
9.139999	-0.04114084
9.160000	-0.13170175
9.179999	-0.22517310
9.200000	-0.31999299
9.220000	-0.41408980
9.240000	-0.50409067
9.260000	-0.58626848
9.280000	-0.65582854
9.300000	-0.70912218
9.320000	-0.74452627
9.340000	-0.76269263
9.360000	-0.76559711
9.380000	-0.75606251
9.400000	-0.73686129
9.420000	-0.70981807
9.440000	-0.67567980
9.460000	-0.63468784
9.480000	-0.58742303
9.500000	-0.53456831
9.520000	-0.47698441
9.540000	-0.41538364
9.559999	-0.35035288
9.580000	-0.28222239
9.599999	-0.21100050
9.620000	-0.13621674
9.639999	-0.05741602
9.660000	0.02585772
9.679999	0.11369729
9.700000	0.20583758
9.719999	0.30116665
9.740000	0.39782289
9.760000	0.49259314
9.780000	0.58125454
9.800000	0.65918642
9.820000	0.72230452
9.840000	0.76829737
9.860000	0.79695958
9.880000	0.80993873
9.900000	0.80959326
9.920000	0.79844654
9.940000	0.77792609
9.960000	0.74882209
9.980000	0.71137214
10.000000	0.66622806
10.020000	0.61410248
10.040000	0.55601174
10.059999	0.49298176
10.080000	0.42591116
10.099999	0.35535890
10.120000	0.28154039
10.139999	0.20414886
10.160000	0.12272215
10.179999	0.03690122
10.200000	-0.05342050
10.219999	-0.14793125
10.240000	-0.24576251
10.260000	-0.34509951
10.280000	-0.44326457
10.300000	-0.53638244
10.320000	-0.61988002
10.340000	-0.68870926
10.360000	-0.73985225
10.380000	-0.77227092
10.400000	-0.78763592
10.420000	-0.78821778
10.440000	-0.77722830
10.460000	-0.75679719
10.480000	-0.72839642
10.500000	-0.69229668
10.520000	-0.64920378
10.540000	-0.59964091
10.559999	-0.54439485
10.580000	-0.48426679
10.599999	-0.42004588
10.620000	-0.35224468
10.639999	-0.28102702
10.660000	-0.20650834
10.679999	-0.12732735
10.700000	-0.04346560
10.719999	0.04554975
10.740000	0.13858138
10.760000	0.23539634
10.780000	0.33367029
10.800000	0.43115711
10.820000	0.52404290
10.840000	0.60861093
10.860000	0.68011767
10.880000	0.73515975
10.900000	0.77324814
10.920000	0.79545248
10.940000	0.80424917
10.960000	0.80182546
10.980000	0.79049248
11.000000	0.77103865
11.020000	0.74355716
11.040000	0.70808899
11.059999	0.66535318
11.080000	0.61598557
11.099999	0.56067353
11.120000	0.50056517
11.139999	0.43664911
11.160000	0.36921978
11.179999	0.29833364
11.200000	0.22417381
11.219999	0.14676851
11.240000	0.06560664
11.259999	-0.01954421
11.280000	-0.10882136
11.300000	-0.20192644
11.320000	-0.29821569
11.340000	-0.39560711
11.360000	-0.49072659
11.380000	-0.57904345
11.400000	-0.65566224
11.420000	-0.71614254
11.440000	-0.75857961
11.460000	-0.78294295
11.480000	-0.79138696
11.500000	-0.78671324
11.520000	-0.77223438
11.540000	-0.74952197
11.559999	-0.71952665
11.580000	-0.68225962
11.599999	-0.63843822
11.620000	-0.58837438
11.639999	-0.53292412
11.660000	-0.47280979
11.679999	-0.40897617
11.700000	-0.34191442
11.719999	-0.27187833
11.740000	-0.19864856
11.759999	-0.12183827
11.780000	-0.04100585
11.800000	0.04386172
11.820000	0.13247022
11.840000	0.22385208
11.860000	0.31664914
11.880000	0.40839145
11.900000	0.49611264
11.920000	0.57613665
11.940000	0.64491773
11.960000	0.69914937
11.980000	0.73787570
12.000000	0.76138979
12.020000	0.77151126
12.040000	0.77023053
12.059999	0.75986123
12.080000	0.74159950
12.099999	0.71563768
12.120000	0.68213975
12.139999	0.64143121
12.160000	0.59413552
12.179999	0.54077303
12.200000	0.48252165
12.219999	0.42010731
12.240000	0.35420597
12.259999	0.28495094
12.280000	0.21238822
12.300000	0.13621673
12.320000	0.05623066
12.340000	-0.02788195
12.360000	-0.11596143
12.380000	-0.20767319
12.400000	-0.30158961
12.420000	-0.39606562
12.440000	-0.48808444
12.460000	-0.57382321
12.480000	-0.64816231
12.500000	-0.70670152
12.520000	-0.74765646
12.540000	-0.77107221
12.559999	-0.77905715
12.580000	-0.77426445
12.599999	-0.76022482
12.620000	-0.73833537
12.639999	-0.70924419
12.660000	-0.67273307
12.679999	-0.62957984
12.700000	-0.58018333
12.719999	-0.52536428
12.740000	-0.46614969
12.759999	-0.40344465
12.780000	-0.33777156
12.799999	-0.26918590
12.820000	-0.19740424
12.840000	-0.12181751
12.860000	-0.04169318
12.880000	0.04319024
12.900000	0.13275209
12.920000	0.22615889
12.940000	0.32210162
12.960000	0.41784480
12.980000	0.50952297
13.000000	0.59239203
13.020000	0.66160989
13.040000	0.71397996
13.059999	0.74893469
13.080000	0.76795769
13.099999	0.77341402
13.120000	0.76820153
13.139999	0.75451249
13.160000	0.73323333
13.179999	0.70409918
13.200000	0.66738427
13.219999	0.62354636
13.240000	0.57325578
13.259999	0.51704520
13.280000	0.45610389
13.299999	0.39126664
13.320000	0.32300720
13.340000	0.25103199
13.360000	0.17493257
13.380000	0.09418409
13.400000	0.00858372
13.420000	-0.08149317
