Time	Knöchel re X	Knöchel re Y	Knöchel re Weg	Knöchel re v(X)	Knöchel re v(Y)	Knöchel re v(Bahn)	Knöchel re a(X)	Knöchel re a(Y)	Knöchel re a(Bahn)
2.840000	-1.15096796	-0.38613620	5.02375221	2.40332484	-0.76968008	2.52356458	9.87889576	-11.75049877	12.22392750	
2.860000	-1.10121691	-0.40515193	5.07701349	2.60172582	-0.98875326	2.78327322	10.03761482	-8.73942661	12.06330585	
2.880000	-1.04693079	-0.42777482	5.13582468	2.80848145	-1.13843071	3.03044438	10.05128670	-5.14583445	11.14020920	
2.900000	-0.98838133	-0.45331877	5.19970369	3.01914096	-1.20993412	3.25256085	9.57337666	-1.04801214	9.44010258	
2.920000	-0.92615819	-0.47932258	5.26714182	3.21948695	-1.19408178	3.43379211	8.09271240	3.31742501	6.80873632	
2.940000	-0.85952127	-0.50441515	5.33834648	3.39021993	-1.08373666	3.55922413	5.03284121	7.45194721	2.98866010	
2.960000	-0.78921700	-0.52596188	5.41187859	3.49581289	-0.87673897	3.60407805	-0.04847942	10.58655739	-2.29696035	
2.980000	-0.71610457	-0.54267049	5.48687601	3.48107934	-0.59601915	3.53173494	-7.22078991	11.82274914	-9.17583466	
3.000000	-0.64342844	-0.55207807	5.56015825	3.28777957	-0.29580978	3.30106020	-15.99308300	10.48519707	-17.39676476	
3.020000	-0.57597113	-0.55361372	5.62763309	2.87463737	-0.05268601	2.87512016	-24.92222977	6.90496111	-25.95028305	
3.040000	-0.51934743	-0.54878825	5.68446207	2.24232411	0.05861767	2.24309015	-31.91259575	2.40618682	-30.95173264	
3.060000	-0.47893965	-0.54262859	5.72533655	1.44291341	0.00808189	1.44293606	-35.30435181	-1.54960024	-26.65815926	
3.080000	-0.45846924	-0.54068536	5.74589920	0.61206597	-0.12942944	0.62560111	-34.46759796	-3.71802568	-16.72935295	
3.100000	-0.45778126	-0.54725295	5.75250292	-0.11101882	-0.26424840	0.28662241	-29.77331352	-3.41457510	-7.04457998	
3.120000	-0.47405922	-0.55961722	5.77294445	-0.65200996	-0.33787525	0.73435462	-22.65367317	-1.26242757	2.61224937	
3.140000	-0.49556336	-0.56872010	5.79629612	-1.00154698	-0.32384658	1.05260289	-15.35041523	1.12749076	9.60685062	
3.160000	-0.51919580	-0.57368445	5.82044458	-1.19078660	-0.23542087	1.21383512	-9.55928993	2.62686300	9.13634205	
3.180000	-0.54246283	-0.57449615	5.84372568	-1.27629244	-0.12851724	1.28274667	-5.73432112	3.01210356	5.12798977	
3.200000	-0.56889868	-0.57593817	5.87020063	-1.33714247	-0.06500529	1.33872163	-3.55436778	2.52251101	3.20033431	
3.220000	-0.59772414	-0.57741690	5.89906406	-1.39917994	-0.04627504	1.39994490	-2.60886526	1.55877209	2.48251605	
3.240000	-0.62610197	-0.57779962	5.92744446	-1.45509064	-0.04109192	1.45567071	-2.32702494	0.70666033	2.30112743	
3.260000	-0.65595275	-0.57893395	5.95731688	-1.48847020	-0.02870534	1.48874700	-2.08656549	0.35021266	2.07953954	
3.280000	-0.68529737	-0.57899344	5.98666143	-1.52246952	-0.02084125	1.52261221	-1.76301920	0.26675266	1.75757039	
3.300000	-0.71648216	-0.57955515	6.01785135	-1.55998039	-0.01754685	1.56007910	-1.49393272	0.17084585	1.49068868	
3.320000	-0.74778301	-0.57965773	6.04915237	-1.59216785	-0.01504197	1.59223890	-1.21920455	0.06629770	1.21824193	
3.340000	-0.78059846	-0.57986271	6.08196831	-1.61581624	-0.01818264	1.61591852	-0.78428054	0.04275630	0.78380221	
3.360000	-0.81329125	-0.58043391	6.11466599	-1.62600470	-0.01727069	1.62609637	-0.31225917	0.09161747	0.31160203	
3.380000	-0.84610659	-0.58063889	6.14748192	-1.62458408	-0.01668184	1.62466967	0.02854565	0.19302082	-0.02937812	
3.400000	-0.87841707	-0.58145940	6.17980289	-1.61375093	-0.01085499	1.61378741	0.19294314	0.29056475	-0.19356650	
3.420000	-0.91067165	-0.58118677	6.21205854	-1.60469007	-0.00182539	1.60469115	0.21960081	0.32024723	-0.21987052	
3.440000	-0.94234884	-0.58152443	6.24373770	-1.60304797	0.00707606	1.60306358	0.13224775	0.31874570	-0.13194327	
3.460000	-0.97432584	-0.58084494	6.27572203	-1.60476303	0.01373936	1.60482180	-0.00904947	0.30592245	0.01066277	
3.480000	-1.00621319	-0.58059293	6.30761051	-1.60552096	0.01530498	1.60559392	-0.07279611	0.31034487	0.07629143	
3.500000	-1.03902900	-0.58016151	6.34042931	-1.60790312	0.02056757	1.60803461	-0.03739097	0.35580775	0.04346766	
3.520000	-1.07100713	-0.57986206	6.37240887	-1.61024368	0.02853522	1.61049652	0.01371552	0.54955178	0.00028213	
3.540000	-1.10315657	-0.57969999	6.40455866	-1.60920215	0.04046434	1.60971081	0.08850393	0.93420225	-0.05148746	
3.560000	-1.13509035	-0.57846075	6.43651628	-1.60520864	0.05614507	1.60619020	0.25121063	1.39866686	-0.16959104	
3.580000	-1.16740084	-0.57713735	6.46885395	-1.60129106	0.08853273	1.60373664	0.49912810	1.91524410	-0.34265655	
3.600000	-1.19959199	-0.57535106	6.50109482	-1.59172642	0.13715097	1.59762430	0.86768681	2.54463959	-0.58165270	
3.620000	-1.23145378	-0.57294124	6.53304768	-1.57315564	0.19376469	1.58504367	1.48819768	3.22335815	-0.98823273	
3.640000	-1.26278484	-0.56840694	6.56470537	-1.54202819	0.26152620	1.56404829	2.47597599	3.79009104	-1.66181612	
3.660000	-1.29350483	-0.56201273	6.59608364	-1.49050295	0.34530693	1.52997911	3.87058449	4.32416916	-2.56775355	
3.680000	-1.32317901	-0.55445278	6.62670565	-1.40644455	0.44130069	1.47405314	5.71530151	4.96583462	-3.54630518	
3.700000	-1.35151911	-0.54523313	6.65650749	-1.27788091	0.54156661	1.38790274	8.00505638	5.63314104	-4.28039980	
3.720000	-1.37654388	-0.53360313	6.68410254	-1.09819031	0.65677601	1.27960026	10.56838417	6.08559847	-4.33493996	
3.740000	-1.39752340	-0.51926941	6.70951128	-0.85990292	0.79174072	1.16888249	13.11610413	6.08554363	-3.40867352	
3.760000	-1.41264236	-0.50236493	6.73219061	-0.56307989	0.93447030	1.09100580	15.39201641	5.40204525	-1.53677702	
3.780000	-1.42176521	-0.48217130	6.75434923	-0.22064190	1.05416262	1.07700586	17.14674187	3.72460222	0.87208611	
3.800000	-1.42302430	-0.45899528	6.77755928	0.15050812	1.12280667	1.13284934	18.09690285	0.89083028	3.22171164	
3.820000	-1.41615939	-0.43370804	6.80376196	0.53440213	1.12367344	1.24427795	18.09228516	-2.81696963	5.07628059	
3.840000	-1.40108109	-0.40998736	6.83186913	0.91073579	1.03338611	1.37743473	17.22918892	-6.78441668	6.38714600	
3.860000	-1.37857866	-0.38935706	6.86239719	1.25504935	0.84350109	1.51216495	15.74510956	-10.45118141	7.34286690	
3.880000	-1.34921467	-0.37340522	6.89581442	1.55184805	0.57300234	1.65425634	13.91021061	-13.35852623	8.20089722	
3.900000	-1.31444919	-0.36427006	6.93175983	1.80345559	0.25662395	1.82162237	12.10900784	-15.09510136	9.21583748	
3.920000	-1.27522242	-0.36233965	6.97103405	2.01929712	-0.07545982	2.02070665	10.74669552	-15.44863605	10.38321400	
3.940000	-1.23311186	-0.36829787	7.01356411	2.20900440	-0.40124264	2.24514937	9.97570515	-14.53779221	11.40798855	
3.960000	-1.18703759	-0.38028023	7.06117105	2.39199305	-0.69641167	2.49130893	9.67638397	-12.65486336	11.97422504	
3.980000	-1.13772857	-0.39735910	7.11335421	2.58261108	-0.93552530	2.74683237	9.67347908	-9.94160938	11.93320274	
4.000000	-1.08438194	-0.41954786	7.17113161	2.78309393	-1.10945952	2.99608278	9.71045876	-6.48691511	11.20326805	
4.020000	-1.02669656	-0.44454664	7.23400068	2.98432660	-1.21246648	3.22122335	9.37283993	-2.54142475	9.70293331	
4.040000	-0.96484184	-0.47104204	7.30129099	3.17924190	-1.22850144	3.40834188	8.18974495	1.65726733	7.32543421	
4.060000	-0.89866829	-0.49702808	7.37238407	3.35104299	-1.15025342	3.54296088	5.71496058	5.82719994	3.91700125	
4.080000	-0.82949209	-0.52024484	7.44535208	3.47004128	-0.98191911	3.60629344	1.53171659	9.36026478	-0.71285236	
4.100000	-0.75760984	-0.53927898	7.51971149	3.49079967	-0.73413891	3.56716156	-4.65318251	11.36136532	-6.79346466	
4.120000	-0.68509758	-0.55191463	7.59331656	3.36353493	-0.44486579	3.39282656	-12.66788292	11.05358505	-14.33490658	
4.140000	-0.61573124	-0.55754489	7.66291094	3.04225421	-0.17430004	3.04724312	-21.47161102	8.42135334	-22.59007645	
4.160000	-0.55452490	-0.55609047	7.72413445	2.50083542	-0.00527501	2.50084090	-29.20880699	4.41179991	-29.91458893	
4.180000	-0.50727451	-0.55086690	7.77167273	1.76428771	0.01109615	1.76432264	-34.09499359	0.33585912	-29.32780838	
4.200000	-0.47843722	-0.54672706	7.80080557	0.93750882	-0.08669367	0.94150865	-35.08618927	-2.52169037	-20.58324432	
4.220000	-0.47021598	-0.55018449	7.80972433	0.16637860	-0.21224858	0.26968741	-32.00170898	-3.16361237	-10.73028946	
4.240000	-0.48057169	-0.56061852	7.82442522	-0.45454583	-0.30103984	0.54519439	-25.75055695	-1.70599186	-1.10703409	
