Time	Right_Heel_y_baseline X
2.580000	0.00734770	
2.600000	0.02199802	
2.620000	0.03551009	
2.640000	0.04068382	
2.660000	0.03230678	
2.680000	0.01325569	
2.700000	-0.00332919	
2.720000	-0.01157492	
2.740000	-0.00828454	
2.760000	-0.00129382	
2.780000	0.01011711	
2.800000	0.01887113	
2.820000	0.02050903	
2.840000	0.01204614	
2.860000	-0.00001484	
2.880000	-0.00914089	
2.900000	-0.00858323	
2.920000	-0.00164805	
2.940000	0.00436647	
2.960000	0.00398132	
2.980000	-0.00305672	
3.000000	-0.00935559	
3.020000	-0.01134466	
3.040000	-0.00675459	
3.060000	0.00240937	
3.080000	0.00981596	
3.100000	0.01086161	
3.120000	0.00194636	
3.140000	-0.00799896	
3.160000	-0.01426095	
3.180000	-0.01230426	
3.200000	-0.00601952	
3.220000	0.00503086	
3.240000	0.01324955	
3.260000	0.01441565	
3.280000	0.00477293	
3.300000	-0.00688426	
3.320000	-0.01448262	
3.340000	-0.01235403	
3.360000	-0.00439799	
3.380000	0.00765869	
3.400000	0.01611483	
3.420000	0.01528245	
3.440000	0.00392313	
3.460000	-0.00843737	
3.480000	-0.01478726	
3.500000	-0.01115884	
3.520000	-0.00167243	
3.540000	0.00972643	
3.560000	0.01666552	
3.580000	0.01200947	
3.600000	0.00068703	
3.620000	-0.01031806	
3.640000	-0.01369511	
3.660000	-0.00811900	
3.680000	-0.00220570	
3.700000	0.00152679	
3.720000	-0.00292109	
3.740000	-0.00938796	
3.760000	-0.01440129	
3.780000	-0.01259579	
3.800000	-0.00556062	
3.820000	0.00467111	
3.840000	0.01154812	
3.860000	0.01087184	
3.880000	0.00184454	
3.900000	-0.00816675	
3.920000	-0.01388399	
3.940000	-0.01032503	
3.960000	-0.00204365	
3.980000	0.00775969	
4.000000	0.01058114	
4.020000	0.00252758	
4.040000	-0.00725468	
4.060000	-0.01508555	
4.080000	-0.01579911	
4.100000	-0.01226799	
4.120000	-0.00503370	
4.140000	0.00490609	
4.160000	0.00947875	
4.180000	0.00506137	
4.200000	-0.00453320	
4.220000	-0.01223153	
4.240000	-0.01237412	
4.260000	-0.00557311	
4.280000	0.00311267	
4.300000	0.00896513	
4.320000	0.00621396	
4.340000	-0.00415482	
4.360000	-0.01329684	
4.380000	-0.01538035	
4.400000	-0.01140201	
4.420000	-0.00275740	
4.440000	0.00598472	
4.460000	0.01413253	
4.480000	0.01264048	
4.500000	0.00172941	
4.520000	-0.00984994	
4.540000	-0.01812148	
4.560000	-0.01413517	
4.580000	-0.00507918	
4.600000	0.00766771	
4.620000	0.01332884	
4.640000	0.00883505	
4.660000	-0.00290062	
4.680000	-0.01336220	
4.700000	-0.01593533	
4.720000	-0.01238559	
4.740000	-0.00674987	
4.760000	-0.00386430	
4.780000	-0.00484236	
4.800000	-0.00948364	
4.820000	-0.01429291	
4.840000	-0.01568601	
4.860000	-0.01173554	
4.880000	-0.00541741	
4.900000	0.00061943	
4.920000	-0.00159109	
4.940000	-0.00797969	
