Time	Left_Heel_y_baseline X
2.720000	-0.00360659	
2.740000	0.00272235	
2.760000	0.00574072	
2.780000	0.00105508	
2.800000	-0.00532934	
2.820000	-0.01331925	
2.840000	-0.01544516	
2.860000	-0.01721668	
2.880000	-0.01440029	
2.900000	-0.00857510	
2.920000	-0.00079873	
2.940000	0.00539792	
2.960000	0.00822000	
2.980000	0.00442600	
3.000000	-0.00229634	
3.020000	-0.00784945	
3.040000	-0.00934787	
3.060000	-0.00584018	
3.080000	-0.00206611	
3.100000	0.00535057	
3.120000	0.01159458	
3.140000	0.01629363	
3.160000	0.01259433	
3.180000	0.00252566	
3.200000	-0.00706895	
3.220000	-0.01312459	
3.240000	-0.01434177	
3.260000	-0.01410647	
3.280000	-0.01072559	
3.300000	-0.00436860	
3.320000	0.00253947	
3.340000	0.00792718	
3.360000	0.00916936	
3.380000	0.00494865	
3.400000	-0.00018060	
3.420000	-0.00343387	
3.440000	-0.00322701	
3.460000	0.00058751	
3.480000	0.00758925	
3.500000	0.01874650	
3.520000	0.02679676	
3.540000	0.02926749	
3.560000	0.02212413	
3.580000	0.00909112	
3.600000	-0.00244184	
3.620000	-0.00969778	
3.640000	-0.01099889	
3.660000	-0.00838022	
3.680000	-0.00298133	
3.700000	0.00440629	
3.720000	0.00805844	
3.740000	0.00645375	
3.760000	0.00074641	
3.780000	-0.00624740	
3.800000	-0.00966202	
3.820000	-0.00867568	
3.840000	-0.00367060	
3.860000	0.00514838	
3.880000	0.01366094	
3.900000	0.01832789	
3.920000	0.01576754	
3.940000	0.00482143	
3.960000	-0.00477277	
3.980000	-0.01163837	
4.000000	-0.01216446	
4.020000	-0.00979857	
4.040000	-0.00395590	
4.060000	0.00342442	
4.080000	0.00748175	
4.100000	0.00382350	
4.120000	-0.00370310	
4.140000	-0.01162983	
4.160000	-0.01463601	
4.180000	-0.01524886	
4.200000	-0.01352267	
4.220000	-0.00853546	
4.240000	-0.00136486	
4.260000	0.00490882	
4.280000	0.00746652	
4.300000	0.00375828	
4.320000	-0.00316177	
4.340000	-0.00927228	
4.360000	-0.01136364	
4.380000	-0.00979857	
4.400000	-0.00646524	
4.420000	0.00015631	
4.440000	0.00858963	
4.460000	0.01625361	
4.480000	0.01855548	
4.500000	0.01223913	
4.520000	0.00078705	
4.540000	-0.00851190	
4.560000	-0.01232214	
4.580000	-0.00904571	
4.600000	-0.00343671	
4.620000	0.00577770	
4.640000	0.01236594	
4.660000	0.01525730	
4.680000	0.00993481	
4.700000	-0.00008713	
4.720000	-0.00875391	
4.740000	-0.01194723	
4.760000	-0.01067865	
4.780000	-0.00570750	
4.800000	-0.00035921	
4.820000	0.00480273	
4.840000	0.00545177	
4.860000	0.00081368	
4.880000	-0.00473213	
4.900000	-0.00943667	
4.920000	-0.01003145	
