Time	Referenz_right_y_baseline X
5.420000	0.05266373	
5.440000	0.05916022	
5.460000	0.06531256	
5.480000	0.06897560	
5.500000	0.07315022	
5.520000	0.07492244	
5.540000	0.07660607	
5.560000	0.07682556	
5.580000	0.07667227	
5.600000	0.07629815	
5.620000	0.07371165	
5.640000	0.07139163	
5.660000	0.06700915	
5.680000	0.06257614	
5.700000	0.05325396	
5.720000	0.04105252	
5.740000	0.02310133	
5.760000	0.00309946	
5.780000	-0.01458661	
5.800000	-0.02424282	
5.820000	-0.02675031	
5.840000	-0.02658556	
5.860000	-0.02646278	
5.880000	-0.02646278	
5.900000	-0.02646278	
5.920000	-0.02646278	
5.940000	-0.02646278	
5.960000	-0.02646278	
5.980000	-0.02646278	
6.000000	-0.02648181	
6.020000	-0.02648181	
6.040000	-0.02648181	
6.060000	-0.02646278	
6.080000	-0.02646278	
6.100000	-0.02646278	
6.120000	-0.02646278	
6.140000	-0.02646278	
6.160000	-0.02646278	
6.180000	-0.02646278	
6.200000	-0.02646278	
6.220000	-0.02646278	
6.240000	-0.02646278	
6.260000	-0.02632785	
6.280000	-0.02620825	
6.300000	-0.02449313	
6.320000	-0.02137619	
6.340000	-0.01439542	
6.360000	-0.00609942	
6.380000	0.00462273	
6.400000	0.01406248	
6.420000	0.02474621	
6.440000	0.03385378	
6.460000	0.04324907	
6.480000	0.05015050	
6.500000	0.05680835	
6.520000	0.06110999	
6.540000	0.06591779	
6.560000	0.06858194	
6.580000	0.07042189	
6.600000	0.07009476	
6.620000	0.06906117	
6.640000	0.06813134	
6.660000	0.06465495	
6.680000	0.06102744	
6.700000	0.05485134	
6.720000	0.04789214	
6.740000	0.03611670	
6.760000	0.02094200	
6.780000	0.00134963	
6.800000	-0.01463461	
6.820000	-0.02443063	
6.840000	-0.02647962	
6.860000	-0.02658254	
6.880000	-0.02664234	
6.900000	-0.02676210	
6.920000	-0.02676210	
6.940000	-0.02682190	
6.960000	-0.02682190	
6.980000	-0.02682190	
7.000000	-0.02682190	
7.020000	-0.02676210	
7.040000	-0.02670214	
7.060000	-0.02664234	
7.080000	-0.02664234	
7.100000	-0.02658254	
7.120000	-0.02652258	
7.140000	-0.02646278	
7.160000	-0.02646278	
7.180000	-0.02638949	
7.200000	-0.02631623	
7.220000	-0.02522284	
7.240000	-0.02419396	
7.260000	-0.01991929	
7.280000	-0.01405734	
7.300000	-0.00398642	
7.320000	0.00555035	
7.340000	0.01582696	
7.360000	0.02482201	
7.380000	0.03417233	
7.400000	0.04284328	
7.420000	0.05123581	
7.440000	0.05735818	
7.460000	0.06343555	
7.480000	0.06718501	
7.500000	0.07137647	
7.520000	0.07298295	
7.540000	0.07495731	
7.560000	0.07569326	
7.580000	0.07639130	
7.600000	0.07614604	
7.620000	0.07167985	
7.640000	0.06243970	
7.660000	0.04643542	
7.680000	0.02789448	
7.700000	0.00773747	
7.720000	-0.00962350	
7.740000	-0.02076641	
7.760000	-0.02551897	
7.780000	-0.02619308	
7.800000	-0.02632785	
7.820000	-0.02646278	
7.840000	-0.02646278	
7.860000	-0.02618365	
7.880000	-0.02591634	
7.900000	-0.02307329	
7.920000	-0.01801534	
7.940000	-0.00857273	
7.960000	0.00204836	
7.980000	0.01409617	
8.000000	0.02418259	
8.020000	0.03321604	
8.040000	0.03832841	
8.059999	0.04125179	
8.080000	0.04145125	
8.099999	0.04046936	
8.120000	0.03885110	
8.139999	0.03420113	
8.160000	0.02754916	
8.179999	0.01697306	
8.200000	0.00482401	
8.220000	-0.01009952	
8.240000	-0.02070460	
8.260000	-0.02660242	
8.280000	-0.02654262	
8.300000	-0.02652258	
8.320000	-0.02652258	
8.340000	-0.02638781	
8.360000	-0.02619308	
8.380000	-0.02603340	
8.400000	-0.02603340	
8.420000	-0.02528466	
8.440000	-0.02414124	
8.460000	-0.01897077	
8.480000	-0.01128741	
8.500000	0.00053823	
8.520000	0.01208711	
8.540000	0.02319044	
8.559999	0.03126290	
8.580000	0.03797905	
8.599999	0.04192205	
8.620000	0.04553187	
8.639999	0.04677264	
8.660000	0.04739758	
8.679999	0.04669735	
8.700000	0.04242907	
8.720000	0.03463235	
8.740000	0.01983413	
8.760000	0.00122330	
8.780000	-0.01527809	
8.800000	-0.02465045	
8.820000	-0.02658254	
8.840000	-0.02654161	
8.860000	-0.02654161	
