Time	Knee_Angle_right_4.81 X
12.020000	173.74145508	
12.040000	178.10047913	
12.059999	177.23504639	
12.080000	172.69894409	
12.099999	168.21595764	
12.120000	164.69543457	
12.139999	163.44776917	
12.160000	164.18486023	
12.179999	165.14662170	
12.200000	165.20932007	
12.219999	165.24653625	
12.240000	165.92646790	
12.259999	167.76824951	
12.280000	169.93217468	
12.300000	171.69151306	
12.320000	172.96147156	
12.340000	173.87333679	
12.360000	175.22702026	
12.380000	176.57411194	
12.400000	177.91804504	
12.420000	178.73947144	
12.440000	179.25044250	
12.460000	179.46116638	
12.480000	179.33015442	
12.500000	179.21475220	
12.520000	178.83345032	
12.540000	178.34959412	
12.559999	177.38000488	
12.580000	176.10742188	
12.599999	174.35107422	
12.620000	172.25016785	
12.639999	169.79685974	
12.660000	167.02091980	
12.679999	162.94737244	
12.700000	157.40727234	
12.719999	150.66935730	
12.740000	143.93797302	
12.759999	137.94694519	
12.780000	133.17127991	
12.799999	129.71766663	
12.820000	127.21151733	
12.840000	125.42488098	
12.860000	125.11621094	
12.880000	126.62551880	
12.900000	129.84294128	
12.920000	133.58879089	
12.940000	137.53442383	
12.960000	142.18373108	
12.980000	147.94209290	
13.000000	154.93632507	
13.020000	162.75520325	
13.040000	171.05718994	
13.059999	179.05513000	
13.080000	174.50460815	
13.099999	170.72392273	
13.120000	170.68510437	
13.139999	174.32925415	
13.160000	179.53163147	
13.179999	175.47709656	
13.200000	170.80633545	
13.219999	165.90653992	
13.240000	161.90742493	
13.259999	160.32266235	
13.280000	160.96659851	
13.299999	161.89451599	
13.320000	161.90734863	
13.340000	161.78959656	
13.360000	162.51934814	
13.380000	164.54678345	
13.400000	166.78793335	
13.420000	168.48727417	
13.440000	169.86111450	
13.460000	171.03063965	
13.480000	172.48507690	
13.500000	173.88424683	
13.520000	175.22827148	
13.540000	176.48605347	
13.559999	177.36872864	
13.580000	178.05567932	
13.599999	178.35002136	
13.620000	178.59004211	
13.639999	178.39611816	
13.660000	177.78741455	
13.679999	176.62658691	
13.700000	175.07054138	
13.719999	173.15805054	
13.740000	170.87945557	
13.759999	168.41929626	
13.780000	165.29429626	
13.799999	161.24990845	
13.820000	155.99488831	
13.840000	149.92005920	
13.860000	143.48260498	
13.880000	137.37831116	
13.900000	132.32485962	
13.920000	128.68164063	
13.940000	126.27434540	
13.960000	124.91691589	
13.980000	124.62196350	
14.000000	125.67058563	
14.020000	127.81848907	
14.040000	130.97808838	
14.059999	134.60258484	
14.080000	139.23275757	
14.099999	144.87901306	
14.120000	151.95330811	
14.139999	159.96066284	
14.160000	168.45281982	
14.179999	176.58900452	
14.200000	177.01647949	
14.219999	173.51074219	
14.240000	173.17639160	
14.259999	175.98497009	
14.280000	179.71978760	
14.299999	175.64836121	
14.320000	170.93139648	
14.340000	165.77989197	
14.360000	162.19351196	
14.380000	161.08657837	
14.400000	162.18815613	
14.420000	163.44267273	
14.440000	163.75848389	
14.460000	163.84397888	
14.480000	164.52420044	
14.500000	166.24392700	
14.520000	168.04722595	
14.540000	169.62840271	
14.559999	170.86557007	
14.580000	171.91520691	
14.599999	172.82394409	
14.620000	174.00140381	
14.639999	174.98065186	
14.660000	175.84851074	
14.679999	176.38713074	
14.700000	177.05168152	
14.719999	177.64294434	
14.740000	178.07827759	
14.759999	177.90855408	
14.780000	177.43368530	
14.799999	176.42185974	
14.820000	175.02745056	
14.839999	173.09834290	
14.860000	170.63755798	
14.880000	167.84403992	
14.900000	164.36320496	
14.920000	159.75845337	
14.940000	153.86318970	
14.960000	147.31221008	
14.980000	141.12571716	
15.000000	136.13027954	
15.020000	132.26931763	
15.040000	129.53068542	
15.059999	127.46630859	
15.080000	126.65148163	
15.099999	126.84508514	
15.120000	128.56135559	
15.139999	131.19970703	
15.160000	134.92245483	
15.179999	138.99685669	
15.200000	143.65983582	
15.219999	148.87518311	
15.240000	154.95481873	
15.259999	161.74281311	
15.280000	169.08131409	
15.299999	176.29605103	
15.320000	177.35607910	
15.339999	172.84223938	
15.360000	170.96557617	
15.380000	172.24790955	
15.400000	175.66601563	
15.420000	179.92492676	
15.440000	174.59550476	
15.460000	169.21269226	
15.480000	165.00326538	
15.500000	163.54183960	
15.520000	164.13136292	
15.540000	165.02243042	
15.559999	165.08355713	
15.580000	165.00857544	
15.599999	165.47656250	
15.620000	166.91311646	
15.639999	168.65382385	
15.660000	170.41345215	
15.679999	171.93388367	
15.700000	173.05633545	
15.719999	173.82360840	
15.740000	174.73765564	
15.759999	175.60186768	
15.780000	176.63594055	
15.799999	177.32330322	
15.820000	178.05239868	
15.839999	178.16828918	
15.860000	178.17478943	
15.880000	177.62428284	
15.900000	176.78558350	
15.920000	175.20210266	
15.940000	172.99749756	
15.960000	170.42832947	
15.980000	167.54257202	
16.000000	164.11137390	
16.020000	159.58268738	
16.039999	153.72213745	
16.059999	147.07492065	
16.080000	140.49177551	
16.100000	134.81576538	
16.119999	130.47576904	
16.139999	127.31078339	
16.160000	125.40045929	
16.180000	124.27114105	
16.199999	124.58174896	
16.219999	126.00557709	
16.240000	128.79801941	
16.260000	132.34127808	
16.279999	136.86650085	
16.299999	142.01359558	
16.320000	148.27062988	
16.340000	155.64587402	
16.359999	164.38545227	
16.379999	173.17512512	
16.400000	178.74830627	
16.420000	172.88020325	
16.440001	169.96997070	
16.459999	170.82702637	
16.480000	174.55255127	
16.500000	178.70625305	
16.520000	178.36437988	
16.539999	174.99313354	
16.559999	170.77708435	
16.580000	166.19232178	
16.600000	164.31579590	
16.619999	164.66734314	
16.639999	165.61602783	
16.660000	165.80760193	
16.680000	165.70622253	
16.699999	166.33692932	
16.719999	167.64472961	
16.740000	169.27069092	
16.760000	170.43711853	
16.779999	171.55752563	
16.799999	172.58386230	
16.820000	173.74653625	
16.840000	174.82032776	
16.859999	175.92495728	
16.879999	176.76213074	
16.900000	177.62846375	
16.920000	178.12879944	
16.940001	178.46464539	
16.959999	178.14460754	
16.980000	177.35090637	
17.000000	175.95120239	
17.020000	174.01361084	
17.039999	171.64410400	
17.059999	168.78106689	
17.080000	165.52714539	
17.100000	161.07537842	
17.119999	155.80267334	
17.139999	149.90567017	
17.160000	144.44969177	
17.180000	139.53932190	
17.199999	135.49610901	
17.219999	132.56932068	
17.240000	130.58877563	
17.260000	129.54954529	
17.279999	129.16546631	
17.299999	129.81101990	
17.320000	131.44728088	
17.340000	134.08975220	
17.359999	137.47811890	
17.379999	141.30143738	
17.400000	146.00321960	
17.420000	151.45660400	
17.440001	158.01924133	
17.459999	165.09132385	
17.480000	172.33937073	
17.500000	179.32826233	
17.520000	175.12977600	
17.539999	171.77825928	
17.559999	171.55841064	
17.580000	174.06602478	
17.600000	177.82075500	
17.619999	178.49435425	
17.639999	174.62214661	
17.660000	170.20626831	
17.680000	166.04421997	
17.699999	163.99053955	
17.719999	164.13652039	
17.740000	165.34257507	
17.760000	165.75064087	
17.779999	165.80583191	
17.799999	166.01181030	
17.820000	167.31987000	
17.840000	169.25730896	
17.859999	170.83259583	
17.879999	172.03962708	
17.900000	172.88960266	
17.920000	173.82737732	
17.940001	174.65931702	
17.959999	175.50564575	
17.980000	176.20770264	
18.000000	176.89999390	
18.020000	177.32899475	
18.039999	177.75802612	
18.059999	178.11000061	
18.080000	178.24848938	
18.100000	177.71224976	
18.119999	176.32910156	
18.139999	174.29405212	
18.160000	171.78892517	
18.180000	168.80543518	
18.199999	165.19874573	
18.219999	160.89720154	
18.240000	155.74423218	
18.260000	149.57739258	
18.279999	142.97714233	
18.299999	137.02653503	
18.320000	132.46519470	
