Time	Knee_Angle_left_4.84 X
9.880000	172.25573730
9.900000	169.82279968
9.920000	166.53302002
9.940000	162.13793945
9.960000	156.65830994
9.980000	150.35614014
10.000000	143.82795715
10.020000	137.65167236
10.040000	132.39068604
10.059999	128.35890198
10.080000	125.69094849
10.099999	124.35115814
10.120000	124.28710938
10.139999	125.37236786
10.160000	127.49341583
10.179999	130.53820801
10.200000	134.45219421
10.219999	139.22167969
10.240000	144.86184692
10.260000	151.28755188
10.280000	158.22552490
10.300000	165.24581909
10.320000	171.64776611
10.340000	176.58261108
10.360000	179.40270996
10.380000	179.97802734
10.400000	178.57902527
10.420000	175.46498108
10.440000	171.53370667
10.460000	167.85374451
10.480000	165.03251648
10.500000	163.17486572
10.520000	162.27085876
10.540000	162.28405762
10.559999	162.97038269
10.580000	164.06604004
10.599999	165.46572876
10.620000	167.11532593
10.639999	168.89082336
10.660000	170.61271667
10.679999	172.15391541
10.700000	173.50320435
10.719999	174.71554565
10.740000	175.78198242
10.760000	176.67147827
10.780000	177.33006287
10.800000	177.76362610
10.820000	177.94441223
10.840000	177.84513855
10.860000	177.42868042
10.880000	176.65832520
10.900000	175.56083679
10.920000	174.11264038
10.940000	172.28918457
10.960000	169.88502502
10.980000	166.69184875
11.000000	162.47018433
11.020000	157.22666931
11.040000	151.17071533
11.059999	144.77075195
11.080000	138.57688904
11.099999	133.07218933
11.120000	128.58894348
11.139999	125.31079865
11.160000	123.34053802
11.179999	122.65050507
11.200000	123.21894836
11.219999	125.00748444
11.240000	127.89081573
11.259999	131.71110535
11.280000	136.40022278
11.300000	141.89353943
11.320000	148.13168335
11.340000	154.93154907
11.360000	162.09974670
11.380000	169.10197449
11.400000	175.03233337
11.420000	178.97550964
11.440000	179.39591980
11.460000	179.92059326
11.480000	177.13677979
11.500000	172.96932983
11.520000	168.56988525
11.540000	164.93280029
11.559999	162.34715271
11.580000	160.86000061
11.599999	160.42785645
11.620000	160.91964722
11.639999	161.94429016
11.660000	163.32261658
11.679999	164.93309021
11.700000	166.73461914
11.719999	168.55218506
11.740000	170.24726868
11.759999	171.78167725
11.780000	173.25505066
11.800000	174.69288635
11.820000	175.99052429
11.840000	177.03619385
11.860000	177.79649353
11.880000	178.30630493
11.900000	178.54757690
11.920000	178.50604248
11.940000	178.14942932
11.960000	177.46267700
11.980000	176.46412659
12.000000	175.18183899
