Time	Hip_Knee_Angle_left_4.84 X
6.020000	74.78003693	
6.040000	73.79013062	
6.060000	73.29446411	
6.080000	73.33789825	
6.100000	73.79890442	
6.120000	74.47617340	
6.140000	75.09777832	
6.160000	75.54265594	
6.180000	75.69854736	
6.200000	75.53994751	
6.220000	75.17901611	
6.240000	74.93985748	
6.260000	75.10285187	
6.280000	75.79184723	
6.300000	76.99761963	
6.320000	78.68351746	
6.340000	80.71928406	
6.360000	82.95162964	
6.380000	85.24681091	
6.400000	87.57610321	
6.420000	89.93296051	
6.440000	92.29430389	
6.460000	94.61770630	
6.480000	96.89758301	
6.500000	99.17280579	
6.520000	101.40815735	
6.540000	103.54322815	
6.560000	105.51364899	
6.580000	107.37351990	
6.600000	109.11026001	
6.620000	110.74824524	
6.640000	112.27712250	
6.660000	113.70172882	
6.680000	114.98327637	
6.700000	116.07672119	
6.720000	116.88409424	
6.740000	117.26316833	
6.760000	117.02476501	
6.780000	115.99399567	
6.800000	114.13560486	
6.820000	111.52077484	
6.840000	108.35202789	
6.860000	104.80509186	
6.880000	101.08898163	
6.900000	97.34262848	
6.920000	93.71087646	
6.940000	90.27626801	
6.960000	87.13332367	
6.980000	84.28770447	
7.000000	81.74767303	
7.020000	79.48954773	
7.040000	77.56387329	
7.060000	75.99380493	
7.080000	74.84869385	
7.100000	74.14587402	
7.120000	73.90947723	
7.140000	74.08970642	
7.160000	74.58168793	
7.180000	75.18966675	
7.200000	75.72951508	
7.220000	76.08516693	
7.240000	76.17757416	
7.260000	76.02556610	
7.280000	75.85548401	
7.300000	76.01502991	
7.320000	76.66654968	
7.340000	77.81495667	
7.360000	79.42809296	
7.380000	81.46611023	
7.400000	83.77267456	
7.420000	86.18180847	
7.440000	88.63733673	
7.460000	91.13397217	
7.480000	93.59304810	
7.500000	95.92429352	
7.520000	98.11400604	
7.540000	100.18856812	
7.560000	102.14373016	
7.580000	103.97490692	
7.600000	105.69530487	
7.620000	107.32274628	
7.640000	108.86808777	
7.660000	110.36852264	
7.680000	111.82225037	
7.700000	113.20206451	
7.720000	114.48025513	
7.740000	115.68223572	
7.760000	116.75520325	
7.780000	117.59509277	
7.800000	118.00119781	
7.820000	117.75872803	
7.840000	116.67654419	
7.860000	114.72212982	
7.880000	112.02579498	
7.900000	108.78243256	
7.920000	105.20203400	
7.940000	101.43482971	
7.960000	97.62799835	
7.980000	93.89350128	
8.000000	90.36784363	
8.020000	87.15103149	
8.040000	84.28754425	
8.059999	81.72194672	
8.080000	79.43850708	
8.099999	77.45333862	
8.120000	75.86043549	
8.139999	74.71227264	
8.160000	74.09610748	
8.179999	73.99505615	
8.200000	74.31605530	
8.220000	74.84585571	
8.240000	75.40364075	
8.260000	75.86200714	
8.280000	76.12302399	
8.300000	76.13854218	
8.320000	76.00604248	
8.340000	76.03754425	
8.360000	76.46742249	
8.380000	77.40787506	
8.400000	78.82257843	
8.420000	80.68464661	
8.440000	82.83541870	
8.460000	85.12380219	
8.480000	87.47565460	
8.500000	89.87784576	
8.520000	92.26011658	
8.540000	94.52198029	
8.559999	96.62542725	
8.580000	98.58394623	
8.599999	100.46491241	
8.620000	102.29686737	
8.639999	104.09643555	
8.660000	105.86285400	
8.679999	107.59645081	
8.700000	109.28524780	
8.720000	110.90800476	
8.740000	112.44500732	
8.760000	113.86946869	
8.780000	115.16197205	
8.800000	116.29872131	
8.820000	117.24673462	
8.840000	117.87113953	
8.860000	117.93670654	
8.880000	117.21189880	
8.900000	115.59840393	
8.920000	113.16686249	
8.940000	110.10828400	
8.960000	106.67891693	
8.980000	103.08969116	
9.000000	99.49100494	
9.020000	95.95968628	
9.040000	92.57804871	
9.059999	89.39414978	
9.080000	86.45069885	
9.099999	83.76549530	
9.120000	81.35516357	
9.139999	79.22921753	
9.160000	77.45079041	
9.179999	76.07129669	
9.200000	75.14273834	
9.220000	74.65103912	
9.240000	74.60640717	
9.260000	74.96315002	
9.280000	75.59570313	
9.300000	76.29487610	
9.320000	76.88182831	
9.340000	77.20919037	
9.360000	77.20459747	
9.380000	76.99163818	
9.400000	76.87951660	
9.420000	77.17661285	
9.440000	78.00248718	
9.460000	79.34349060	
9.480000	81.12667084	
9.500000	83.23202515	
9.520000	85.49814606	
9.540000	87.82318115	
9.559999	90.18708801	
9.580000	92.60083008	
9.599999	94.99909973	
9.620000	97.30815125	
9.639999	99.49266815	
9.660000	101.57781982	
9.679999	103.53336334	
9.700000	105.35760498	
9.719999	107.05945587	
9.740000	108.70218658	
9.760000	110.29238129	
9.780000	111.83612061	
9.800000	113.30989075	
9.820000	114.69734192	
9.840000	115.98926544	
9.860000	117.16730499	
9.880000	118.15749359	
9.900000	118.81736755	
9.920000	118.92771912	
9.940000	118.25689697	
9.960000	116.67793274	
9.980000	114.24623108	
10.000000	111.14945221	
10.020000	107.61166382	
10.040000	103.84869385	
10.059999	100.04219818	
10.080000	96.31042480	
10.099999	92.76435089	
10.120000	89.47460938	
10.139999	86.46943665	
10.160000	83.72913361	
10.179999	81.27219391	
10.200000	79.11261749	
10.219999	77.33184814	
10.240000	76.00022125	
10.260000	75.18105316	
10.280000	74.83901215	
10.300000	74.93518066	
10.320000	75.33399200	
10.340000	75.85516357	
10.360000	76.29182434	
10.380000	76.55503082	
10.400000	76.56296539	
10.420000	76.30446625	
10.440000	75.95453644	
10.460000	75.83489227	
10.480000	76.15566254	
10.500000	76.96713257	
10.520000	78.25878906	
10.540000	79.99575806	
10.559999	82.05454254	
10.580000	84.32979584	
10.599999	86.73276520	
10.620000	89.20477295	
10.639999	91.65242767	
10.660000	93.98882294	
10.679999	96.15805054	
10.700000	98.19105530	
10.719999	100.17225647	
10.740000	102.13884735	
10.760000	104.07941437	
10.780000	105.94494629	
10.800000	107.72327423	
10.820000	109.39717865	
10.840000	110.97426605	
10.860000	112.46353149	
10.880000	113.87107086	
10.900000	115.21711731	
10.920000	116.46731567	
10.940000	117.55904388	
10.960000	118.31272125	
10.980000	118.52210236	
11.000000	117.96205139	
11.020000	116.54864502	
11.040000	114.31497192	
11.059999	111.41820526	
11.080000	108.06964111	
11.099999	104.45742798	
11.120000	100.72257233	
11.139999	96.97915649	
11.160000	93.37568665	
11.179999	89.99528503	
11.200000	86.93732452	
11.219999	84.24724579	
11.240000	81.91645050	
11.259999	79.88550568	
11.280000	78.19195557	
11.300000	76.86467743	
11.320000	75.94691467	
11.340000	75.44442749	
