Time	Knee_Ankle_Angle_right X
3.360000	80.34493256	
3.380000	80.29627228	
3.400000	80.14601898	
3.420000	79.91602325	
3.440000	79.60700226	
3.460000	79.18528748	
3.480000	78.47323608	
3.500000	77.51589966	
3.520000	76.48056030	
3.540000	75.16764832	
3.560000	73.83747101	
3.580000	71.97155762	
3.600000	69.94433594	
3.620000	67.47750854	
3.640000	64.99081421	
3.660000	62.41825104	
3.680000	60.09530258	
3.700000	58.03140640	
3.720000	56.57116699	
3.740000	55.97893143	
3.760000	56.34388351	
3.780000	57.75860596	
3.800000	59.82260895	
3.820000	62.45449829	
3.840000	65.39248657	
3.860000	68.73357391	
3.880000	72.32453156	
3.900000	76.02347565	
3.920000	79.44644928	
3.940000	82.47702789	
3.960000	84.68708038	
3.980000	86.08537292	
4.000000	86.40471649	
4.020000	86.16994476	
4.040000	85.92791748	
4.060000	85.91989899	
4.080000	85.67744446	
4.100000	84.72202301	
4.120000	83.44252014	
4.140000	82.92300415	
4.160000	83.25164795	
4.180000	83.94805908	
4.200000	83.95444489	
4.220000	83.50116730	
4.240000	83.03154755	
4.260000	82.93144989	
4.280000	82.98149872	
4.300000	82.87638855	
4.320000	82.49444580	
4.340000	82.24778748	
4.360000	82.08537292	
4.380000	82.10009766	
4.400000	81.82284546	
4.420000	81.50000000	
4.440000	81.02980804	
4.460000	80.62474823	
4.480000	80.07668304	
4.500000	79.20557404	
4.520000	77.95517731	
4.540000	76.25256348	
4.560000	74.32922363	
4.580000	71.92956543	
4.600000	69.45603180	
4.620000	66.81017303	
4.640000	64.28771210	
4.660000	61.63820267	
4.680000	59.18357468	
4.700000	57.10191345	
4.720000	56.01448059	
4.740000	55.92047882	
4.760000	56.82738876	
4.780000	58.44257736	
4.800000	60.52745056	
4.820000	63.03343964	
4.840000	65.83783722	
4.860000	69.13636017	
4.880000	72.75377655	
4.900000	76.61768341	
4.920000	80.26378632	
4.940000	83.46931458	
4.960000	85.95103455	
4.980000	87.74381256	
5.000000	88.63143158	
5.020000	88.60551453	
5.040000	88.02239227	
5.060000	87.52838135	
5.080000	87.02439117	
5.100000	86.14611816	
