Time	Right_Hand_y_baseline X
14.799999	0.03552067	
14.820000	0.04582763	
14.839999	0.04191464	
14.860000	0.02213126	
14.880000	-0.00020182	
14.900000	-0.01633888	
14.920000	-0.02008450	
14.940000	-0.02003974	
14.960000	-0.02007610	
14.980000	-0.01438719	
15.000000	-0.00235564	
15.020000	0.01500148	
15.040000	0.02700996	
15.059999	0.02863497	
15.080000	0.01703441	
15.099999	-0.00104636	
15.120000	-0.01544094	
15.139999	-0.02150398	
15.160000	-0.02145398	
15.179999	-0.02050471	
15.200000	-0.01745683	
15.219999	-0.00542682	
15.240000	0.01260954	
15.259999	0.03079760	
15.280000	0.03815335	
15.299999	0.03018552	
15.320000	0.00891441	
15.339999	-0.01034558	
15.360000	-0.02098089	
15.380000	-0.02122676	
15.400000	-0.02145839	
15.420000	-0.01982361	
15.440000	-0.01332182	
15.460000	0.00183380	
15.480000	0.01971984	
15.500000	0.03573304	
15.520000	0.04173082	
15.540000	0.03605038	
15.559999	0.01688546	
15.580000	-0.00400919	
15.599999	-0.01782268	
15.620000	-0.02090245	
15.639999	-0.02089089	
15.660000	-0.01879436	
15.679999	-0.00991422	
15.700000	0.00622147	
15.719999	0.02434331	
15.740000	0.03559405	
15.759999	0.03458095	
15.780000	0.01865983	
15.799999	-0.00145274	
15.820000	-0.01618147	
15.839999	-0.02040517	
15.860000	-0.02033025	
15.880000	-0.02063084	
15.900000	-0.01648444	
15.920000	-0.00519764	
15.940000	0.01131904	
15.960000	0.02547842	
15.980000	0.03096229	
16.000000	0.02581960	
16.020000	0.00762677	
16.039999	-0.00927573	
16.059999	-0.02073222	
16.080000	-0.02125484	
16.100000	-0.02164447	
16.119999	-0.02208328	
16.139999	-0.01685286	
16.160000	-0.00473773	
16.180000	0.01365012	
16.199999	0.02831471	
16.219999	0.03402150	
16.240000	0.02708334	
16.260000	0.00725532	
16.279999	-0.01055110	
16.299999	-0.02215171	
16.320000	-0.02248806	
16.340000	-0.02245164	
16.359999	-0.02003825	
16.379999	-0.01088446	
16.400000	0.00354868	
