Time	Step_Length_2 X
8.940000	-0.08943164	
8.960000	-0.12250793	
8.980000	-0.15560991	
9.000000	-0.18681651	
9.020000	-0.21478230	
9.040000	-0.23717141	
9.059999	-0.25324619	
9.080000	-0.26307416	
9.099999	-0.26807350	
9.120000	-0.26945490	
9.139999	-0.26884568	
9.160000	-0.26748544	
9.179999	-0.26516604	
9.200000	-0.26129007	
9.220000	-0.25536036	
9.240000	-0.24772316	
9.260000	-0.23792624	
9.280000	-0.22599941	
9.300000	-0.21146065	
9.320000	-0.19422269	
9.340000	-0.17358005	
9.360000	-0.14949924	
9.380000	-0.12178981	
9.400000	-0.09094328	
9.420000	-0.05740017	
9.440000	-0.02220833	
9.460000	0.01381624	
9.480000	0.04907757	
9.500000	0.08202636	
9.520000	0.11109275	
9.540000	0.13477665	
9.559999	0.15207398	
9.580000	0.16296369	
9.599999	0.16865069	
9.620000	0.17030835	
9.639999	0.16940427	
9.660000	0.16684520	
9.679999	0.16314977	
9.700000	0.15746224	
9.719999	0.14912122	
9.740000	0.13770109	
9.760000	0.12305558	
9.780000	0.10497099	
9.800000	0.08376676	
9.820000	0.06000286	
9.840000	0.03437185	
9.860000	0.00716114	
9.880000	-0.02141684	
9.900000	-0.05120212	
9.920000	-0.08195841	
9.940000	-0.11356020	
9.960000	-0.14519519	
9.980000	-0.17569655	
10.000000	-0.20332623	
10.020000	-0.22641325	
10.040000	-0.24341393	
10.059999	-0.25439090	
10.080000	-0.26017547	
10.099999	-0.26232016	
10.120000	-0.26212019	
10.139999	-0.26102591	
10.160000	-0.25922269	
10.179999	-0.25616062	
10.200000	-0.25127733	
10.219999	-0.24451679	
10.240000	-0.23592120	
10.260000	-0.22507232	
10.280000	-0.21201068	
10.300000	-0.19612342	
10.320000	-0.17744559	
10.340000	-0.15518397	
10.360000	-0.12964553	
10.380000	-0.10054606	
10.400000	-0.06875849	
10.420000	-0.03438604	
10.440000	0.00133908	
10.460000	0.03776604	
10.480000	0.07331568	
10.500000	0.10675561	
10.520000	0.13597041	
10.540000	0.15931165	
10.559999	0.17574602	
10.580000	0.18563735	
10.599999	0.19015872	
10.620000	0.19090569	
10.639999	0.18940794	
10.660000	0.18631256	
10.679999	0.18185651	
10.700000	0.17549777	
10.719999	0.16700268	
10.740000	0.15590763	
10.760000	0.14213359	
10.780000	0.12533653	
10.800000	0.10564822	
10.820000	0.08347756	
10.840000	0.05970353	
10.860000	0.03474212	
10.880000	0.00882018	
10.900000	-0.01786596	
10.920000	-0.04585582	
10.940000	-0.07555687	
10.960000	-0.10679406	
10.980000	-0.13838530	
11.000000	-0.16927886	
11.020000	-0.19810671	
11.040000	-0.22312188	
11.059999	-0.24269205	
11.080000	-0.25628525	
11.099999	-0.26476270	
11.120000	-0.26912922	
11.139999	-0.27074301	
11.160000	-0.27059478	
11.179999	-0.26973009	
11.200000	-0.26813859	
11.219999	-0.26531094	
11.240000	-0.26089483	
11.259999	-0.25484931	
11.280000	-0.24709946	
11.300000	-0.23718870	
11.320000	-0.22506231	
11.340000	-0.21046185	
11.360000	-0.19326383	
11.380000	-0.17291898	
11.400000	-0.14935291	
11.420000	-0.12197137	
11.440000	-0.09124136	
11.460000	-0.05710697	
11.480000	-0.02015233	
11.500000	0.01923245	
11.520000	0.05885464	
11.540000	0.09732968	
11.559999	0.13242447	
11.580000	0.16235590	
11.599999	0.18481505	
11.620000	0.19995838	
11.639999	0.20860070	
11.660000	0.21233916	
11.679999	0.21227509	
11.700000	0.21024764	
11.719999	0.20669955	
11.740000	0.20123851	
11.759999	0.19300133	
11.780000	0.18173528	
11.800000	0.16731364	
11.820000	0.14986610	
11.840000	0.12975782	
11.860000	0.10756546	
11.880000	0.08407182	
11.900000	0.05962455	
11.920000	0.03442055	
11.940000	0.00814468	
11.960000	-0.01932693	
11.980000	-0.04833263	
12.000000	-0.07857615	
12.020000	-0.10961926	
12.040000	-0.14013141	
12.059999	-0.16906846	
12.080000	-0.19471353	
12.099999	-0.21537405	
12.120000	-0.22976655	
12.139999	-0.23838812	
12.160000	-0.24223650	
12.179999	-0.24267113	
12.200000	-0.24109805	
12.219999	-0.23857844	
12.240000	-0.23503214	
12.259999	-0.22956318	
12.280000	-0.22203678	
12.300000	-0.21258092	
12.320000	-0.20124209	
12.340000	-0.18743217	
12.360000	-0.17115062	
12.380000	-0.15193659	
12.400000	-0.12970716	
12.420000	-0.10416859	
12.440000	-0.07619470	
12.460000	-0.04620552	
12.480000	-0.01482677	
12.500000	0.01770431	
12.520000	0.04985023	
