Time	Right_paced_y_velocity X
9.400000	0.00464332	
9.420000	0.00621776	
9.440000	0.01049942	
9.460000	0.01642045	
9.480000	0.02030580	
9.500000	0.01941397	
9.520000	0.01572513	
9.540000	0.01441724	
9.559999	0.05164628	
9.580000	0.15474242	
9.599999	0.31784275	
9.620000	0.49732617	
9.639999	0.65261710	
9.660000	0.73434407	
9.679999	0.70344377	
9.700000	0.57313472	
9.719999	0.38844025	
9.740000	0.17878631	
9.760000	-0.08621728	
9.780000	-0.40808219	
9.800000	-0.70275885	
9.820000	-0.86892295	
9.840000	-0.86926866	
9.860000	-0.72277725	
9.880000	-0.47443178	
9.900000	-0.21379402	
9.920000	-0.04376159	
9.940000	0.00669391	
9.960000	0.00131080	
9.980000	0.00016559	
10.000000	0.00072314	
10.020000	0.00094138	
10.040000	0.00111386	
10.059999	0.00226609	
10.080000	0.00321747	
10.099999	0.00422106	
10.120000	0.00942728	
10.139999	0.01448355	
10.160000	0.03261577	
10.179999	0.07722338	
10.200000	0.17056955	
10.219999	0.30473825	
10.240000	0.46447182	
10.260000	0.60975218	
10.280000	0.69539773	
10.300000	0.68661916	
10.320000	0.59672546	
10.340000	0.46651196	
10.360000	0.33222681	
10.380000	0.22770754	
10.400000	0.14350107	
10.420000	0.06227538	
10.440000	-0.06529115	
10.460000	-0.27812567	
10.480000	-0.57319504	
10.500000	-0.83349556	
10.520000	-0.94608361	
10.540000	-0.88235521	
10.559999	-0.68719447	
10.580000	-0.41656044	
10.599999	-0.15961236	
10.620000	-0.01735904	
10.639999	0.00848857	
10.660000	-0.00680287	
10.679999	-0.00828610	
10.700000	-0.00311645	
10.719999	0.00341230	
10.740000	0.00854482	
10.760000	0.01014756	
10.780000	0.00511855	
10.800000	0.01646093	
10.820000	0.07366299	
10.840000	0.19452253	
10.860000	0.35615095	
10.880000	0.52590770	
10.900000	0.65792704	
10.920000	0.71012759	
10.940000	0.66155267	
10.960000	0.54670942	
10.980000	0.41327527	
11.000000	0.29960209	
11.020000	0.22131486	
