Time	Knöchel li X	Knöchel li Y	Knöchel li Weg	Knöchel li v(X)	Knöchel li v(Y)	Knöchel li v(Bahn)	Knöchel li a(X)	Knöchel li a(Y)	Knöchel li a(Bahn)
1.500000	-0.42966294	-0.44615605	0.96352661	-1.14458716	-0.49040720	1.24522245	-0.25452042	-2.47613430	1.11657441	
1.520000	-0.45392981	-0.45719886	0.99018788	-1.13280439	-0.51972091	1.24633694	3.15884876	-0.52064216	-2.67349124	
1.540000	-0.47777626	-0.46843112	1.01654720	-1.03704536	-0.50381875	1.15295112	6.77806807	1.23291063	-6.59756136	
1.560000	-0.49919459	-0.47886732	1.04037285	-0.85192436	-0.45230505	0.96454912	10.01834393	2.57733917	-9.69296741	
1.580000	-0.51561195	-0.48764861	1.05899107	-0.59450889	-0.37824735	0.70463598	12.18737316	3.34398603	-9.96151066	
1.600000	-0.52489185	-0.49418050	1.07033932	-0.29890376	-0.29546258	0.42028752	12.73655796	3.50873971	-7.38455057	
1.620000	-0.52676803	-0.49888933	1.07540810	-0.00967035	-0.21771358	0.21792825	11.61989117	3.22128463	-4.03559875	
1.640000	-0.52262288	-0.50209737	1.08064961	0.22582328	-0.15623613	0.27460131	9.29670334	2.68184733	-0.72619414	
1.660000	-0.51434708	-0.50444514	1.08925200	0.37955663	-0.11290456	0.39599326	6.42120934	2.07055569	2.04407096	
1.680000	-0.50408334	-0.50611037	1.09964991	0.45892778	-0.08186198	0.46617174	3.67655754	1.52909517	2.68707371	
1.700000	-0.49380925	-0.50753248	1.11002195	0.48877737	-0.05808669	0.49221680	1.64965189	1.13557339	1.46837735	
1.720000	-0.48432460	-0.50852805	1.11955869	0.49062452	-0.03900278	0.49217236	0.52996552	0.86858040	0.43607634	
1.740000	-0.47493580	-0.50908536	1.12896407	0.48276302	-0.02468277	0.48339361	0.06624060	0.66349798	0.01892484	
1.760000	-0.46522853	-0.50924283	1.13867259	0.48064470	-0.01334696	0.48082998	-0.05376833	0.49341312	-0.07632136	
1.780000	-0.45542312	-0.50926697	1.14847803	0.48524556	-0.00548487	0.48527655	-0.00051024	0.37716553	-0.00978584	
1.800000	-0.44579437	-0.50942028	1.15810800	0.48772201	-0.00039389	0.48772216	0.07297195	0.31905490	0.07136089	
1.820000	-0.43603224	-0.50942075	1.16787016	0.48688373	0.00373125	0.48689803	0.06202991	0.29382193	0.06554857	
1.840000	-0.42622036	-0.50937635	1.17768216	0.48739296	0.00983203	0.48749211	0.02779190	0.29478946	0.03511383	
1.860000	-0.41648430	-0.50905937	1.18742335	0.48853710	0.01710330	0.48883641	0.04674120	0.30813462	0.05739565	
1.880000	-0.40676528	-0.50865424	1.19715083	0.48907763	0.02367049	0.48965010	0.07415573	0.29892036	0.08711588	
1.900000	-0.39695570	-0.50803316	1.20698011	0.49072546	0.02974420	0.49162608	0.06899732	0.25579479	0.08247168	
1.920000	-0.38717273	-0.50740278	1.21678340	0.49348927	0.03458757	0.49469987	0.04314306	0.22314186	0.05732710	
1.940000	-0.37723473	-0.50667936	1.22674775	0.49473649	0.03787576	0.49618420	-0.02419314	0.23746964	-0.00567535	
1.960000	-0.36729857	-0.50584602	1.23671877	0.49418828	0.04056095	0.49585003	-0.16359779	0.32241169	-0.13162860	
1.980000	-0.35729548	-0.50499493	1.24675798	0.49063742	0.04636991	0.49282375	-0.36444923	0.53758657	-0.29227361	
2.000000	-0.34754118	-0.50412601	1.25655091	0.48208988	0.05702970	0.48545137	-0.62152493	0.93223315	-0.44351897	
2.020000	-0.33785293	-0.50309908	1.26629341	0.46733922	0.07606084	0.47348833	-0.96158427	1.48981893	-0.54722804	
2.040000	-0.32859033	-0.50153905	1.27568650	0.44599345	0.10959365	0.45926130	-1.39650559	2.15751028	-0.52721322	
2.060000	-0.31972885	-0.49929118	1.28482866	0.41591284	0.16050954	0.44581029	-1.92691207	2.85989833	-0.30231103	
2.080000	-0.31162494	-0.49586892	1.29362559	0.37348813	0.22788163	0.43751961	-2.55591321	3.43101358	0.10686190	
2.100000	-0.30431047	-0.49077389	1.30253971	0.31676081	0.30775020	0.44164193	-3.27315903	3.65914297	0.55998766	
2.120000	-0.29830608	-0.48381853	1.31172824	0.24407372	0.39272490	0.46239033	-4.03749609	3.37498045	0.87710035	
2.140000	-0.29391333	-0.47484764	1.32171690	0.15527761	0.46789405	0.49298680	-4.80074024	2.47407341	0.91423011	
2.160000	-0.29157868	-0.46429724	1.33252251	0.05046897	0.51732218	0.51977819	-5.52405262	0.94459552	0.67913854	
2.180000	-0.29149446	-0.45265251	1.34416759	-0.06857276	0.52603638	0.53048706	-6.18305540	-1.07563794	0.49061632	
2.200000	-0.29391152	-0.44126314	1.35581064	-0.20005831	0.48424250	0.52394098	-6.75038433	-3.30207348	0.84066981	
2.220000	-0.29908437	-0.43119445	1.36713040	-0.34175104	0.38955021	0.51821148	-7.16761684	-5.38029194	1.94048452	
2.240000	-0.30726272	-0.42390731	1.37808430	-0.49230373	0.24944957	0.55189496	-7.35108042	-6.95895338	3.56739759	
2.260000	-0.31858268	-0.42010021	1.39002728	-0.64688474	0.08026458	0.65184528	-7.20034504	-7.78521442	5.25729942	
2.280000	-0.33311898	-0.42040631	1.40456676	-0.79682899	-0.09681616	0.80268914	-6.56095457	-7.74242353	6.35573578	
2.300000	-0.35086176	-0.42456251	1.42278981	-0.93060327	-0.26033273	0.96633101	-5.21037865	-6.83607483	6.14181566	
2.320000	-0.37134027	-0.43210414	1.44461286	-1.03470540	-0.39463896	1.10740924	-2.97187042	-5.20276737	4.27601862	
2.340000	-0.39381886	-0.44193512	1.46914721	-1.08812487	-0.48678672	1.19204748	0.12106245	-3.12804389	1.02612460	
2.360000	-0.41712260	-0.45318267	1.49502325	-1.06461966	-0.52722597	1.18801606	3.78382516	-0.94080162	-2.99296904	
2.380000	-0.43981057	-0.46486869	1.52054393	-0.94631141	-0.51542079	1.07757318	7.52815485	1.07142842	-7.01304150	
2.400000	-0.45927808	-0.47578165	1.54286158	-0.73905891	-0.46343845	0.87234354	10.65288639	2.61964107	-9.46545887	
2.420000	-0.47280556	-0.48464933	1.55903649	-0.46781248	-0.38546705	0.60616285	12.39929485	3.46994257	-8.73953915	
2.440000	-0.47875452	-0.49115258	1.56785023	-0.17017157	-0.29675812	0.34208733	12.38226032	3.62375307	-5.86780167	
2.460000	-0.47793844	-0.49579450	1.57256329	0.10397355	-0.21543147	0.23920956	10.81879044	3.29327893	-2.63690114	
2.480000	-0.47173384	-0.49900219	1.57954800	0.30915067	-0.15540117	0.34601107	8.25612259	2.69871640	0.50758201	
2.500000	-0.46214119	-0.50122029	1.58939373	0.43221372	-0.11470090	0.44717446	5.33764029	2.02989388	2.51093745	
2.520000	-0.45128843	-0.50293297	1.60038078	0.49201903	-0.08446695	0.49921677	2.76347446	1.48190010	2.21019697	
2.540000	-0.44102183	-0.50455797	1.61077523	0.50954127	-0.06055109	0.51312643	1.03770852	1.14376748	0.85742176	
2.560000	-0.43131012	-0.50569522	1.62055326	0.50216120	-0.04217996	0.50392956	0.14602201	0.93485510	0.05056695	
2.580000	-0.42137918	-0.50622058	1.63049805	0.48945165	-0.02606485	0.49014518	-0.22274607	0.76321113	-0.27160496	
2.600000	-0.41141412	-0.50628984	1.64046335	0.48575020	-0.01107404	0.48587641	-0.26533097	0.62923169	-0.28852189	
2.620000	-0.40179321	-0.50638455	1.65008473	0.48544264	0.00050217	0.48544291	-0.11149206	0.54641730	-0.11831157	
2.640000	-0.39241409	-0.50637108	1.65946388	0.48273510	0.00845790	0.48280919	0.03480873	0.48122460	0.04059075	
2.660000	-0.38266116	-0.50620162	1.66921830	0.48224297	0.01618613	0.48251453	0.07963401	0.41935250	0.09352437	
2.680000	-0.37297767	-0.50571936	1.67891383	0.48735386	0.02551326	0.48802122	0.11313690	0.37671673	0.13117959	
2.700000	-0.36319926	-0.50511461	1.68871093	0.49223483	0.03382538	0.49339566	0.16278121	0.34238541	0.18291727	
2.720000	-0.35341015	-0.50428796	1.69853485	0.49429855	0.04000911	0.49591509	0.16015042	0.28661087	0.18007922	
2.740000	-0.34332216	-0.50339359	1.70866239	0.49665427	0.04450106	0.49864396	0.10877123	0.22093861	0.12662107	
2.760000	-0.33337620	-0.50247788	1.71865046	0.49941978	0.04807709	0.50172853	0.07312332	0.17047481	0.08845872	
2.780000	-0.32340384	-0.50149608	1.72867107	0.50083327	0.05068255	0.50339121	0.04135269	0.13816541	0.05478137	
2.800000	-0.31343693	-0.50047117	1.73869050	0.50072747	0.05327064	0.50355315	-0.03273560	0.13399309	-0.01842950	
2.820000	-0.30332708	-0.49934509	1.74886286	0.50040203	0.05529347	0.50344765	-0.14680792	0.18561134	-0.12425540	
2.840000	-0.29328391	-0.49820551	1.75897050	0.49760124	0.05786938	0.50095493	-0.28447795	0.32654697	-0.23731655	
2.860000	-0.28329039	-0.49702364	1.76903367	0.49065730	0.06340218	0.49473673	-0.46500844	0.59312880	-0.35668722	
2.880000	-0.27349034	-0.49586609	1.77890182	0.47930261	0.07546020	0.48520640	-0.71382093	1.00275075	-0.47211355	
2.900000	-0.26396188	-0.49442270	1.78853893	0.46389663	0.09788767	0.47411188	-1.04094303	1.53442490	-0.53859097	
2.920000	-0.25481561	-0.49249393	1.79788637	0.44200751	0.13387458	0.46183661	-1.47050476	2.13547969	-0.50763130	
2.940000	-0.24608183	-0.48962334	1.80707979	0.41056520	0.18372391	0.44979802	-2.03693652	2.71393299	-0.34637609	
2.960000	-0.23793353	-0.48559034	1.81617153	0.36606228	0.24653341	0.44133922	-2.73848677	3.13741422	-0.05206637	
2.980000	-0.23076612	-0.48007101	1.82521784	0.30541196	0.31846911	0.44124714	-3.52176332	3.26368141	0.32136428	
3.000000	-0.22500643	-0.47305638	1.83429408	0.22613856	0.39243820	0.45293090	-4.32833529	2.95620990	0.64498597	
3.020000	-0.22109197	-0.46426743	1.84391534	0.12938741	0.45693761	0.47490323	-5.11513710	2.10517073	0.79885936	
3.040000	-0.21932687	-0.45411003	1.85422492	0.01799314	0.49911147	0.49943569	-5.84292984	0.68190032	0.81136519	
3.060000	-0.22003482	-0.44294053	1.86541688	-0.10640784	0.50471824	0.51581305	-6.48786592	-1.20493841	0.95110053	
3.080000	-0.22328003	-0.43208203	1.87674999	-0.24325851	0.46295902	0.52297777	-7.04959965	-3.31373477	1.57588351	
3.100000	-0.22933200	-0.42242348	1.88814795	-0.39110738	0.36956728	0.53809381	-7.50130224	-5.33568811	2.82072234	
3.120000	-0.23845938	-0.41549858	1.89960492	-0.54803932	0.23180412	0.59504640	-7.76819229	-6.93550587	4.50379801	
3.140000	-0.25097424	-0.41195047	1.91261303	-0.71060270	0.06451704	0.71352553	-7.75740814	-7.82334948	6.21601057	
3.160000	-0.26690274	-0.41262415	1.92855573	-0.87179625	-0.11402103	0.87922096	-7.36184645	-7.85369015	7.37909555	
3.180000	-0.28619003	-0.41700056	1.94833326	-1.02215433	-0.28241426	1.06045151	-6.43277979	-7.05056429	7.42114878	
3.200000	-0.30848306	-0.42496285	1.97200561	-1.15066659	-0.42201701	1.22561491	-4.79100037	-5.53140306	6.05273962	
3.220000	-0.33329606	-0.43543902	1.99893951	-1.24294412	-0.52013671	1.34738719	-2.29196310	-3.51827145	3.32338452	
3.240000	-0.35982135	-0.44756347	2.02810454	-1.27873731	-0.57035327	1.40016854	1.04562700	-1.32836092	-0.46138895	
3.260000	-0.38695261	-0.46006447	2.05797720	-1.23417234	-0.56943440	1.35920453	4.93443346	0.72260994	-4.77933025	
3.280000	-0.41283229	-0.47201467	2.08648276	-1.09162319	-0.52477324	1.21120942	8.82217026	2.38860059	-8.93112564	
3.300000	-0.43494800	-0.48236632	2.11090112	-0.85509187	-0.44962671	0.96609849	11.97784042	3.48481393	-11.51894188	
3.320000	-0.45051023	-0.49049741	2.12845945	-0.55257654	-0.36047164	0.65975803	13.66243553	3.92209959	-10.65324974	
3.340000	-0.45792407	-0.49645969	2.13797331	-0.22899301	-0.27073810	0.35459402	13.47955227	3.78367805	-7.28441811	
3.360000	-0.45775881	-0.50061500	2.14213181	0.06442986	-0.19318478	0.20364569	11.62993908	3.27617097	-3.59832764	
3.380000	-0.45187140	-0.50353122	2.14870191	0.28301865	-0.13516241	0.31363744	8.75823689	2.60951781	-0.05594452	
3.400000	-0.44267040	-0.50537431	2.15808558	0.41293907	-0.09474006	0.42366773	5.62829638	1.94285512	2.45975041	
3.420000	-0.43224254	-0.50673211	2.16860151	0.47205991	-0.06565399	0.47660360	2.94960594	1.41353762	2.45796680	
3.440000	-0.42238444	-0.50782126	2.17851949	0.48910496	-0.04382554	0.49106449	1.17956817	1.07503319	1.05830336	
3.460000	-0.41300896	-0.50858712	2.18792629	0.48565075	-0.02738336	0.48642215	0.30191493	0.87440693	0.24067129	
3.480000	-0.40363687	-0.50894135	2.19730496	0.47965652	-0.01240968	0.47981703	-0.02344684	0.73762888	-0.04775659	
3.500000	-0.39379108	-0.50890291	2.20715094	0.48032433	0.00198061	0.48032841	-0.09324671	0.63575917	-0.09686273	
3.520000	-0.38412398	-0.50874245	2.21681929	0.48351830	0.01481821	0.48374531	-0.07103120	0.55719167	-0.06125405	
3.540000	-0.37441340	-0.50832212	2.22653890	0.48207557	0.02448309	0.48269689	-0.08099250	0.47834471	-0.06174778	
3.560000	-0.36484712	-0.50774419	2.23612261	0.47740248	0.03220686	0.47848764	-0.14545676	0.39027652	-0.12178715	
3.580000	-0.35521442	-0.50691456	2.24579096	0.47314969	0.03949874	0.47479552	-0.17964435	0.30547816	-0.15625314	
3.600000	-0.34589401	-0.50609672	2.25514722	0.46930856	0.04553222	0.47151214	-0.13901623	0.23726903	-0.11819472	
3.620000	-0.33654013	-0.50513142	2.26455069	0.46629912	0.04943433	0.46891215	-0.06515021	0.17363504	-0.04845781	
3.640000	-0.32735288	-0.50407559	2.27379847	0.46548253	0.05141693	0.46831366	0.01078769	0.11435691	0.02244586	
3.660000	-0.31801474	-0.50295013	2.28320408	0.46730593	0.05293114	0.47029409	0.07713471	0.08648478	0.08614184	
3.680000	-0.30871844	-0.50188076	2.29256177	0.47036177	0.05376635	0.47342476	0.10852437	0.11515468	0.12131403	
3.700000	-0.29921365	-0.50086820	2.30212045	0.47389111	0.05517935	0.47709280	0.08678867	0.20652586	0.11298081	
