Time	Left_paced_y_velocity X
6.700000	0.01016575	
6.720000	-0.00352114	
6.740000	-0.01227389	
6.760000	-0.01050550	
6.780000	-0.00239443	
6.800000	0.00091369	
6.820000	-0.00043890	
6.840000	0.00081025	
6.860000	0.00330632	
6.880000	0.00818191	
6.900000	0.01727547	
6.920000	0.03882695	
6.940000	0.07359358	
6.960000	0.14643534	
6.980000	0.26356438	
7.000000	0.41091424	
7.020000	0.55703664	
7.040000	0.67148590	
7.060000	0.72066730	
7.080000	0.69231409	
7.100000	0.60516506	
7.120000	0.49158195	
7.140000	0.37646315	
7.160000	0.27087456	
7.180000	0.18844222	
7.200000	0.11935537	
7.220000	0.06235503	
7.240000	0.01732515	
7.260000	-0.01107935	
7.280000	-0.03427877	
7.300000	-0.04704288	
7.320000	-0.05131561	
7.340000	-0.04443481	
7.360000	-0.03800720	
7.380000	-0.04662000	
7.400000	-0.07641464	
7.420000	-0.13109854	
7.440000	-0.22978252	
7.460000	-0.40596575	
7.480000	-0.65050632	
7.500000	-0.86230445	
7.520000	-0.94372010	
7.540000	-0.87304080	
7.560000	-0.67869681	
7.580000	-0.40912956	
7.600000	-0.15070458	
7.620000	-0.00211255	
7.640000	0.04431951	
7.660000	0.06396134	
7.680000	0.13291731	
7.700000	0.25294879	
7.720000	0.40289435	
7.740000	0.53800112	
7.760000	0.62595767	
7.780000	0.64095223	
7.800000	0.56271207	
7.820000	0.41794395	
7.840000	0.24514227	
7.860000	0.08091079	
7.880000	-0.08759687	
7.900000	-0.26991233	
7.920000	-0.48193029	
7.940000	-0.66897398	
7.960000	-0.75781620	
7.980000	-0.71427858	
8.000000	-0.56827384	
8.020000	-0.36432475	
8.040000	-0.15574482	
8.059999	-0.02542205	
8.080000	0.01031135	
8.099999	0.00003210	
8.120000	-0.00086309	
8.139999	0.00096988	
8.160000	0.00459974	
8.179999	0.00876604	
8.200000	0.02058433	
8.220000	0.05019088	
8.240000	0.12694436	
8.260000	0.25346872	
8.280000	0.40464303	
8.300000	0.53847003	
8.320000	0.62028307	
8.340000	0.61796951	
8.360000	0.52488106	
8.380000	0.38118148	
8.400000	0.23694266	
8.420000	0.12677741	
8.440000	0.05090474	
8.460000	0.00827020	
8.480000	-0.04902281	
8.500000	-0.18171602	
8.520000	-0.40941310	
8.540000	-0.63625461	
8.559999	-0.76153946	
8.580000	-0.74565804	
8.599999	-0.60508394	
8.620000	-0.38075599	
8.639999	-0.15459780	
8.660000	-0.02227145	
