Time	Knöchel re X	Knöchel re Y	Knöchel re Weg	Knöchel re v(X)	Knöchel re v(Y)	Knöchel re v(Bahn)	Knöchel re a(X)	Knöchel re a(Y)	Knöchel re a(Bahn)
1.380000	-0.83139664	-0.52110493	0.81566489	-0.45780918	0.00742698	0.45786941	0.04911657	-0.09491535	-0.05118423	
1.400000	-0.84010619	-0.52140427	0.82437956	-0.45817998	0.00479271	0.45820504	0.08692241	-0.02364107	-0.08764325	
1.420000	-0.84970444	-0.52132499	0.83397812	-0.45311186	0.00462184	0.45313543	0.19624287	0.10910808	-0.19329853	
1.440000	-0.85888255	-0.52101856	0.84316134	-0.44667554	0.00670403	0.44672585	0.37611112	0.31094038	-0.36275148	
1.460000	-0.86799014	-0.52082062	0.85227108	-0.44073892	0.01397927	0.44096056	0.55411214	0.67259717	-0.49521729	
1.480000	-0.87618238	-0.52055711	0.86046755	-0.42902088	0.02762922	0.42990962	0.74056667	1.25059307	-0.53030372	
1.500000	-0.88463980	-0.52044177	0.86892575	-0.41144598	0.05196182	0.41471416	1.04349732	2.03062701	-0.44471729	
1.520000	-0.89314801	-0.51926291	0.87751526	-0.38830274	0.09882545	0.40068129	1.54422522	2.93110943	-0.16831650	
1.540000	-0.90105170	-0.51717114	0.88569105	-0.35959789	0.16899401	0.39732811	2.23325157	3.83245587	0.40983605	
1.560000	-0.90791780	-0.51356965	0.89344436	-0.31294563	0.26155302	0.40785408	3.06146789	4.48587561	1.20832026	
1.580000	-0.91368055	-0.50728428	0.90197170	-0.24193044	0.36571768	0.43849716	3.95382810	4.61547852	1.93858707	
1.600000	-0.91848636	-0.49921361	0.91136485	-0.14740968	0.47197482	0.49445915	4.79903078	4.04262066	2.31648755	
1.620000	-0.92111605	-0.48779991	0.92307758	-0.03811244	0.55901361	0.56031132	5.41536617	2.73248601	2.20226264	
1.640000	-0.92072326	-0.47546953	0.93541420	0.07913507	0.60926032	0.61437815	5.69346619	0.82871312	1.59992576	
1.660000	-0.91723073	-0.46150553	0.94980830	0.20088693	0.60614550	0.63856709	5.73241854	-1.43435419	0.79858148	
1.680000	-0.91171300	-0.44875732	0.96369940	0.31699875	0.54839587	0.63342422	5.70969296	-3.70884323	0.38147280	
1.700000	-0.90449935	-0.43759602	0.97698891	0.42474726	0.44361931	0.61417288	5.64093685	-5.62362289	0.73476058	
1.720000	-0.89507949	-0.42996165	0.98911399	0.53349560	0.30022126	0.61216855	5.49225998	-6.90074635	1.75188947	
1.740000	-0.88358670	-0.42518058	1.00156164	0.64765638	0.13777074	0.66214770	5.28001595	-7.47758102	3.07996607	
