Time	Right_paced_y_baseline X
6.020000	0.06258812	
6.040000	0.07100199	
6.060000	0.07463297	
6.080000	0.07620026	
6.100000	0.08059751	
6.120000	0.08446598	
6.140000	0.08818381	
6.160000	0.08878440	
6.180000	0.08910958	
6.200000	0.08876603	
6.220000	0.08905965	
6.240000	0.08956304	
6.260000	0.08963636	
6.280000	0.08929481	
6.300000	0.08813336	
6.320000	0.08735573	
6.340000	0.08600990	
6.360000	0.08549047	
6.380000	0.08339306	
6.400000	0.08004184	
6.420000	0.07014819	
6.440000	0.05145603	
6.460000	0.01981062	
6.480000	-0.00526814	
6.500000	-0.01978736	
6.520000	-0.01957975	
6.540000	-0.01939653	
6.560000	-0.01939653	
6.580000	-0.01939653	
6.600000	-0.01939653	
6.620000	-0.01939653	
6.640000	-0.01939653	
6.660000	-0.01939653	
6.680000	-0.01939653	
6.700000	-0.01939653	
6.720000	-0.01939653	
6.740000	-0.01939653	
6.760000	-0.01939653	
6.780000	-0.01939653	
6.800000	-0.01939653	
6.820000	-0.01939653	
6.840000	-0.01939653	
6.860000	-0.01920129	
6.880000	-0.01900604	
6.900000	-0.01803434	
6.920000	-0.01712508	
6.940000	-0.01051018	
6.960000	0.00216751	
6.980000	0.02138126	
7.000000	0.03952276	
7.020000	0.05317866	
7.040000	0.06063635	
7.060000	0.06569783	
7.080000	0.06983019	
7.100000	0.07521168	
7.120000	0.07836648	
7.140000	0.08009613	
7.160000	0.08010598	
7.180000	0.08010598	
7.200000	0.08010598	
7.220000	0.08010598	
7.240000	0.08010598	
7.260000	0.07937026	
7.280000	0.07868683	
7.300000	0.07784138	
7.320000	0.07775971	
7.340000	0.07687034	
7.360000	0.07614815	
7.380000	0.07474937	
7.400000	0.07410602	
7.420000	0.07165470	
7.440000	0.06531937	
7.460000	0.04827233	
7.480000	0.01909094	
7.500000	-0.00568201	
7.520000	-0.01971887	
7.540000	-0.01993850	
7.560000	-0.02003421	
7.580000	-0.01973006	
7.600000	-0.01926826	
7.620000	-0.01804402	
7.640000	-0.01690011	
7.660000	-0.01048161	
7.680000	-0.00003196	
7.700000	0.01675135	
7.720000	0.03440432	
7.740000	0.05264704	
7.760000	0.06556755	
7.780000	0.07314333	
7.800000	0.07537285	
7.820000	0.07416982	
7.840000	0.06996781	
7.860000	0.05876107	
7.880000	0.03801592	
7.900000	0.00985435	
7.920000	-0.01147203	
7.940000	-0.02079998	
7.960000	-0.02054930	
7.980000	-0.02023630	
8.000000	-0.02030578	
8.020000	-0.02040398	
8.040000	-0.02041300	
8.059999	-0.02026987	
8.080000	-0.02009800	
8.099999	-0.01994586	
8.120000	-0.01994586	
8.139999	-0.01994586	
8.160000	-0.01994586	
8.179999	-0.02001533	
8.200000	-0.02008481	
8.220000	-0.02015430	
8.240000	-0.02015430	
8.260000	-0.01942609	
8.280000	-0.01865046	
8.300000	-0.01327164	
8.320000	-0.00203867	
8.340000	0.01671411	
8.360000	0.03551833	
8.380000	0.04998978	
8.400000	0.05697314	
8.420000	0.06077397	
8.440000	0.06259798	
8.460000	0.06599279	
8.480000	0.06791550	
8.500000	0.06930926	
8.520000	0.06794523	
8.540000	0.06066024	
8.559999	0.04314288	
8.580000	0.01435047	
8.599999	-0.00850561	
8.620000	-0.02070896	
8.639999	-0.02052958	
8.660000	-0.02083355	
8.679999	-0.02139992	
8.700000	-0.02170488	
8.720000	-0.02154137	
8.740000	-0.02127983	
8.760000	-0.02127983	
8.780000	-0.02127983	
8.800000	-0.02127983	
8.820000	-0.02110545	
8.840000	-0.02093093	
8.860000	-0.02061710	
8.880000	-0.02047764	
8.900000	-0.01896429	
8.920000	-0.01337403	
8.940000	0.00075637	
8.960000	0.02005313	
8.980000	0.04097164	
9.000000	0.05509619	
9.020000	0.06332718	
9.040000	0.06572021	
9.059999	0.06473047	
9.080000	0.06064687	
9.099999	0.04874566	
9.120000	0.02672751	
9.139999	0.00139153	
9.160000	-0.01612665	
9.179999	-0.02110346	
9.200000	-0.02025901	
9.220000	-0.01975010	
9.240000	-0.02002986	
9.260000	-0.02022544	
9.280000	-0.02008565	
9.300000	-0.02008565	
9.320000	-0.02022561	
9.340000	-0.02016748	
9.360000	-0.01996991	
9.380000	-0.01977216	
