Time	Hip_right X
5.340000	98.05889130	
5.360000	97.48920441	
5.380000	96.65028381	
5.400000	95.79050446	
5.420000	94.84628296	
5.440000	94.07629395	
5.460000	93.13187408	
5.480000	92.29222107	
5.500000	91.47959900	
5.520000	90.93614960	
5.540000	90.58820343	
5.560000	90.37660980	
5.580000	90.41268158	
5.600000	90.63724518	
5.620000	91.23065948	
5.640000	92.20523071	
5.660000	93.60092926	
5.680000	95.38713837	
5.700000	97.55120850	
5.720000	99.92530823	
5.740000	102.33518219	
5.760000	104.40786743	
5.780000	106.02488708	
5.800000	107.18577576	
5.820000	108.05175018	
5.840000	108.80406952	
5.860000	109.52548218	
5.880000	109.96424103	
5.900000	110.08336639	
5.920000	109.79924774	
5.940000	109.29857635	
5.960000	108.83708954	
5.980000	108.29366302	
6.000000	107.78985596	
6.020000	107.12084198	
6.040000	106.52124786	
6.060000	105.88138580	
6.080000	105.37705231	
6.100000	104.78432465	
6.120000	104.32504272	
6.140000	103.85598755	
6.160000	103.48645020	
6.180000	102.82643890	
6.200000	101.74306488	
6.220000	100.41495514	
6.240000	99.42028809	
6.260000	98.78081512	
6.280000	98.36752319	
6.300000	97.69370270	
6.320000	96.87762451	
6.340000	96.04811859	
6.360000	95.31752777	
6.380000	94.66876984	
6.400000	93.90734100	
6.420000	93.10237885	
6.440000	92.32948303	
6.460000	91.53410339	
6.480000	90.76208496	
6.500000	89.95845795	
6.520000	89.31311798	
6.540000	88.83148193	
6.560000	88.55718994	
6.580000	88.63771057	
6.600000	89.06262207	
6.620000	90.04499817	
6.640000	91.65848541	
6.660000	94.01552582	
6.680000	96.87701416	
6.700000	99.98811340	
6.720000	102.95783997	
6.740000	105.60714722	
6.760000	107.61464691	
6.780000	109.10323334	
6.800000	110.18357086	
6.820000	111.17391205	
6.840000	112.07627869	
6.860000	112.85808563	
6.880000	113.24758148	
6.900000	113.12573242	
6.920000	112.60192871	
6.940000	111.86479950	
6.960000	111.24041748	
6.980000	110.59408569	
7.000000	109.93621063	
7.020000	109.06958771	
7.040000	108.16211700	
