Time	Knee_Angle_left X
13.099999	151.18823242	
13.120000	152.07991028	
13.139999	152.99034119	
13.160000	153.91992188	
13.179999	154.88087463	
13.200000	155.87922668	
13.219999	156.91062927	
13.240000	157.84236145	
13.259999	158.57362366	
13.280000	158.99206543	
13.299999	159.07456970	
13.320000	158.52534485	
13.340000	157.27491760	
13.360000	155.27853394	
13.380000	152.74769592	
13.400000	149.70509338	
13.420000	146.16305542	
13.440000	142.26817322	
13.460000	138.20886230	
13.480000	134.27375793	
13.500000	130.73527527	
13.520000	127.94094086	
13.540000	126.10832214	
13.559999	125.42774200	
13.580000	125.89785004	
13.599999	127.46283722	
13.620000	129.90991211	
13.639999	132.99291992	
13.660000	136.43513489	
13.679999	139.97924805	
13.700000	143.31024170	
13.719999	146.04260254	
13.740000	147.91806030	
13.759999	148.94380188	
13.780000	149.34469604	
13.799999	149.36607361	
13.820000	149.26896667	
13.840000	149.27540588	
13.860000	149.44686890	
13.880000	149.71653748	
13.900000	150.08633423	
13.920000	150.66717529	
13.940000	151.48291016	
13.960000	152.44400024	
13.980000	153.45338440	
14.000000	154.45593262	
14.020000	155.39947510	
14.040000	156.28915405	
14.059999	157.15097046	
14.080000	157.99559021	
14.099999	158.77545166	
14.120000	159.41976929	
14.139999	159.89445496	
14.160000	160.13781738	
14.179999	160.06573486	
14.200000	159.54814148	
14.219999	158.44975281	
14.240000	156.64952087	
14.259999	154.07890320	
14.280000	150.80686951	
14.299999	146.98561096	
14.320000	142.90213013	
14.340000	138.81141663	
14.360000	135.09510803	
14.380000	132.01942444	
14.400000	129.81384277	
14.420000	128.56367493	
14.440000	128.30844116	
14.460000	128.94583130	
14.480000	130.35627747	
14.500000	132.41143799	
14.520000	135.00093079	
14.540000	137.93206787	
14.559999	140.96989441	
14.580000	143.83134460	
14.599999	146.18812561	
14.620000	147.80426025	
14.639999	148.74328613	
14.660000	149.25086975	
14.679999	149.54153442	
14.700000	149.83761597	
14.719999	150.53373718	
14.740000	151.35121155	
14.759999	151.85310364	
14.780000	151.71989441	
14.799999	151.48190308	
14.820000	151.76181030	
14.839999	152.81167603	
14.860000	154.05146790	
14.880000	155.08749390	
14.900000	155.60499573	
14.920000	155.98828125	
14.940000	156.37774658	
14.960000	156.85911560	
14.980000	157.47431946	
15.000000	158.16510010	
15.020000	158.92094421	
15.040000	159.72325134	
15.059999	160.51550293	
15.080000	161.18923950	
15.099999	161.56387329	
15.120000	161.42568970	
15.139999	160.55615234	
15.160000	158.77864075	
15.179999	156.02864075	
15.200000	152.38464355	
15.219999	148.07345581	
15.240000	143.43257141	
15.259999	138.85238647	
15.280000	134.75086975	
15.299999	131.45523071	
15.320000	129.20619202	
15.339999	128.12025452	
15.360000	128.20709229	
15.380000	129.37219238	
15.400000	131.45260620	
15.420000	134.24751282	
15.440000	137.52297974	
15.460000	140.97004700	
15.480000	144.19868469	
15.500000	146.82698059	
15.520000	148.55676270	
15.540000	149.40109253	
15.559999	149.61303711	
15.580000	149.69935608	
15.599999	149.63121033	
15.620000	149.74212646	
15.639999	149.87124634	
15.660000	150.21382141	
15.679999	150.54910278	
15.700000	151.00483704	
15.719999	151.61445618	
15.740000	152.31907654	
15.759999	152.99398804	
15.780000	153.63113403	
15.799999	154.17335510	
15.820000	154.68585205	
15.839999	155.20251465	
15.860000	155.73602295	
15.880000	156.12480164	
15.900000	156.22059631	
15.920000	155.84730530	
15.940000	154.83004761	
15.960000	153.06985474	
15.980000	150.50172424	
16.000000	146.84260559	
16.020000	142.26838684	
16.039999	137.29339600	
16.059999	132.80065918	
16.080000	129.33305359	
16.100000	127.11511993	
16.119999	126.28599548	
16.139999	126.76676941	
16.160000	128.39453125	
16.180000	130.86204529	
16.199999	133.79917908	
16.219999	137.12039185	
16.240000	140.70916748	
16.260000	144.18785095	
16.279999	147.06813049	
16.299999	148.83901978	
16.320000	149.79267883	
16.340000	150.07664490	
16.359999	149.91804504	
16.379999	149.49031067	
16.400000	149.00418091	
16.420000	148.74171448	
16.440001	148.78643799	
16.459999	149.20072937	
16.480000	149.99293518	
16.500000	150.96017456	
16.520000	151.95436096	
16.539999	152.94366455	
16.559999	153.96916199	
16.580000	155.07373047	
16.600000	156.30650330	
16.619999	157.60354614	
16.639999	158.70559692	
16.660000	159.51789856	
16.680000	160.03768921	
16.699999	160.38067627	
16.719999	160.44065857	
16.740000	159.90423584	
16.760000	158.98925781	
16.779999	157.42889404	
16.799999	155.33511353	
16.820000	152.33088684	
16.840000	148.72268677	
16.859999	144.73335266	
16.879999	140.69548035	
16.900000	136.91889954	
16.920000	133.74412537	
16.940001	131.38485718	
16.959999	129.97647095	
16.980000	129.49562073	
17.000000	129.90705872	
17.020000	131.10101318	
17.039999	132.97282410	
17.059999	135.38905334	
17.080000	138.19470215	
17.100000	141.14036560	
17.119999	143.86474609	
17.139999	145.98503113	
17.160000	147.33160400	
17.180000	148.00291443	
17.199999	148.21083069	
17.219999	148.15975952	
17.240000	148.08274841	
17.260000	148.13624573	
17.279999	148.30433655	
17.299999	148.52177429	
17.320000	148.85144043	
17.340000	149.38186646	
17.359999	150.05313110	
17.379999	150.73960876	
17.400000	151.40011597	
17.420000	152.01368713	
17.440001	152.62390137	
17.459999	153.25544739	
17.480000	154.01217651	
17.500000	154.83042908	
17.520000	155.70838928	
17.539999	156.53610229	
17.559999	157.34170532	
17.580000	158.01751709	
17.600000	158.57409668	
17.619999	158.88317871	
17.639999	158.84880066	
17.660000	158.25332642	
17.680000	156.95727539	
17.699999	154.69268799	
17.719999	151.50085449	
17.740000	147.33607483	
17.760000	142.63743591	
17.779999	137.72251892	
17.799999	133.13682556	
17.820000	129.20651245	
17.840000	126.23963928	
17.859999	124.34708405	
17.879999	123.59968567	
17.900000	123.90898895	
17.920000	125.18547058	
17.940001	127.23619843	
17.959999	129.86508179	
17.980000	132.78846741	
18.000000	135.63597107	
18.020000	137.96572876	
18.039999	139.51612854	
18.059999	140.35200500	
18.080000	140.75201416	
18.100000	140.99223328	
18.119999	141.34590149	
18.139999	141.96487427	
18.160000	142.83642578	
18.180000	143.78732300	
18.199999	144.87094116	
18.219999	146.19378662	
18.240000	147.81610107	
18.260000	149.59793091	
18.279999	151.46673584	
18.299999	153.23847961	
18.320000	154.68453979	
18.340000	155.76829529	
18.359999	156.61305237	
18.379999	157.37712097	
18.400000	158.08189392	
18.420000	158.71672058	
18.440001	159.26957703	
18.459999	159.69334412	
18.480000	159.87269592	
18.500000	159.73323059	
18.520000	158.90101624	
18.539999	157.19679260	
18.559999	154.49380493	
18.580000	150.99462891	
18.600000	146.95050049	
18.619999	142.63746643	
18.639999	138.52664185	
18.660000	134.97105408	
18.680000	132.33575439	
18.699999	130.76139832	
18.719999	130.33592224	
18.740000	130.96011353	
18.760000	132.53294373	
18.779999	134.87145996	
18.799999	137.79458618	
18.820000	141.03735352	
18.840000	144.26086426	
18.859999	147.02227783	
18.879999	148.97483826	
18.900000	150.05235291	
18.920000	150.44291687	
18.939999	150.38520813	
18.959999	150.15058899	
18.980000	150.01396179	
19.000000	150.06849670	
19.020000	150.23681641	
19.039999	150.48414612	
19.059999	150.90197754	
19.080000	151.49069214	
19.100000	152.16206360	
19.119999	152.86965942	
19.139999	153.59712219	
19.160000	154.35144043	
19.180000	155.31190491	
19.199999	156.52052307	
19.219999	157.75515747	
19.240000	158.81857300	
19.260000	159.65840149	
19.279999	160.41987610	
19.299999	161.06570435	
19.320000	161.55145264	
19.340000	161.80180359	
19.359999	161.72595215	
19.379999	161.23381042	
19.400000	160.24380493	
19.420000	158.64424133	
19.439999	156.38250732	
19.459999	153.41021729	
19.480000	149.74891663	
19.500000	145.49652100	
19.520000	140.94122314	
19.539999	136.43539429	
19.559999	132.40464783	
19.580000	129.19676208	
19.600000	127.08525848	
19.619999	126.16303253	
19.639999	126.41642761	
19.660000	127.71472168	
19.680000	129.88081360	
19.699999	132.69097900	
19.719999	135.90452576	
19.740000	139.22137451	
19.760000	142.30786133	
19.779999	144.78890991	
19.799999	146.43986511	
19.820000	147.29647827	
19.840000	147.64770508	
19.859999	147.74530029	
19.879999	147.82684326	
19.900000	148.05938721	
19.920000	148.50813293	
19.939999	149.03643799	
19.959999	149.62753296	
19.980000	150.34704590	
20.000000	151.26957703	
20.020000	152.22601318	
20.039999	153.25952148	
20.059999	154.25410461	
20.080000	155.24075317	
20.100000	156.06544495	
20.119999	156.82141113	
20.139999	157.57180786	
20.160000	158.28826904	
20.180000	158.93547058	
20.199999	159.42582703	
20.219999	159.71533203	
20.240000	159.65475464	
20.260000	159.09136963	
20.279999	157.87995911	
20.299999	155.93750000	
20.320000	152.93623352	
20.340000	149.10131836	
20.359999	144.67816162	
20.379999	140.13217163	
20.400000	135.70109558	
20.420000	131.74990845	
20.439999	128.77783203	
20.459999	126.94195557	
20.480000	126.25028229	
20.500000	126.60842133	
20.520000	127.89787292	
20.539999	129.98262024	
20.559999	132.72938538	
20.580000	135.94805908	
20.600000	139.39761353	
20.619999	142.79743958	
20.639999	145.83744812	
20.660000	148.20359802	
20.680000	149.76705933	
20.699999	150.65785217	
20.719999	151.15545654	
20.740000	151.45552063	
20.760000	151.74142456	
20.779999	152.09509277	
20.799999	152.51361084	
20.820000	152.87158203	
20.840000	153.19958496	
20.859999	153.55418396	
20.879999	153.91017151	
20.900000	154.20846558	
20.920000	154.71638489	
20.939999	155.32376099	
20.959999	156.09596252	
20.980000	156.60102844	
21.000000	157.09228516	
21.020000	157.48167419	
21.039999	157.97856140	
21.059999	158.48005676	
21.080000	158.96174622	
21.100000	159.27682495	
21.119999	159.33778381	
21.139999	159.03752136	
21.160000	158.23043823	
21.180000	156.74476624	
21.199999	154.49707031	
21.219999	151.41178894	
21.240000	147.61270142	
