Time	Hip_left X
8.420000	77.66514587	
8.440000	75.88316345	
8.460000	74.27593231	
8.480000	72.86042786	
8.500000	71.64490509	
8.520000	70.63674164	
8.540000	69.83972168	
8.559999	69.24758911	
8.580000	68.85324097	
8.599999	68.64624023	
8.620000	68.63339233	
8.639999	68.81413269	
8.660000	69.19883728	
8.679999	69.76729584	
8.700000	70.49717712	
8.720000	71.35129547	
8.740000	72.32704163	
8.760000	73.43889618	
8.780000	74.73486328	
8.800000	76.25662994	
8.820000	77.93204498	
8.840000	79.39724731	
8.860000	80.53927612	
8.880000	81.34573364	
8.900000	82.06205750	
8.920000	82.72133636	
8.940000	83.36790466	
8.960000	84.06197357	
8.980000	84.80331421	
9.000000	85.58114624	
9.020000	86.34517670	
9.040000	87.07723999	
9.059999	87.73538971	
9.080000	88.27542114	
9.099999	88.62117767	
9.120000	88.69097900	
9.139999	88.41783142	
9.160000	87.75053406	
9.179999	86.68920898	
9.200000	85.06270599	
9.220000	83.05155945	
9.240000	80.79846191	
9.260000	78.65821838	
9.280000	76.67578125	
9.300000	74.91152191	
9.320000	73.39929962	
9.340000	72.12251282	
9.360000	71.07198334	
9.380000	70.23312378	
9.400000	69.60246277	
9.420000	69.16365814	
9.440000	68.90288544	
9.460000	68.80239868	
9.480000	68.85079193	
9.500000	69.03986359	
9.520000	69.36354065	
9.540000	69.82642365	
9.559999	70.41474915	
9.580000	71.10528564	
9.599999	71.86228943	
9.620000	72.67833710	
9.639999	73.55242157	
9.660000	74.51296997	
9.679999	75.58982849	
9.700000	76.81089783	
9.719999	78.15633392	
9.740000	79.58865356	
9.760000	81.00878143	
9.780000	82.18612671	
9.800000	83.07138824	
9.820000	83.70238495	
9.840000	84.30514526	
9.860000	84.93910217	
9.880000	85.64309692	
9.900000	86.39405823	
9.920000	87.15820313	
9.940000	87.89249420	
9.960000	88.57975006	
9.980000	89.16853333	
10.000000	89.61278534	
10.020000	89.83987427	
10.040000	89.77111053	
10.059999	89.32733154	
10.080000	88.47589874	
10.099999	87.21725464	
10.120000	85.62734985	
10.139999	83.80271912	
10.160000	81.91076660	
10.179999	80.07244110	
10.200000	78.40920258	
10.219999	76.79916382	
10.240000	75.40287781	
10.260000	73.96950531	
10.280000	73.39781952	
10.300000	73.07939911	
10.320000	73.22241211	
10.340000	73.05339813	
10.360000	73.02353668	
10.380000	73.10931396	
10.400000	73.30477905	
10.420000	73.60643005	
10.440000	74.00026703	
10.460000	74.45539856	
10.480000	74.93273163	
10.500000	75.39838409	
10.520000	75.85198975	
10.540000	76.33081055	
10.559999	76.89703369	
10.580000	77.59108734	
10.599999	78.40320587	
10.620000	79.28165436	
10.639999	80.17093658	
10.660000	80.89373016	
10.679999	81.73603821	
10.700000	82.56639099	
10.719999	83.55704498	
10.740000	84.44007874	
10.760000	85.32707977	
10.780000	86.21513367	
10.800000	87.07959747	
10.820000	87.93568420	
10.840000	88.73276520	
10.860000	89.45930481	
10.880000	90.02872467	
10.900000	90.35129547	
10.920000	90.28160858	
10.940000	89.73889923	
10.960000	88.66804504	
10.980000	86.75217438	
11.000000	84.83040619	
11.020000	82.70306396	
11.040000	80.86884308	
11.059999	78.77482605	
11.080000	76.86830139	
11.099999	75.20097351	
11.120000	73.79698181	
11.139999	72.66088867	
11.160000	71.78896332	
11.179999	71.16175079	
11.200000	70.75210571	
11.219999	70.51995087	
11.240000	70.42981720	
11.259999	70.46412659	
11.280000	70.62680054	
11.300000	70.92747498	
11.320000	71.36148071	
11.340000	71.90901947	
