Time	Left_Forefoot_y_baseline X
2.020000	-0.00180227	
2.040000	0.00285223	
2.060000	0.00822277	
2.080000	0.01316507	
2.100000	0.01698296	
2.120000	0.01826602	
2.140000	0.01649843	
2.160000	0.01228221	
2.180000	0.00664616	
2.200000	0.00090307	
2.220000	-0.00404702	
2.240000	-0.00696033	
2.260000	-0.00771710	
2.280000	-0.00652801	
2.300000	-0.00370578	
2.320000	0.00026378	
2.340000	0.00512993	
2.360000	0.00967778	
2.380000	0.01316877	
2.400000	0.01385164	
2.420000	0.01170924	
2.440000	0.00731143	
2.460000	0.00211489	
2.480000	-0.00289127	
2.500000	-0.00654867	
2.520000	-0.00832631	
2.540000	-0.00824851	
2.560000	-0.00665124	
2.580000	-0.00335473	
2.600000	0.00102139	
2.620000	0.00605622	
2.640000	0.01056844	
2.660000	0.01372002	
2.680000	0.01382709	
2.700000	0.01116289	
2.720000	0.00652416	
2.740000	0.00146641	
2.760000	-0.00321840	
2.780000	-0.00623098	
2.800000	-0.00731671	
2.820000	-0.00626966	
2.840000	-0.00406525	
2.860000	-0.00052883	
2.880000	0.00333327	
2.900000	0.00729896	
2.920000	0.01010746	
2.940000	0.01125379	
2.960000	0.00985096	
2.980000	0.00656919	
3.000000	0.00221725	
3.020000	-0.00213265	
3.040000	-0.00562343	
3.060000	-0.00754680	
3.080000	-0.00779551	
3.100000	-0.00648235	
3.120000	-0.00395633	
3.140000	-0.00005965	
3.160000	0.00443968	
3.180000	0.00918077	
3.200000	0.01320234	
3.220000	0.01584667	
3.240000	0.01574513	
3.260000	0.01293643	
3.280000	0.00815399	
3.300000	0.00273064	
3.320000	-0.00235885	
3.340000	-0.00595279	
3.360000	-0.00751753	
3.380000	-0.00698264	
3.400000	-0.00501525	
3.420000	-0.00166266	
3.440000	0.00239287	
3.460000	0.00666192	
3.480000	0.00985301	
3.500000	0.01096986	
3.520000	0.00934863	
3.540000	0.00562961	
3.560000	0.00101033	
3.580000	-0.00345749	
3.600000	-0.00676014	
3.620000	-0.00838996	
3.640000	-0.00828557	
3.660000	-0.00649689	
3.680000	-0.00337172	
3.700000	0.00112271	
3.720000	0.00601262	
3.740000	0.01075533	
3.760000	0.01375277	
3.780000	0.01416197	
3.800000	0.01170678	
3.820000	0.00727275	
3.840000	0.00195359	
3.860000	-0.00314081	
3.880000	-0.00681151	
3.900000	-0.00877194	
3.920000	-0.00927304	
3.940000	-0.00849579	
3.960000	-0.00652719	
3.980000	-0.00303765	
4.000000	0.00113909	
4.020000	0.00575060	
4.040000	0.00940001	
4.060000	0.01106955	
4.080000	0.00986181	
4.100000	0.00642876	
4.120000	0.00192350	
4.140000	-0.00257093	
4.160000	-0.00601052	
4.180000	-0.00779490	
4.200000	-0.00794473	
4.220000	-0.00642033	
4.240000	-0.00351276	
4.260000	0.00095321	
4.280000	0.00578724	
4.300000	0.01041697	
4.320000	0.01293622	
4.340000	0.01250820	
4.360000	0.00903237	
4.380000	0.00395168	
4.400000	-0.00139184	
4.420000	-0.00580765	
4.440000	-0.00829171	
4.460000	-0.00870070	
4.480000	-0.00752817	
4.500000	-0.00495139	
4.520000	-0.00148785	
4.540000	0.00278223	
4.560000	0.00669242	
4.580000	0.01001738	
4.600000	0.01097539	
4.620000	0.00952856	
4.640000	0.00582327	
4.660000	0.00140131	
4.680000	-0.00311051	
4.700000	-0.00658163	
4.720000	-0.00854820	
4.740000	-0.00887510	
4.760000	-0.00809847	
4.780000	-0.00599086	
4.800000	-0.00275433	
4.820000	0.00145535	
4.840000	0.00563350	
4.860000	0.00906512	
4.880000	0.01014921	
4.900000	0.00862645	
4.920000	0.00487201	
4.940000	0.00034095	
4.960000	-0.00402737	
4.980000	-0.00724199	
5.000000	-0.00890622	
5.020000	-0.00887735	
5.040000	-0.00779755	
5.060000	-0.00541872	
5.080000	-0.00212733	
