Time	Right_Heel_y_baseline X
8.400000	0.05525277	
8.420000	0.04059686	
8.440000	0.02020169	
8.460000	-0.00470656	
8.480000	-0.02620754	
8.500000	-0.04013185	
8.520000	-0.04555239	
8.540000	-0.04318643	
8.559999	-0.03852820	
8.580000	-0.02983263	
8.599999	-0.02027403	
8.620000	-0.00591022	
8.639999	0.00878581	
8.660000	0.02416699	
8.679999	0.03657793	
8.700000	0.04536869	
8.720000	0.04919970	
8.740000	0.04418366	
8.760000	0.03232829	
8.780000	0.01157039	
8.800000	-0.00901434	
8.820000	-0.02938391	
8.840000	-0.04129866	
8.860000	-0.04775806	
8.880000	-0.04672083	
8.900000	-0.04048762	
8.920000	-0.03087416	
8.940000	-0.01584896	
8.960000	0.00032176	
8.980000	0.02109358	
9.000000	0.04084946	
9.020000	0.05933271	
9.040000	0.07037663	
9.059999	0.07317717	
9.080000	0.06661849	
9.099999	0.04967789	
9.120000	0.02501487	
9.139999	-0.00314079	
9.160000	-0.02663538	
9.179999	-0.04007249	
9.200000	-0.04518309	
9.220000	-0.04209372	
9.240000	-0.03726907	
9.260000	-0.02740076	
9.280000	-0.01562931	
9.300000	0.00043619	
9.320000	0.01662941	
9.340000	0.03321343	
9.360000	0.04679444	
9.380000	0.05436026	
9.400000	0.05529863	
9.420000	0.04534842	
9.440000	0.02837753	
9.460000	0.00358963	
9.480000	-0.01941898	
9.500000	-0.03701054	
9.520000	-0.04523203	
9.540000	-0.04660414	
9.559999	-0.04275736	
9.580000	-0.03507528	
9.599999	-0.02349482	
9.620000	-0.00785735	
9.639999	0.00882860	
9.660000	0.02852266	
9.679999	0.04612609	
9.700000	0.06358132	
9.719999	0.07346806	
9.740000	0.07662683	
9.760000	0.06988658	
9.780000	0.05399016	
9.800000	0.03204519	
9.820000	0.00489973	
9.840000	-0.01909247	
9.860000	-0.03725086	
9.880000	-0.04518801	
9.900000	-0.04488996	
9.920000	-0.04019244	
9.940000	-0.03221230	
9.960000	-0.02220294	
9.980000	-0.00783505	
10.000000	0.00764746	
10.020000	0.02417968	
10.040000	0.03779959	
10.059999	0.04767425	
10.080000	0.04911946	
10.099999	0.03878319	
10.120000	0.01948830	
10.139999	-0.00493911	
10.160000	-0.02649659	
10.179999	-0.04040901	
10.200000	-0.04615502	
10.219999	-0.04481791	
10.240000	-0.04125689	
10.260000	-0.03401697	
10.280000	-0.02502641	
10.300000	-0.01221241	
10.320000	0.00131661	
10.340000	0.01854134	
10.360000	0.03486497	
10.380000	0.05293103	
10.400000	0.06550655	
10.420000	0.07423897	
10.440000	0.07614700	
10.460000	0.07018442	
10.480000	0.05566709	
10.500000	0.03238499	
10.520000	0.00647697	
10.540000	-0.01844889	
10.559999	-0.03527793	
10.580000	-0.04455303	
10.599999	-0.04601972	
10.620000	-0.04297967	
10.639999	-0.03569941	
10.660000	-0.02443728	
10.679999	-0.01121612	
10.700000	0.00477691	
10.719999	0.02005430	
10.740000	0.03491717	
10.760000	0.04541106	
10.780000	0.05240883	
10.800000	0.05060662	
10.820000	0.03919832	
10.840000	0.01897613	
10.860000	-0.00549078	
10.880000	-0.02683230	
10.900000	-0.04204029	
10.920000	-0.04903971	
10.940000	-0.04892793	
10.960000	-0.04429039	
10.980000	-0.03614014	
11.000000	-0.02753074	
11.020000	-0.01517425	
11.040000	-0.00104341	
11.059999	0.01522065	
11.080000	0.02917484	
11.099999	0.04154422	
11.120000	0.04928343	
11.139999	0.05174395	
11.160000	0.04796535	
11.179999	0.03694414	
11.200000	0.01973476	
11.219999	-0.00295348	
11.240000	-0.02309933	
11.259999	-0.03792576	
11.280000	-0.04436143	
11.300000	-0.04564409	
11.320000	-0.04179874	
11.340000	-0.03458235	
11.360000	-0.02331059	
11.380000	-0.00809419	
11.400000	0.00929613	
11.420000	0.03074532	
11.440000	0.05147272	
11.460000	0.07169287	
11.480000	0.08403073	
11.500000	0.08844126	
11.520000	0.08256505	
11.540000	0.06630734	
11.559999	0.03989575	
11.580000	0.00799546	
11.599999	-0.02081607	
11.620000	-0.03815196	
11.639999	-0.04510838	
11.660000	-0.04233199	
11.679999	-0.03781502	
11.700000	-0.02730148	
11.719999	-0.01510467	
