Time	Knee_Angle_right X
17.660000	165.61239624	
17.680000	163.54019165	
17.699999	160.83601379	
17.719999	157.51718140	
17.740000	153.41076660	
17.760000	148.93722534	
17.779999	144.16983032	
17.799999	139.39407349	
17.820000	134.77972412	
17.840000	131.31044006	
17.859999	129.23382568	
17.879999	128.88024902	
17.900000	129.70161438	
17.920000	131.38558960	
17.940001	133.83953857	
17.959999	137.01875305	
17.980000	140.96043396	
18.000000	145.24128723	
18.020000	149.61761475	
18.039999	153.37319946	
18.059999	156.33041382	
18.080000	158.26809692	
18.100000	159.41783142	
18.119999	159.71635437	
18.139999	159.80853271	
18.160000	159.58607483	
18.180000	159.18064880	
18.199999	158.56143188	
18.219999	158.55311584	
18.240000	159.50752258	
18.260000	160.83076477	
18.279999	161.71522522	
18.299999	161.80825806	
18.320000	161.66148376	
18.340000	161.82695007	
18.359999	162.59640503	
18.379999	163.48255920	
18.400000	164.34820557	
18.420000	165.19822693	
18.440001	166.08297729	
18.459999	166.98333740	
18.480000	167.71853638	
18.500000	168.41786194	
18.520000	169.10711670	
18.539999	169.69647217	
18.559999	170.03163147	
18.580000	169.85858154	
18.600000	169.20892334	
18.619999	168.18971252	
18.639999	167.10780334	
18.660000	165.70553589	
18.680000	164.40759277	
18.699999	162.73681641	
18.719999	161.35328674	
18.740000	159.62634277	
18.760000	157.87487793	
18.779999	155.33955383	
18.799999	152.24363708	
18.820000	148.38401794	
18.840000	144.12551880	
18.859999	139.57958984	
18.879999	134.79763794	
18.900000	130.34002686	
18.920000	126.97454834	
18.939999	125.25151825	
18.959999	125.17390442	
18.980000	126.14394379	
19.000000	128.06272888	
19.020000	130.76318359	
19.039999	134.39353943	
19.059999	138.89425659	
19.080000	143.72634888	
19.100000	148.37673950	
19.119999	152.14468384	
19.139999	155.35594177	
19.160000	157.73057556	
19.180000	159.03140259	
19.199999	159.38429260	
19.219999	159.38406372	
19.240000	159.24546814	
19.260000	158.98086548	
19.279999	158.43307495	
19.299999	158.73457336	
19.320000	159.68298340	
19.340000	161.06495667	
19.359999	161.86895752	
19.379999	162.22183228	
19.400000	162.56617737	
19.420000	163.45666504	
19.439999	164.51568604	
19.459999	165.49664307	
19.480000	166.27133179	
19.500000	166.97489929	
19.520000	167.57221985	
19.539999	168.20343018	
19.559999	168.75251770	
19.580000	169.19010925	
19.600000	169.39965820	
19.619999	169.63444519	
19.639999	169.55029297	
19.660000	169.06590271	
19.680000	168.16468811	
19.699999	166.96972656	
19.719999	165.38504028	
19.740000	162.88140869	
19.760000	159.75892639	
19.779999	155.55386353	
19.799999	150.76161194	
19.820000	145.30215454	
19.840000	140.13838196	
19.859999	135.06039429	
19.879999	130.82971191	
19.900000	127.63362122	
19.920000	126.39521790	
19.939999	126.54164886	
19.959999	127.76139832	
19.980000	129.56607056	
20.000000	132.17022705	
20.020000	135.40074158	
20.039999	139.25253296	
20.059999	143.56352234	
20.080000	148.00862122	
20.100000	152.23335266	
20.119999	155.66886902	
20.139999	158.20567322	
20.160000	159.28190613	
20.180000	159.47332764	
20.199999	159.30908203	
20.219999	159.25163269	
20.240000	159.09971619	
20.260000	158.67247009	
20.279999	158.44491577	
20.299999	158.86306763	
20.320000	160.13757324	
20.340000	161.86672974	
20.359999	162.88127136	
20.379999	163.36228943	
20.400000	163.60728455	
20.420000	164.45706177	
20.439999	165.44316101	
20.459999	166.30598450	
20.480000	166.84794617	
20.500000	167.40579224	
20.520000	167.98905945	
20.539999	168.92137146	
20.559999	169.63758850	
20.580000	170.30451965	
20.600000	170.55404663	
20.619999	170.70223999	
20.639999	170.46923828	
20.660000	169.69810486	
20.680000	168.34729004	
20.699999	166.52574158	
20.719999	164.30339050	
20.740000	161.45594788	
20.760000	157.96652222	
20.779999	153.70983887	
20.799999	149.00860596	
20.820000	143.79397583	
20.840000	138.62329102	
20.859999	133.55113220	
20.879999	129.40159607	
20.900000	126.52531433	
20.920000	125.32664490	
20.939999	125.44742584	
20.959999	126.65167236	
20.980000	128.37818909	
21.000000	130.97914124	
21.020000	134.14888000	
21.039999	138.25195313	
21.059999	143.00050354	
21.080000	147.85412598	
21.100000	152.55670166	
21.119999	156.17605591	
21.139999	158.71951294	
21.160000	159.50479126	
21.180000	159.92411804	
21.199999	160.12303162	
21.219999	160.43984985	
21.240000	160.09240723	
21.260000	159.31889343	
21.279999	159.28302002	
21.299999	160.43495178	
21.320000	162.27543640	
21.340000	163.41596985	
21.359999	163.55575562	
21.379999	163.69158936	
21.400000	164.31143188	
21.420000	165.39604187	
21.439999	166.13278198	
21.459999	166.70417786	
21.480000	166.91813660	
21.500000	167.42098999	
21.520000	167.80290222	
21.539999	168.39042664	
21.559999	168.71351624	
21.580000	169.21653748	
21.600000	169.40647888	
21.619999	169.65332031	
21.639999	169.43807983	
