Time	Left_Heel_y_baseline X
2.240000	0.05340315	
2.260000	0.06143066	
2.280000	0.06379507	
2.300000	0.05894523	
2.320000	0.04813948	
2.340000	0.03130262	
2.360000	0.01266764	
2.380000	-0.00544193	
2.400000	-0.02052465	
2.420000	-0.02938701	
2.440000	-0.03337693	
2.460000	-0.03107767	
2.480000	-0.02579078	
2.500000	-0.01642583	
2.520000	-0.00576022	
2.540000	0.00766493	
2.560000	0.02223992	
2.580000	0.03687306	
2.600000	0.04827489	
2.620000	0.05448559	
2.640000	0.05599912	
2.660000	0.05085587	
2.680000	0.04051737	
2.700000	0.02448371	
2.720000	0.00625558	
2.740000	-0.01210509	
2.760000	-0.02535477	
2.780000	-0.03348213	
2.800000	-0.03535177	
2.820000	-0.03342789	
2.840000	-0.02841820	
2.860000	-0.02057828	
2.880000	-0.01086669	
2.900000	0.00154936	
2.920000	0.01386598	
2.940000	0.02559780	
2.960000	0.03422119	
2.980000	0.03943472	
3.000000	0.04047422	
3.020000	0.03698134	
3.040000	0.02875308	
3.060000	0.01471438	
3.080000	-0.00062621	
3.100000	-0.01523879	
3.120000	-0.02525058	
3.140000	-0.03136554	
3.160000	-0.03325099	
3.180000	-0.03114527	
3.200000	-0.02650481	
3.220000	-0.01833819	
3.240000	-0.00885262	
3.260000	0.00417678	
3.280000	0.01751789	
3.300000	0.03160220	
3.320000	0.04283061	
3.340000	0.05045581	
3.360000	0.05349314	
3.380000	0.05117086	
3.400000	0.04416949	
3.420000	0.03233945	
3.440000	0.01725385	
3.460000	0.00032350	
3.480000	-0.01644905	
3.500000	-0.02801032	
3.520000	-0.03392391	
3.540000	-0.03426006	
3.560000	-0.03233641	
3.580000	-0.02724062	
3.600000	-0.01990433	
3.620000	-0.00953521	
3.640000	0.00213620	
3.660000	0.01444295	
3.680000	0.02491973	
3.700000	0.03289957	
3.720000	0.03711182	
3.740000	0.03648841	
3.760000	0.03087050	
3.780000	0.02028441	
3.800000	0.00678816	
3.820000	-0.00868988	
3.840000	-0.02181073	
3.860000	-0.03038932	
3.880000	-0.03403077	
3.900000	-0.03332599	
