Time	Left_Hand_y_baseline X
10.099999	-0.02572387	
10.120000	-0.01849246	
10.139999	-0.00422984	
10.160000	0.00953811	
10.179999	0.01714587	
10.200000	0.00986516	
10.219999	-0.00728118	
10.240000	-0.02254862	
10.260000	-0.02951121	
10.280000	-0.02874535	
10.300000	-0.02499253	
10.320000	-0.01507765	
10.340000	0.00123507	
10.360000	0.01632088	
10.380000	0.02172428	
10.400000	0.01234049	
10.420000	-0.00705415	
10.440000	-0.02340120	
10.460000	-0.03054315	
10.480000	-0.02948457	
10.500000	-0.02507365	
10.520000	-0.01769853	
10.540000	-0.00460315	
10.559999	0.00492013	
10.580000	0.00707328	
10.599999	-0.00292659	
10.620000	-0.01753342	
10.639999	-0.02875596	
10.660000	-0.03075582	
10.679999	-0.02164137	
10.700000	-0.00453484	
10.719999	0.01498556	
10.740000	0.03163391	
10.760000	0.03924263	
10.780000	0.03345150	
10.800000	0.01042497	
10.820000	-0.01375455	
10.840000	-0.02970010	
10.860000	-0.03109431	
10.880000	-0.02613711	
10.900000	-0.01251578	
10.920000	0.00855356	
10.940000	0.03148210	
10.960000	0.04570824	
10.980000	0.04695314	
11.000000	0.03190285	
11.020000	0.00301826	
11.040000	-0.02095830	
11.059999	-0.03379989	
11.080000	-0.03091133	
11.099999	-0.02015918	
11.120000	-0.00263107	
11.139999	0.01915902	
11.160000	0.03355062	
11.179999	0.03595835	
11.200000	0.02196938	
11.219999	-0.00204426	
11.240000	-0.02165532	
11.259999	-0.03033471	
11.280000	-0.02932733	
11.300000	-0.02398622	
11.320000	-0.01292229	
11.340000	0.00582141	
11.360000	0.02348185	
11.380000	0.03335106	
11.400000	0.02697867	
11.420000	0.00461119	
11.440000	-0.01633799	
11.460000	-0.02841038	
11.480000	-0.02770919	
11.500000	-0.02431494	
11.520000	-0.01470107	
11.540000	0.00319320	
11.559999	0.02293038	
11.580000	0.03527534	
11.599999	0.03301591	
11.620000	0.01220989	
11.639999	-0.01071095	
11.660000	-0.02700442	
11.679999	-0.02932990	
11.700000	-0.02699435	
11.719999	-0.02005965	
11.740000	-0.00471234	
11.759999	0.01337558	
11.780000	0.02639461	
11.800000	0.02521229	
11.820000	0.00495666	
11.840000	-0.01557070	
11.860000	-0.02975368	
11.880000	-0.02957749	
11.900000	-0.02717447	
11.920000	-0.02009809	
11.940000	-0.00480270	
11.960000	0.01343250	
11.980000	0.02601779	
12.000000	0.02453047	
12.020000	0.00621152	
12.040000	-0.01543540	
12.059999	-0.03105247	
12.080000	-0.03464007	
12.099999	-0.03235084	
12.120000	-0.02488089	
12.139999	-0.00915438	
12.160000	0.01121676	
12.179999	0.02882886	
12.200000	0.03670526	
12.219999	0.02887428	
12.240000	0.00390512	
12.259999	-0.02064055	
12.280000	-0.03628087	
12.300000	-0.03640306	
12.320000	-0.03443760	
12.340000	-0.02566183	
12.360000	-0.01105839	
12.380000	0.00976110	
12.400000	0.02697086	
12.420000	0.03458935	
12.440000	0.02428555	
12.460000	-0.00058979	
12.480000	-0.02265054	
12.500000	-0.03330070	
12.520000	-0.03241616	
12.540000	-0.02896136	
12.559999	-0.02042425	
12.580000	-0.00417507	
12.599999	0.01428241	
12.620000	0.02831912	
12.639999	0.03081590	
12.660000	0.01768160	
12.679999	-0.00446320	
12.700000	-0.02311075	
12.719999	-0.03087515	
12.740000	-0.02949202	
12.759999	-0.02686316	
12.780000	-0.01869589	
12.799999	-0.00732255	
12.820000	0.00551510	
12.840000	0.00997704	
12.860000	0.00041461	
12.880000	-0.01399392	
12.900000	-0.02537531	
12.920000	-0.02750266	
12.940000	-0.02479661	
12.960000	-0.01758778	
12.980000	-0.00221354	
13.000000	0.01349258	
13.020000	0.02284026	
13.040000	0.01592600	
13.059999	-0.00269896	
13.080000	-0.01972061	
13.099999	-0.02818048	
13.120000	-0.02711749	
13.139999	-0.01984286	
13.160000	-0.00516462	
13.179999	0.01438451	
13.200000	0.02765256	
13.219999	0.02768505	
13.240000	0.01054776	
13.259999	-0.01062548	
13.280000	-0.02640307	
13.299999	-0.02980590	
13.320000	-0.02588701	
13.340000	-0.01407981	
13.360000	0.00284612	
13.380000	0.01926661	
13.400000	0.02765965	
13.420000	0.02298576	
13.440000	0.00264645	
13.460000	-0.01760459	
13.480000	-0.03057718	
13.500000	-0.02900481	
