Time	Right_Forefoot_y_baseline X
5.440000	0.00934410	
5.460000	0.00110453	
5.480000	-0.00708900	
5.500000	-0.01309916	
5.520000	-0.01352738	
5.540000	-0.01344231	
5.560000	-0.01378627	
5.580000	-0.01277862	
5.600000	-0.00984484	
5.620000	-0.00311182	
5.640000	0.00381885	
5.660000	0.01170871	
5.680000	0.01625958	
5.700000	0.02000786	
5.720000	0.02134468	
5.740000	0.01976971	
5.760000	0.01483256	
5.780000	0.00460234	
5.800000	-0.00401263	
5.820000	-0.00997512	
5.840000	-0.01064661	
5.860000	-0.01045819	
5.880000	-0.01030613	
5.900000	-0.00709066	
5.920000	-0.00225499	
5.940000	0.00547417	
5.960000	0.01013969	
5.980000	0.01418386	
6.000000	0.01581205	
6.020000	0.01577753	
6.040000	0.01352902	
6.060000	0.00557198	
6.080000	-0.00306170	
6.100000	-0.01097496	
6.120000	-0.01338251	
6.140000	-0.01321156	
6.160000	-0.01267958	
6.180000	-0.01147714	
6.200000	-0.01051408	
6.220000	-0.00486165	
6.240000	0.00201437	
6.260000	0.01110995	
6.280000	0.01677799	
6.300000	0.02212282	
6.320000	0.02565679	
6.340000	0.02847694	
6.360000	0.02942871	
6.380000	0.02853838	
6.400000	0.02357450	
6.420000	0.01269211	
6.440000	-0.00059557	
6.460000	-0.01017155	
6.480000	-0.01380682	
6.500000	-0.01360258	
6.520000	-0.01360258	
6.540000	-0.01245315	
6.560000	-0.01130372	
6.580000	-0.00634621	
6.600000	0.00022262	
6.620000	0.00975156	
6.640000	0.01643772	
6.660000	0.02303493	
6.680000	0.02763285	
6.700000	0.03110354	
6.720000	0.03187571	
6.740000	0.02905001	
6.760000	0.02212672	
6.780000	0.00911458	
6.800000	-0.00309291	
6.820000	-0.01104072	
6.840000	-0.01287355	
6.860000	-0.01194501	
6.880000	-0.01104441	
6.900000	-0.00758995	
6.920000	-0.00354785	
6.940000	0.00476611	
6.960000	0.01082763	
6.980000	0.01656429	
7.000000	0.01758653	
7.020000	0.01550137	
7.040000	0.00902170	
