Time	Left_paced_y_baseline X
4.760000	-0.02943899	
4.780000	-0.02943332	
4.800000	-0.02943899	
4.820000	-0.02943332	
4.840000	-0.02943899	
4.860000	-0.02943332	
4.880000	-0.02943899	
4.900000	-0.02943332	
4.920000	-0.02943899	
4.940000	-0.02929217	
4.960000	-0.02915251	
4.980000	-0.02876066	
5.000000	-0.02850981	
5.020000	-0.02699469	
5.040000	-0.02234195	
5.060000	-0.01049182	
5.080000	0.00446564	
5.100000	0.02098665	
5.120000	0.03460326	
5.140000	0.04812749	
5.160000	0.05922007	
5.180000	0.06905321	
5.200000	0.07633068	
5.220000	0.08336379	
5.240000	0.08772755	
5.260000	0.09132226	
5.280000	0.09264562	
5.300000	0.09366485	
5.320000	0.09373094	
5.340000	0.09314184	
5.360000	0.09248665	
5.380000	0.09108256	
5.400000	0.09033382	
5.420000	0.08764549	
5.440000	0.08465120	
5.460000	0.07910990	
5.480000	0.07308388	
5.500000	0.06283659	
5.520000	0.04524357	
5.540000	0.01506566	
5.560000	-0.01112719	
5.580000	-0.02767551	
5.600000	-0.02921493	
5.620000	-0.02905913	
5.640000	-0.02865529	
5.660000	-0.02845322	
5.680000	-0.02865529	
5.700000	-0.02885720	
5.720000	-0.02885720	
5.740000	-0.02885720	
5.760000	-0.02885720	
5.780000	-0.02885720	
5.800000	-0.02885720	
5.820000	-0.02885720	
5.840000	-0.02885720	
5.860000	-0.02885720	
5.880000	-0.02885720	
5.900000	-0.02885720	
5.920000	-0.02885720	
5.940000	-0.02885720	
5.960000	-0.02885720	
5.980000	-0.02885720	
6.000000	-0.02885720	
6.020000	-0.02520590	
6.040000	-0.01352772	
6.060000	0.00508270	
6.080000	0.02605420	
6.100000	0.04429824	
6.120000	0.05863979	
6.140000	0.06974585	
6.160000	0.07715715	
6.180000	0.08377695	
6.200000	0.08796259	
6.220000	0.09155613	
6.240000	0.09291129	
6.260000	0.09392403	
6.280000	0.09390922	
6.300000	0.09372927	
6.320000	0.09354916	
6.340000	0.09283921	
6.360000	0.09229439	
6.380000	0.09130494	
6.400000	0.09088896	
6.420000	0.08927896	
6.440000	0.08811323	
6.460000	0.08526127	
6.480000	0.08360333	
6.500000	0.07978324	
6.520000	0.07560924	
6.540000	0.06833643	
6.560000	0.05800907	
6.580000	0.03932507	
6.600000	0.01068126	
6.620000	-0.01408637	
6.640000	-0.02843207	
6.660000	-0.02886602	
6.680000	-0.02795915	
6.700000	-0.02774042	
6.720000	-0.02837631	
6.740000	-0.02891231	
6.760000	-0.02881409	
6.780000	-0.02886637	
6.800000	-0.02902167	
6.820000	-0.02901851	
6.840000	-0.02886237	
6.860000	-0.02880494	
6.880000	-0.02890764	
6.900000	-0.02876948	
6.920000	-0.02852312	
6.940000	-0.02755532	
6.960000	-0.02625860	
6.980000	-0.02315977	
7.000000	-0.01860926	
7.020000	-0.00802538	
7.040000	0.00558075	
