Time	Hip_Knee-Angle_left X
8.860000	93.12181854	
8.880000	93.10254669	
8.900000	92.93059540	
8.920000	92.63431549	
8.940000	92.06860352	
8.960000	91.30707550	
8.980000	90.29073334	
9.000000	89.15381622	
9.020000	87.92705536	
9.040000	86.69975281	
9.059999	85.44873047	
9.080000	84.30656433	
9.099999	83.22101593	
9.120000	82.31379700	
9.139999	81.51741028	
9.160000	80.93932343	
9.179999	80.45429993	
9.200000	80.15202332	
9.220000	79.92829895	
9.240000	79.83708954	
9.260000	79.82379150	
9.280000	79.89093781	
9.300000	80.07126617	
9.320000	80.28937531	
9.340000	80.62608337	
9.360000	80.97302246	
9.380000	81.44301605	
9.400000	82.00036621	
9.420000	82.68044281	
9.440000	83.22832489	
9.460000	83.64796448	
9.480000	83.86643982	
9.500000	84.16193390	
9.520000	84.49364471	
9.540000	84.96392059	
9.559999	85.45220947	
9.580000	85.99614716	
9.599999	86.54122162	
9.620000	87.07340240	
9.639999	87.55294037	
9.660000	87.98336029	
9.679999	88.37718964	
9.700000	88.77371216	
9.719999	89.14682007	
9.740000	89.55968475	
9.760000	89.92462921	
9.780000	90.29049683	
9.800000	90.59204102	
9.820000	90.88597107	
9.840000	91.16841888	
9.860000	91.38047028	
9.880000	91.50563049	
9.900000	91.56955719	
9.920000	91.59918976	
9.940000	91.68508911	
9.960000	91.71827698	
9.980000	91.81430817	
10.000000	91.83506012	
10.020000	91.86436462	
10.040000	91.81719208	
10.059999	91.61933899	
10.080000	91.21974182	
10.099999	90.59278870	
10.120000	89.88445282	
10.139999	89.04426575	
10.160000	88.17768097	
10.179999	87.23558807	
10.200000	86.40516663	
10.219999	85.61975861	
10.240000	85.02307129	
10.260000	84.52056122	
10.280000	84.18294525	
10.300000	83.89167786	
10.320000	83.66319275	
10.340000	83.46601105	
10.360000	83.32748413	
10.380000	83.33249664	
10.400000	83.41471863	
10.420000	83.56738281	
10.440000	83.62966156	
10.460000	83.63452148	
10.480000	83.57355499	
10.500000	83.63422394	
10.520000	83.74700165	
10.540000	83.94056702	
10.559999	84.05605316	
10.580000	84.24110413	
10.599999	84.49045563	
10.620000	84.91641998	
10.639999	85.43228149	
10.660000	85.99272919	
10.679999	86.51351929	
10.700000	87.04352570	
10.719999	87.52326202	
10.740000	88.03657532	
10.760000	88.39813995	
10.780000	88.85569763	
10.800000	89.15542603	
10.820000	89.58580017	
10.840000	89.88258362	
10.860000	90.34349060	
10.880000	90.72988892	
10.900000	91.21217346	
10.920000	91.57542419	
10.940000	91.91030121	
10.960000	92.12859344	
10.980000	92.26007843	
11.000000	92.27858734	
11.020000	92.04744720	
11.040000	91.60504913	
11.059999	90.80608368	
11.080000	89.79087067	
11.099999	88.62859344	
11.120000	87.41341400	
11.139999	86.18109131	
11.160000	84.97446442	
11.179999	83.91255188	
11.200000	83.02879333	
11.219999	82.28442383	
11.240000	81.70174408	
11.259999	81.25218964	
11.280000	80.98857117	
11.300000	80.83055115	
11.320000	80.82202911	
11.340000	80.89167786	
11.360000	81.04182434	
11.380000	81.23239899	
11.400000	81.41101837	
11.420000	81.58994293	
11.440000	81.83437347	
11.460000	82.27551270	
11.480000	82.81443787	
11.500000	83.28611755	
11.520000	83.61373138	
11.540000	83.98603058	
11.559999	84.51522827	
11.580000	85.20256042	
11.599999	85.79402924	
11.620000	86.37715149	
11.639999	86.77338409	
11.660000	87.30982971	
11.679999	87.68269348	
11.700000	88.21173859	
11.719999	88.68888092	
11.740000	89.32375336	
11.759999	89.84832001	
11.780000	90.37036896	
11.800000	90.80262756	
11.820000	91.18144226	
11.840000	91.39800262	
11.860000	91.48486328	
11.880000	91.47389221	
11.900000	91.28563690	
11.920000	90.90301514	
11.940000	90.24378204	
11.960000	89.38961792	
11.980000	88.36863708	
12.000000	87.28500366	
12.020000	86.18875122	
12.040000	85.15811920	
12.059999	84.22933960	
12.080000	83.49970245	
12.099999	82.90172577	
12.120000	82.51317596	
12.139999	82.17736816	
12.160000	82.00247192	
12.179999	81.90168762	
12.200000	81.96202087	
12.219999	82.11792755	
12.240000	82.28452301	
12.259999	82.49705505	
12.280000	82.64181519	
12.300000	82.82794952	
12.320000	83.00370789	
12.340000	83.35207367	
12.360000	83.76028442	
12.380000	84.19336700	
12.400000	84.44747925	
12.420000	84.71646881	
12.440000	84.97860718	
12.460000	85.44099426	
12.480000	85.90274811	
12.500000	86.45690918	
12.520000	86.91143036	
12.540000	87.42412567	
12.559999	87.83625793	
12.580000	88.33540344	
12.599999	88.71386719	
12.620000	89.15647888	
12.639999	89.52389526	
12.660000	89.98663330	
12.679999	90.40703583	
12.700000	90.89651489	
12.719999	91.29806519	
12.740000	91.68492889	
12.759999	91.98249054	
12.780000	92.25957489	
12.799999	92.46511078	
12.820000	92.61298370	
12.840000	92.70192719	
12.860000	92.78260040	
12.880000	92.83769226	
12.900000	92.82854462	
12.920000	92.77906036	
12.940000	92.60144806	
12.960000	92.33509827	
12.980000	91.80348969	
13.000000	91.13333130	
13.020000	90.24691772	
13.040000	89.31439209	
13.059999	88.23603821	
13.080000	87.14006805	
13.099999	86.00435638	
13.120000	84.96189880	
13.139999	84.00754547	
13.160000	83.24974060	
13.179999	82.58259583	
13.200000	82.10462952	
13.219999	81.64344025	
13.240000	81.36258698	
13.259999	81.13931274	
13.280000	81.05302429	
13.299999	81.00186920	
13.320000	81.00915527	
13.340000	81.10374451	
13.360000	81.19861603	
13.380000	81.34125519	
13.400000	81.42589569	
13.420000	81.62702942	
13.440000	81.95720673	
13.460000	82.50135803	
13.480000	83.06675720	
13.500000	83.56072998	
13.520000	83.95964050	
13.540000	84.42098236	
13.559999	84.91844177	
13.580000	85.48840332	
13.599999	86.00056458	
13.620000	86.49906158	
13.639999	86.89831543	
13.660000	87.34650421	
13.679999	87.76548004	
13.700000	88.23013306	
13.719999	88.58424377	
13.740000	88.96701813	
13.759999	89.28064728	
13.780000	89.69499969	
13.799999	90.04911041	
13.820000	90.45874023	
