Time	Knee_Ankle_Angle_left X
14.559999	107.87044525	
14.580000	106.50286102	
14.599999	105.82980347	
14.620000	105.66298676	
14.639999	105.70911407	
14.660000	105.60289764	
14.679999	105.43004608	
14.700000	105.39289093	
14.719999	105.55185699	
14.740000	105.69463348	
14.759999	105.80107880	
14.780000	105.79858398	
14.799999	105.80176544	
14.820000	105.74028015	
14.839999	105.64041901	
14.860000	105.62267303	
14.880000	105.66097260	
14.900000	105.84555817	
14.920000	105.97393799	
14.940000	106.18670654	
14.960000	106.43225861	
14.980000	106.75894165	
15.000000	107.09346771	
15.020000	107.33380127	
15.040000	107.49905396	
15.059999	107.57781982	
15.080000	107.61656952	
15.099999	107.67748260	
15.120000	107.75621033	
15.139999	107.86700439	
15.160000	107.87121582	
15.179999	107.93079376	
15.200000	108.00398254	
15.219999	108.25194550	
15.240000	108.47026062	
15.259999	108.75272369	
15.280000	109.05631256	
15.299999	109.46884155	
15.320000	110.00557709	
15.339999	110.74607849	
15.360000	111.69995880	
15.380000	112.81967163	
15.400000	114.15283966	
15.420000	115.66902161	
15.440000	117.19635010	
15.460000	118.76101685	
15.480000	120.13802338	
15.500000	121.61154175	
15.520000	122.73330688	
15.540000	123.71934509	
15.559999	124.14818573	
15.580000	124.11769104	
15.599999	123.51062775	
15.620000	122.44371796	
15.639999	121.03717041	
15.660000	119.30342102	
15.679999	117.34590149	
15.700000	115.22455597	
15.719999	113.19924927	
15.740000	111.24229431	
15.759999	109.64220428	
15.780000	108.20170593	
15.799999	107.31980896	
15.820000	106.95315552	
15.839999	107.10045624	
15.860000	107.35330200	
15.880000	107.40408325	
15.900000	107.30888367	
15.920000	107.24963379	
15.940000	107.30014801	
15.960000	107.36344910	
15.980000	107.33773804	
16.000000	107.25320435	
16.020000	107.23967743	
16.039999	107.26152039	
16.059999	107.26055908	
16.080000	107.20159149	
16.100000	107.07923889	
16.119999	107.02243042	
16.139999	106.98299408	
16.160000	107.00024414	
16.180000	107.03505707	
16.199999	107.12525940	
16.219999	107.22938538	
16.240000	107.40286255	
16.260000	107.54184723	
16.279999	107.68276978	
16.299999	107.79448700	
16.320000	107.89789581	
16.340000	108.00032806	
16.359999	108.05503082	
16.379999	108.17587280	
16.400000	108.31635284	
16.420000	108.56742096	
16.440001	108.86147308	
16.459999	109.26297760	
16.480000	109.68640900	
16.500000	110.13610077	
16.520000	110.59133911	
16.539999	111.08191681	
16.559999	111.55671692	
16.580000	112.21389771	
16.600000	112.88834381	
16.619999	113.87812805	
16.639999	114.89812469	
16.660000	116.25949097	
16.680000	117.60774994	
16.699999	119.19329834	
16.719999	120.64092255	
16.740000	122.06776428	
16.760000	123.19693756	
16.779999	124.07070160	
16.799999	124.37805176	
16.820000	123.98394012	
16.840000	122.98732758	
16.859999	121.39183044	
16.879999	119.47790527	
16.900000	117.15234375	
16.920000	114.74158478	
16.940001	112.20928955	
16.959999	109.86248779	
16.980000	107.63144684	
17.000000	105.87920380	
17.020000	104.64669800	
17.039999	104.31152344	
17.059999	104.41651917	
17.080000	104.60161591	
17.100000	104.54869080	
17.119999	104.45475006	
17.139999	104.56600189	
17.160000	104.83475494	
17.180000	105.16445160	
17.199999	105.32444763	
17.219999	105.39364624	
17.240000	105.31249237	
17.260000	105.24922180	
17.279999	105.11513519	
17.299999	105.00981903	
17.320000	104.89447784	
17.340000	104.80557251	
17.359999	104.72547913	
17.379999	104.73277283	
17.400000	104.81494141	
17.420000	104.93025208	
17.440001	105.02262878	
17.459999	105.08753967	
17.480000	105.11250305	
17.500000	105.08463287	
17.520000	105.06106567	
17.539999	105.01887512	
17.559999	105.00926971	
17.580000	104.95626068	
17.600000	104.98770142	
17.619999	105.05258179	
17.639999	105.25580597	
17.660000	105.56082153	
17.680000	105.91574860	
17.699999	106.51229858	
17.719999	107.08393097	
17.740000	108.00901794	
17.760000	108.85246277	
17.779999	110.03964233	
17.799999	111.13080597	
17.820000	112.37483978	
17.840000	113.60728455	
17.859999	114.98192596	
17.879999	116.40226746	
17.900000	117.75817871	
17.920000	118.90565491	
17.940001	119.83267975	
17.959999	120.41024780	
17.980000	120.42073822	
18.000000	119.86511230	
18.020000	118.73979950	
18.039999	117.30630493	
18.059999	115.48976898	
18.080000	113.49065399	
18.100000	111.32954407	
18.119999	109.24897766	
18.139999	107.29306030	
18.160000	105.91216278	
18.180000	105.16904449	
18.199999	105.11411285	
18.219999	105.22821045	
18.240000	105.19145203	
18.260000	105.03034210	
18.279999	104.99632263	
18.299999	105.20178986	
18.320000	105.45626068	
18.340000	105.53521729	
18.359999	105.55692291	
18.379999	105.53626251	
18.400000	105.55151367	
18.420000	105.50457001	
18.440001	105.44775391	
18.459999	105.36978149	
18.480000	105.25077057	
18.500000	105.22221375	
18.520000	105.27590942	
18.539999	105.42151642	
18.559999	105.57675171	
18.580000	105.74407196	
18.600000	105.91156769	
18.619999	106.08322144	
18.639999	106.14715576	
18.660000	106.25181580	
18.680000	106.32828522	
18.699999	106.45429993	
18.719999	106.67300415	
18.740000	106.98184204	
18.760000	107.46064758	
18.779999	108.00859833	
18.799999	108.71828461	
18.820000	109.61594391	
18.840000	110.65780640	
18.859999	111.99356079	
18.879999	113.41378021	
18.900000	115.03622437	
18.920000	116.52750397	
18.939999	118.10357666	
18.959999	119.55544281	
18.980000	120.83311462	
19.000000	121.69908905	
19.020000	121.84741211	
19.039999	121.35964966	
19.059999	120.18478394	
19.080000	118.54035187	
19.100000	116.45571899	
19.119999	114.12694550	
19.139999	111.69084167	
19.160000	109.27595520	
19.180000	107.01124573	
19.199999	105.20814514	
19.219999	104.09921265	
19.240000	103.93574524	
19.260000	104.25880432	
19.279999	104.61759949	
19.299999	104.80294800	
19.320000	104.96566772	
19.340000	105.29032898	
19.359999	105.56070709	
19.379999	105.71501923	
19.400000	105.68850708	
19.420000	105.61938477	
19.439999	105.52421570	
19.459999	105.47817993	
19.480000	105.52534485	
19.500000	105.63009644	
19.520000	105.87766266	
19.539999	106.05912781	
19.559999	106.36130524	
19.580000	106.55335236	
19.600000	106.70586395	
19.619999	106.83219147	
19.639999	107.00861359	
19.660000	107.32690430	
19.680000	107.70410156	
19.699999	108.32614136	
19.719999	109.06502533	
19.740000	110.05138397	
19.760000	111.08386230	
19.779999	112.38058472	
19.799999	113.77643585	
19.820000	115.27098083	
19.840000	116.70700073	
19.859999	118.17356873	
19.879999	119.42759705	
19.900000	120.45110321	
19.920000	120.83606720	
19.939999	120.69204712	
19.959999	119.99398041	
19.980000	118.85461426	
20.000000	117.38879395	
20.020000	115.51876068	
20.039999	113.51297760	
20.059999	111.26339722	
20.080000	109.16136932	
20.100000	107.23329926	
20.119999	105.82672882	
20.139999	104.98790741	
20.160000	104.89038086	
20.180000	105.19367981	
20.199999	105.49857330	
20.219999	105.44337463	
20.240000	105.36453247	
20.260000	105.42657471	
20.279999	105.67636108	
