Time	Paced_right_y_baseline X
8.059999	0.00441164	
8.080000	0.00901391	
8.099999	0.01476647	
8.120000	0.01771192	
8.139999	0.02137479	
8.160000	0.02263448	
8.179999	0.02363208	
8.200000	0.02316248	
8.220000	0.02021348	
8.240000	0.01708250	
8.260000	0.01147738	
8.280000	0.00797381	
8.300000	0.00109360	
8.320000	-0.00316298	
8.340000	-0.00740431	
8.360000	-0.00784090	
8.380000	-0.00834319	
8.400000	-0.00849655	
8.420000	-0.00844814	
8.440000	-0.00829476	
8.460000	-0.00827581	
8.480000	-0.00845407	
8.500000	-0.00858898	
8.520000	-0.00862201	
8.540000	-0.00831085	
8.559999	-0.00807656	
8.580000	-0.00776523	
8.599999	-0.00780891	
8.620000	-0.00775914	
8.639999	-0.00779554	
8.660000	-0.00657040	
8.679999	-0.00537524	
8.700000	-0.00194004	
8.720000	0.00082782	
8.740000	0.00600633	
8.760000	0.00898767	
8.780000	0.01368421	
8.800000	0.01609285	
8.820000	0.01940411	
8.840000	0.02044998	
8.860000	0.02074216	
8.880000	0.02013172	
8.900000	0.01804203	
8.920000	0.01609640	
8.940000	0.01085407	
8.960000	0.00405122	
8.980000	-0.00324965	
9.000000	-0.00713193	
9.020000	-0.00788984	
9.040000	-0.00757022	
9.059999	-0.00766976	
9.080000	-0.00789221	
9.099999	-0.00799496	
9.120000	-0.00784548	
9.139999	-0.00779706	
9.160000	-0.00801882	
9.179999	-0.00801274	
9.200000	-0.00786783	
9.220000	-0.00754194	
9.240000	-0.00739838	
9.260000	-0.00720507	
9.280000	-0.00715528	
9.300000	-0.00595994	
9.320000	-0.00409423	
9.340000	0.00083663	
9.360000	0.00566015	
9.380000	0.01250124	
9.400000	0.01627703	
9.420000	0.02016997	
9.440000	0.02132486	
9.460000	0.02228642	
9.480000	0.02208716	
9.500000	0.02171135	
9.520000	0.02152902	
9.540000	0.02118045	
9.559999	0.02100830	
9.580000	0.01943764	
9.599999	0.01803915	
9.620000	0.01378596	
9.639999	0.00915779	
9.660000	0.00104907	
9.679999	-0.00421086	
9.700000	-0.00769143	
9.719999	-0.00769143	
9.740000	-0.00786783	
9.760000	-0.00806116	
9.780000	-0.00820623	
9.800000	-0.00820605	
9.820000	-0.00815782	
9.840000	-0.00819506	
9.860000	-0.00801274	
9.880000	-0.00786783	
9.900000	-0.00781178	
9.920000	-0.00793807	
9.940000	-0.00788561	
9.960000	-0.00770684	
9.980000	-0.00724638	
10.000000	-0.00696467	
10.020000	-0.00527129	
10.040000	-0.00381304	
10.059999	0.00004402	
10.080000	0.00260077	
10.099999	0.00705710	
10.120000	0.00911446	
10.139999	0.01200150	
10.160000	0.01294172	
10.179999	0.01297219	
