Time	Hip_Knee_Angle_right X
5.440000	103.44747925	
5.460000	105.13242340	
5.480000	106.82878113	
5.500000	108.40380096	
5.520000	109.69085693	
5.540000	110.63301849	
5.560000	111.19531250	
5.580000	111.43373871	
5.600000	111.39109039	
5.620000	111.16134644	
5.640000	110.78874207	
5.660000	110.28671265	
5.680000	109.62062836	
5.700000	108.75315094	
5.720000	107.73937225	
5.740000	106.61471558	
5.760000	105.46335602	
5.780000	104.31806946	
5.800000	103.29790497	
5.820000	102.40209961	
5.840000	101.62779236	
5.860000	100.91939545	
5.880000	100.31620789	
5.900000	99.76795197	
5.920000	99.25002289	
5.940000	98.71096802	
5.960000	98.20729828	
5.980000	97.72544861	
6.000000	97.31501770	
6.020000	96.96562958	
6.040000	96.74756622	
6.060000	96.65271759	
6.080000	96.73365021	
6.100000	97.00766754	
6.120000	97.52970123	
6.140000	98.35206604	
6.160000	99.50095367	
6.180000	100.97299957	
6.200000	102.67511749	
6.220000	104.50674438	
6.240000	106.27361298	
6.260000	107.82138062	
6.280000	109.01910400	
6.300000	109.86318207	
6.320000	110.35687256	
6.340000	110.58470154	
6.360000	110.61505127	
6.380000	110.52278900	
6.400000	110.34012604	
6.420000	110.08551788	
6.440000	109.76050568	
6.460000	109.29971313	
6.480000	108.66249084	
6.500000	107.83416748	
6.520000	106.88562012	
6.540000	105.82713318	
6.560000	104.76509094	
6.580000	103.72731781	
6.600000	102.79746246	
6.620000	101.89340210	
6.640000	101.05388641	
6.660000	100.25942230	
6.680000	99.56057739	
6.700000	98.90113831	
6.720000	98.32263184	
6.740000	97.82229614	
6.760000	97.43264771	
6.780000	97.12875366	
6.800000	96.91976166	
6.820000	96.77879333	
6.840000	96.70031738	
6.860000	96.68222046	
6.880000	96.74905396	
6.900000	96.95141602	
6.920000	97.34721375	
6.940000	98.02324677	
6.960000	99.01108551	
6.980000	100.36628723	
7.000000	102.03063965	
7.020000	103.94782257	
7.040000	105.92763519	
7.060000	107.83055115	
7.080000	109.44963074	
7.100000	110.68518829	
7.120000	111.45503998	
7.140000	111.81975555	
7.160000	111.83313751	
7.180000	111.60179138	
7.200000	111.20457458	
7.220000	110.70874023	
7.240000	110.14454651	
7.260000	109.46468353	
7.280000	108.67472076	
7.300000	107.77745819	
7.320000	106.84738922	
7.340000	105.88079834	
7.360000	104.95679474	
7.380000	104.08905029	
7.400000	103.29885864	
7.420000	102.50298309	
7.440000	101.72569275	
7.460000	100.97034454	
7.480000	100.29810333	
7.500000	99.68323517	
7.520000	99.17711639	
7.540000	98.71079254	
7.560000	98.31051636	
7.580000	97.90464020	
7.600000	97.55846405	
7.620000	97.21214294	
7.640000	96.93057251	
7.660000	96.66597748	
7.680000	96.47141266	
7.700000	96.33109283	
7.720000	96.32067108	
7.740000	96.48355865	
7.760000	96.89300537	
7.780000	97.61907196	
7.800000	98.67004395	
7.820000	100.03237915	
7.840000	101.61043549	
7.860000	103.32502747	
7.880000	104.97853851	
7.900000	106.42555237	
7.920000	107.52752686	
7.940000	108.26489258	
7.960000	108.62213898	
7.980000	108.64733887	
8.000000	108.42974854	
8.020000	108.05933380	
8.040000	107.58989716	
8.059999	107.02130127	
8.080000	106.36806488	
8.099999	105.62310791	
8.120000	104.81921387	
8.139999	103.94331360	
8.160000	103.00825500	
8.179999	102.02178192	
8.200000	101.04729462	
8.220000	100.08671570	
8.240000	99.18565369	
8.260000	98.36218262	
8.280000	97.68571472	
8.300000	97.10972595	
8.320000	96.60794830	
8.340000	96.13944244	
8.360000	95.72347260	
8.380000	95.34630585	
8.400000	95.03647614	
8.420000	94.80565643	
8.440000	94.66693115	
8.460000	94.62351227	
8.480000	94.71189117	
8.500000	94.98242188	
8.520000	95.51997375	
8.540000	96.39376068	
8.559999	97.66907501	
8.580000	99.32421875	
8.599999	101.28824615	
8.620000	103.43106842	
8.639999	105.56603241	
8.660000	107.52659607	
8.679999	109.17652130	
8.700000	110.47618103	
8.720000	111.38991547	
8.740000	111.98984528	
8.760000	112.32545471	
8.780000	112.45427704	
8.800000	112.37541962	
8.820000	112.11508942	
8.840000	111.71875000	
8.860000	111.19794464	
8.880000	110.57130432	
8.900000	109.82872772	
8.920000	109.03329468	
8.940000	108.19560242	
8.960000	107.36074066	
8.980000	106.50752258	
9.000000	105.69820404	
9.020000	104.92731476	
9.040000	104.19361877	
9.059999	103.40054321	
9.080000	102.61678314	
9.099999	101.79147339	
9.120000	100.97348785	
9.139999	100.11033630	
9.160000	99.34021759	
9.179999	98.65182495	
9.200000	98.11536407	
9.220000	97.65949249	
9.240000	97.33455658	
9.260000	97.04807281	
9.280000	96.81357574	
9.300000	96.59449005	
9.320000	96.44091797	
9.340000	96.36729431	
9.360000	96.43965912	
9.380000	96.71103668	
9.400000	97.25332642	
9.420000	98.13275909	
9.440000	99.35556030	
9.460000	100.93531036	
9.480000	102.77995300	
9.500000	104.81852722	
9.520000	106.84685516	
9.540000	108.73246002	
9.559999	110.30818939	
9.580000	111.52983093	
9.599999	112.34101105	
9.620000	112.80992889	
9.639999	112.98588562	
9.660000	112.96331024	
9.679999	112.77983093	
9.700000	112.47316742	
9.719999	112.06666565	
9.740000	111.57497406	
9.760000	111.01770020	
9.780000	110.38430023	
9.800000	109.70706177	
9.820000	109.01749420	
9.840000	108.37138367	
