Time	Paced_left_y_baseline X
7.980000	-0.01290485	
8.000000	-0.01290485	
8.020000	-0.01283121	
8.040000	-0.01283121	
8.059999	-0.01283121	
8.080000	-0.01290485	
8.099999	-0.01233652	
8.120000	-0.01176837	
8.139999	-0.00951809	
8.160000	-0.00644374	
8.179999	-0.00093551	
8.200000	0.00338596	
8.220000	0.00898281	
8.240000	0.01381375	
8.260000	0.02160470	
8.280000	0.02680810	
8.300000	0.03218165	
8.320000	0.03410017	
8.340000	0.03717637	
8.360000	0.03841442	
8.380000	0.03989241	
8.400000	0.04013251	
8.420000	0.03721790	
8.440000	0.03234677	
8.460000	0.02350374	
8.480000	0.01471165	
8.500000	0.00193118	
8.520000	-0.00723721	
8.540000	-0.01330134	
8.559999	-0.01232290	
8.580000	-0.01232290	
8.599999	-0.01201168	
8.620000	-0.01314177	
8.639999	-0.01293378	
8.660000	-0.01310091	
8.679999	-0.01316480	
8.700000	-0.01306139	
8.720000	-0.01289426	
8.740000	-0.01135238	
8.760000	-0.00984597	
8.780000	-0.00536947	
8.800000	-0.00060797	
8.820000	0.00713490	
8.840000	0.01449591	
8.860000	0.02365623	
8.880000	0.03143072	
8.900000	0.03871052	
8.920000	0.04259196	
8.940000	0.04600528	
8.960000	0.04733311	
8.980000	0.04993649	
9.000000	0.05128096	
9.020000	0.05219685	
9.040000	0.05098386	
9.059999	0.04690266	
9.080000	0.03997613	
9.099999	0.02880093	
9.120000	0.01540995	
9.139999	0.00069262	
9.160000	-0.00900660	
9.179999	-0.01337464	
9.200000	-0.01315135	
9.220000	-0.01284567	
9.240000	-0.01278631	
9.260000	-0.01278648	
9.280000	-0.01284567	
9.300000	-0.01274058	
9.320000	-0.01257630	
9.340000	-0.01223850	
9.360000	-0.01206498	
9.380000	-0.01108319	
9.400000	-0.01027524	
9.420000	-0.00743631	
9.440000	-0.00341311	
9.460000	0.00377606	
9.480000	0.01233862	
9.500000	0.02279718	
9.520000	0.03355068	
9.540000	0.04374525	
9.559999	0.05098890	
9.580000	0.05585365	
9.599999	0.05787289	
9.620000	0.06010702	
9.639999	0.06125931	
9.660000	0.06483557	
9.679999	0.06731082	
9.700000	0.06899428	
9.719999	0.06769267	
9.740000	0.06322777	
9.760000	0.05729969	
9.780000	0.04835089	
9.800000	0.03801759	
9.820000	0.02294415	
9.840000	0.00582372	
9.860000	-0.00730161	
9.880000	-0.01347940	
9.900000	-0.01321238	
9.920000	-0.01244986	
9.940000	-0.01195467	
9.960000	-0.01230693	
9.980000	-0.01243556	
10.000000	-0.01229566	
10.020000	-0.01212466	
10.040000	-0.01217124	
10.059999	-0.01136599	
10.080000	-0.01053369	
10.099999	-0.00623357	
10.120000	-0.00033356	
10.139999	0.00736997	
10.160000	0.01323819	
10.179999	0.02017027	
10.200000	0.02613905	
10.219999	0.03311451	
10.240000	0.03662065	
10.260000	0.04109126	
10.280000	0.04295868	
10.300000	0.04640260	
10.320000	0.04803394	
10.340000	0.04996574	
10.360000	0.05032103	
10.380000	0.05020618	
10.400000	0.04975489	
10.420000	0.04814038	
10.440000	0.04695041	
10.460000	0.04428752	
10.480000	0.04215613	
10.500000	0.03665647	
10.520000	0.02832392	
10.540000	0.01443857	
10.559999	0.00053574	
10.580000	-0.00938004	
10.599999	-0.01315808	
10.620000	-0.01283726	
10.639999	-0.01224203	
10.660000	-0.01191565	
10.679999	-0.01230693	
10.700000	-0.01230104	
10.719999	-0.01198006	
10.740000	-0.01143578	
10.760000	-0.01124376	
10.780000	-0.00941922	
10.800000	-0.00518468	
10.820000	0.00230546	
10.840000	0.01028676	
10.860000	0.01869127	
10.880000	0.02594450	
10.900000	0.03364551	
10.920000	0.03849025	
10.940000	0.04252049	
10.960000	0.04397999	
10.980000	0.04578955	
11.000000	0.04630911	
11.020000	0.04562880	
11.040000	0.04347689	
11.059999	0.03822306	
11.080000	0.03041916	
11.099999	0.01862065	
11.120000	0.00422399	
11.139999	-0.00705528	
11.160000	-0.01340659	
11.179999	-0.01319776	
11.200000	-0.01240042	
11.219999	-0.01193634	
11.240000	-0.01233216	
11.259999	-0.01268424	
11.280000	-0.01268424	
11.300000	-0.01268424	
11.320000	-0.01268424	
11.340000	-0.01251325	
11.360000	-0.01234224	
11.380000	-0.01199014	
11.400000	-0.01180889	
11.420000	-0.01044625	
11.440000	-0.00923394	
11.460000	-0.00516485	
11.480000	-0.00178482	
11.500000	0.00421962	
11.520000	0.00887367	
11.540000	0.01584123	
11.559999	0.02015328	
11.580000	0.02497046	
11.599999	0.02698179	
11.620000	0.02985740	
11.639999	0.03072165	
11.660000	0.03141288	
11.679999	0.03124021	
11.700000	0.03024580	
11.719999	0.02763368	
11.740000	0.02107640	
11.759999	0.01038614	
11.780000	-0.00211437	
11.800000	-0.01070115	
11.820000	-0.01372355	
11.840000	-0.01316093	
11.860000	-0.01268089	
11.880000	-0.01269636	
11.900000	-0.01252216	
11.920000	-0.01224421	
11.940000	-0.01168446	
11.960000	-0.01129757	
