Time	Left_Forefoot_y_baseline X
7.000000	-0.00008518	
7.020000	-0.00764142	
7.040000	-0.01044150	
7.060000	-0.01102066	
7.080000	-0.01179658	
7.100000	-0.01199375	
7.120000	-0.01141500	
7.140000	-0.00883974	
7.160000	-0.00529675	
7.180000	0.00268665	
7.200000	0.00970973	
7.220000	0.01518118	
7.240000	0.01621182	
7.260000	0.01119083	
7.280000	0.00217679	
7.300000	-0.00691418	
7.320000	-0.01127662	
7.340000	-0.01212060	
7.360000	-0.01289053	
7.380000	-0.01345155	
7.400000	-0.01353136	
7.420000	-0.01102190	
7.440000	-0.00789821	
7.460000	-0.00162917	
7.480000	0.00333180	
7.500000	0.00828947	
7.520000	0.00739145	
7.540000	0.00126186	
7.560000	-0.00537781	
7.580000	-0.01037736	
7.600000	-0.01137871	
7.620000	-0.01206945	
7.640000	-0.01174377	
7.660000	-0.01095961	
7.680000	-0.01054236	
7.700000	-0.00792709	
7.720000	-0.00360425	
7.740000	0.00437213	
7.760000	0.01085834	
7.780000	0.01486315	
7.800000	0.01476415	
7.820000	0.00931661	
7.840000	0.00071178	
7.860000	-0.00733288	
7.880000	-0.01068178	
7.900000	-0.01118895	
7.920000	-0.01178956	
7.940000	-0.01197478	
7.960000	-0.01157629	
7.980000	-0.01005147	
8.000000	-0.00894494	
8.020000	-0.00550547	
8.040000	-0.00049892	
8.059999	0.00773960	
8.080000	0.01371123	
8.099999	0.01619862	
8.120000	0.01390448	
8.139999	0.00664112	
8.160000	-0.00165640	
8.179999	-0.00859925	
8.200000	-0.01063868	
8.220000	-0.01125929	
8.240000	-0.01168314	
8.260000	-0.01075871	
8.280000	-0.00941107	
8.300000	-0.00678775	
8.320000	-0.00219966	
8.340000	0.00610775	
8.360000	0.01344144	
8.380000	0.01857464	
8.400000	0.01998933	
8.420000	0.01968737	
8.440000	0.01666124	
8.460000	0.00925019	
8.480000	-0.00023802	
8.500000	-0.00803104	
8.520000	-0.01152247	
8.540000	-0.01234418	
8.559999	-0.01333521	
8.580000	-0.01369472	
8.599999	-0.01312360	
8.620000	-0.00995660	
8.639999	-0.00432613	
8.660000	0.00470853	
8.679999	0.01433575	
8.700000	0.02310827	
8.720000	0.02841555	
8.740000	0.02949755	
8.760000	0.02810782	
8.780000	0.02227646	
8.800000	0.01191704	
8.820000	0.00038405	
8.840000	-0.00638741	
8.860000	-0.00807868	
8.880000	-0.00834474	
8.900000	-0.00842188	
8.920000	-0.00792770	
8.940000	-0.00608154	
8.960000	-0.00479349	
8.980000	0.00106303	
9.000000	0.00820842	
9.020000	0.01728454	
9.040000	0.02179280	
9.059999	0.02281126	
9.080000	0.01891640	
9.099999	0.00872508	
9.120000	-0.00208582	
9.139999	-0.01006283	
9.160000	-0.01174337	
9.179999	-0.01211895	
9.200000	-0.01234582	
9.220000	-0.01217650	
9.240000	-0.01168726	
9.260000	-0.00881088	
9.280000	-0.00362858	
9.300000	0.00472091	
9.320000	0.01212823	
9.340000	0.01755163	
9.360000	0.01971501	
9.380000	0.01868458	
9.400000	0.01493306	
9.420000	0.00643528	
9.440000	-0.00182800	
9.460000	-0.00794049	
9.480000	-0.00930670	
9.500000	-0.00942282	
9.520000	-0.00968744	
9.540000	-0.00931124	
9.559999	-0.00867063	
9.580000	-0.00677454	
9.599999	-0.00440678	
9.620000	0.00166054	
9.639999	0.00895856	
9.660000	0.01741365	
9.679999	0.02200276	
9.700000	0.02291150	
9.719999	0.01823907	
9.740000	0.00772579	
9.760000	-0.00304984	
9.780000	-0.01071458	
9.800000	-0.01237202	
9.820000	-0.01291817	
9.840000	-0.01334326	
9.860000	-0.01232685	
9.880000	-0.01072489	
9.900000	-0.00648579	
9.920000	-0.00124680	
9.940000	0.00783139	
9.960000	0.01480621	
9.980000	0.01907624	
10.000000	0.01916803	
10.020000	0.01352251	
10.040000	0.00382000	
10.059999	-0.00571957	
10.080000	-0.01028392	
10.099999	-0.01108108	
10.120000	-0.01191290	
10.139999	-0.01252897	
10.160000	-0.01259167	
10.179999	-0.01092084	
10.200000	-0.00915737	
10.219999	-0.00576866	
10.240000	-0.00148728	
10.260000	0.00548939	
10.280000	0.01076677	
10.300000	0.01342556	
10.320000	0.01030745	
10.340000	0.00205407	
10.360000	-0.00612280	
10.380000	-0.01175676	
10.400000	-0.01218082	
10.420000	-0.01286125	
10.440000	-0.01300356	
10.460000	-0.01166870	
10.480000	-0.01019111	
10.500000	-0.00641422	
10.520000	-0.00153801	
10.540000	0.00784439	
10.559999	0.01517747	
10.580000	0.01918268	
10.599999	0.01868190	
10.620000	0.01458058	
10.639999	0.00684035	
10.660000	-0.00349864	
10.679999	-0.01050770	
10.700000	-0.01306584	
10.719999	-0.01300892	
10.740000	-0.01316279	
10.760000	-0.01337729	
10.780000	-0.01310793	
10.800000	-0.01260735	
10.820000	-0.00991143	
10.840000	-0.00573978	
10.860000	0.00098610	
10.880000	0.00630039	
10.900000	0.01075047	
10.920000	0.01264676	
10.940000	0.00914213	
10.960000	0.00080316	
10.980000	-0.00683910	
11.000000	-0.01017667	
11.020000	-0.01038808	
11.040000	-0.01129621	
11.059999	-0.01094228	
11.080000	-0.00999229	
11.099999	-0.00760099	
11.120000	-0.00607906	
11.139999	-0.00042528	
11.160000	0.00662337	
11.179999	0.01425986	
11.200000	0.01776429	
11.219999	0.01747800	
11.240000	0.01411775	
11.259999	0.00635792	
11.280000	-0.00248760	
11.300000	-0.00905631	
11.320000	-0.01153155	
11.340000	-0.01233572	
11.360000	-0.01300934	
11.380000	-0.01270367	
11.400000	-0.01208410	
11.420000	-0.00940776	
11.440000	-0.00746281	
11.460000	-0.00207469	
11.480000	0.00361086	
11.500000	0.01192901	
11.520000	0.01685801	
11.540000	0.01909915	
11.559999	0.01713666	
11.580000	0.01082452	
11.599999	0.00126578	
11.620000	-0.00689562	
11.639999	-0.01059598	
11.660000	-0.01049842	
11.679999	-0.01016946	
11.700000	-0.00975221	
11.719999	-0.00955255	
11.740000	-0.00784479	
11.759999	-0.00633667	
11.780000	-0.00149718	
11.800000	0.00462438	
11.820000	0.01326758	
11.840000	0.01863982	
11.860000	0.02004914	
11.880000	0.01517953	
11.900000	0.00621995	
11.920000	-0.00328001	
11.940000	-0.00922976	
11.960000	-0.01123227	
11.980000	-0.01240461	
12.000000	-0.01337028	
12.020000	-0.01357529	
12.040000	-0.01289879	
