Time	Knöchel re X	Knöchel re Y	Knöchel re Weg	Knöchel re v(X)	Knöchel re v(Y)	Knöchel re v(Bahn)	Knöchel re a(X)	Knöchel re a(Y)	Knöchel re a(Bahn)
1.300000	-0.83211410	-0.53647131	0.40779555	-0.20162380	0.03530332	0.20469119	0.41888130	1.01895404	-0.08735076	
1.320000	-0.83615458	-0.53577471	0.41189563	-0.19208309	0.05955048	0.20110239	0.62947595	1.42173839	0.04660914	
1.340000	-0.83999044	-0.53442919	0.41596064	-0.17842570	0.09232731	0.20089814	0.88225400	1.78610313	0.28849432	
1.360000	-0.84347141	-0.53234148	0.42001966	-0.15861659	0.13425866	0.20780908	1.15496337	2.03336096	0.59401184	
1.380000	-0.84653091	-0.52927309	0.42435274	-0.13201778	0.18100062	0.22403106	1.45991933	2.07389092	0.84060282	
1.400000	-0.84902287	-0.52524501	0.42908934	-0.09978409	0.22759379	0.24850714	1.81676781	1.79274774	0.87849563	
1.420000	-0.85075051	-0.51999551	0.43461582	-0.06181272	0.26695916	0.27402189	2.22894025	1.12003517	0.63900924	
1.440000	-0.85160416	-0.51402479	0.44064724	-0.01503502	0.28921652	0.28960705	2.72165775	0.09064758	0.27260557	
1.460000	-0.85161018	-0.50748152	0.44719052	0.04326650	0.28338358	0.28666747	3.31637979	-1.19474983	0.18582995	
1.480000	-0.85046160	-0.50131381	0.45346427	0.11450569	0.24439223	0.26988724	3.93700767	-2.54553628	0.69221067	
1.500000	-0.84772038	-0.49626842	0.45920622	0.20094183	0.17427658	0.26598862	4.39998817	-3.67920852	1.66746247	
1.520000	-0.84296846	-0.49336392	0.46477550	0.30105972	0.07957813	0.31139949	4.47385836	-4.32752323	2.70030594	
1.540000	-0.83599997	-0.49278715	0.47176784	0.40397304	-0.02536201	0.40476838	3.92155719	-4.35864878	3.27753496	
1.560000	-0.82661659	-0.49464509	0.48133340	0.49129382	-0.12237176	0.50630474	2.59529471	-3.77403212	2.85357738	
1.580000	-0.81518936	-0.49855655	0.49341151	0.54089355	-0.19551234	0.57514423	0.56717050	-2.70335650	1.22986186	
1.600000	-0.80273545	-0.50384605	0.50694215	0.53420818	-0.23773453	0.58471882	-1.84425664	-1.41156876	-1.14227414	
1.620000	-0.79093134	-0.50950813	0.52003396	0.46474072	-0.24769521	0.52662784	-4.14586878	-0.20870981	-3.35648131	
