Time	Paced_right_y_velocity X
5.300000	-0.00514407	
5.320000	-0.00501337	
5.340000	-0.00282147	
5.360000	0.00618435	
5.380000	0.01874739	
5.400000	0.03924679	
5.420000	0.06197757	
5.440000	0.09847590	
5.460000	0.13723075	
5.480000	0.17040248	
5.500000	0.18440764	
5.520000	0.18207790	
5.540000	0.16354676	
5.560000	0.13381436	
5.580000	0.10644361	
5.600000	0.08588300	
5.620000	0.07551980	
5.640000	0.05980169	
5.660000	0.04299133	
5.680000	0.02440760	
5.700000	0.01257887	
5.720000	0.00885029	
5.740000	0.01548044	
5.760000	0.02441294	
5.780000	0.03168538	
5.800000	0.02392430	
5.820000	-0.00884582	
5.840000	-0.08072819	
5.860000	-0.18774003	
5.880000	-0.28966469	
5.900000	-0.34252578	
5.920000	-0.32990423	
5.940000	-0.26002789	
5.960000	-0.15716957	
5.980000	-0.06120134	
6.000000	-0.00384835	
6.020000	0.00957300	
6.040000	0.00838264	
6.060000	0.01999201	
6.080000	0.05824700	
6.100000	0.10940211	
6.120000	0.16302931	
6.140000	0.20508522	
6.160000	0.23219249	
6.180000	0.23014916	
6.200000	0.19459450	
6.220000	0.13905995	
6.240000	0.05660862	
6.260000	-0.03720036	
6.280000	-0.13044707	
6.300000	-0.20221053	
6.320000	-0.25195390	
6.340000	-0.25971740	
6.360000	-0.22395456	
6.380000	-0.16522600	
6.400000	-0.10337602	
6.420000	-0.05067821	
6.440000	-0.00880534	
6.460000	0.00695573	
6.480000	0.00611040	
6.500000	0.00123288	
6.520000	0.00598635	
6.540000	0.01888932	
6.560000	0.04174608	
6.580000	0.06595623	
6.600000	0.10005163	
6.620000	0.13426587	
6.640000	0.16830738	
6.660000	0.19147059	
6.680000	0.20645811	
6.700000	0.20697369	
6.720000	0.18859357	
6.740000	0.15836507	
6.760000	0.12093145	
6.780000	0.08913127	
6.800000	0.06088240	
6.820000	0.04548491	
6.840000	0.02500768	
6.860000	0.00363228	
6.880000	-0.03251314	
6.900000	-0.07499813	
6.920000	-0.13079172	
6.940000	-0.18812311	
6.960000	-0.24529624	
6.980000	-0.28320986	
7.000000	-0.28450876	
7.020000	-0.24744938	
7.040000	-0.18286388	
7.060000	-0.11228915	
7.080000	-0.04639251	
7.100000	-0.00938686	
7.120000	-0.00005613	
7.140000	-0.00659736	
7.160000	-0.00664691	
7.180000	-0.00171829	
7.200000	0.00606912	
7.220000	0.01286206	
7.240000	0.01863594	
7.260000	0.01938516	
7.280000	0.03123797	
7.300000	0.06642289	
7.320000	0.13401826	
7.340000	0.20827544	
7.360000	0.26848567	
7.380000	0.29461285	
7.400000	0.27438962	
7.420000	0.21359944	
7.440000	0.13359798	
7.460000	0.06682578	
