Time	Knee_Ankle_Angle_right X
4.960000	76.89217377	
4.980000	77.14716339	
5.000000	77.39607239	
5.020000	77.58998871	
5.040000	77.71696472	
5.060000	77.82897949	
5.080000	77.96720123	
5.100000	78.09523773	
5.120000	78.16865540	
5.140000	78.15541840	
5.160000	78.09410858	
5.180000	77.97763062	
5.200000	77.82551575	
5.220000	77.60670471	
5.240000	77.34970856	
5.260000	77.01520538	
5.280000	76.60929108	
5.300000	76.07592773	
5.320000	75.44722748	
5.340000	74.67767334	
5.360000	73.79314423	
5.380000	72.74120331	
5.400000	71.56322479	
5.420000	70.21965790	
5.440000	68.78877258	
5.460000	67.33705902	
5.480000	66.03648376	
5.500000	65.06321716	
5.520000	64.58632660	
5.540000	64.71770477	
5.560000	65.44330597	
5.580000	66.70626831	
5.600000	68.29483795	
5.620000	69.91452026	
5.640000	71.24418640	
5.660000	72.20159149	
5.680000	72.81930542	
5.700000	73.22155762	
5.720000	73.51679993	
5.740000	73.85138702	
5.760000	74.25994110	
5.780000	74.66529083	
5.800000	74.98677063	
5.820000	75.26091003	
5.840000	75.53026581	
5.860000	75.78826904	
5.880000	75.99234772	
5.900000	76.11983490	
5.920000	76.16228485	
5.940000	76.13264465	
5.960000	76.01999664	
5.980000	75.83539581	
6.000000	75.58917236	
6.020000	75.28584290	
6.040000	74.92446136	
6.060000	74.45276642	
6.080000	73.86669922	
6.100000	73.10489655	
6.120000	72.17208099	
6.140000	71.00134277	
6.160000	69.64276123	
6.180000	68.10492706	
6.200000	66.52440643	
6.220000	64.99584961	
6.240000	63.72977066	
6.260000	62.89300537	
6.280000	62.65141296	
6.300000	63.06990433	
6.320000	64.12908173	
6.340000	65.70600891	
6.360000	67.63077545	
6.380000	69.69212341	
6.400000	71.60488892	
6.420000	73.11325073	
6.440000	74.11718750	
6.460000	74.72586823	
6.480000	75.07286072	
6.500000	75.30530548	
6.520000	75.53678894	
6.540000	75.84129333	
6.560000	76.13240814	
6.580000	76.35412598	
6.600000	76.50759888	
6.620000	76.68863678	
6.640000	76.89246368	
6.660000	77.08946228	
6.680000	77.23515320	
6.700000	77.32242584	
6.720000	77.33724976	
6.740000	77.26556396	
6.760000	77.12348175	
6.780000	76.91501617	
6.800000	76.66673279	
6.820000	76.36234283	
6.840000	76.01862335	
6.860000	75.58784485	
6.880000	75.09050751	
6.900000	74.44421387	
6.920000	73.64181519	
6.940000	72.60075378	
6.960000	71.35776520	
6.980000	69.86259460	
7.000000	68.21943665	
7.020000	66.51393127	
7.040000	64.96851349	
7.060000	63.75608826	
7.080000	63.11423492	
7.100000	63.15663528	
7.120000	63.94423676	
7.140000	65.38020325	
7.160000	67.32671356	
7.180000	69.54355621	
7.200000	71.68730164	
7.220000	73.42912292	
7.240000	74.61976624	
7.260000	75.33124542	
7.280000	75.68382263	
7.300000	75.83794403	
7.320000	75.95502472	
7.340000	76.14552307	
7.360000	76.34206390	
7.380000	76.47263336	
7.400000	76.55797577	
7.420000	76.65333557	
7.440000	76.75735474	
7.460000	76.85266876	
7.480000	76.91734314	
7.500000	76.95751953	
7.520000	76.94460297	
7.540000	76.88460541	
7.560000	76.75460815	
7.580000	76.58397675	
7.600000	76.36856079	
7.620000	76.12113953	
7.640000	75.82471466	
7.660000	75.47277832	
7.680000	75.08245850	
7.700000	74.62044525	
7.720000	74.08325958	
7.740000	73.40364838	
7.760000	72.58903503	
7.780000	71.56414032	
7.800000	70.36959839	
7.820000	68.99385834	
7.840000	67.57202911	
7.860000	66.19438171	
7.880000	65.09742737	
7.900000	64.47575378	
7.920000	64.50000763	
7.940000	65.20898438	
7.960000	66.54618835	
7.980000	68.34858704	
8.000000	70.31558228	
8.020000	72.13482666	
8.040000	73.54125977	
8.059999	74.50547791	
8.080000	75.05883026	
8.099999	75.34447479	
8.120000	75.48241425	
8.139999	75.60227203	
8.160000	75.74358368	
8.179999	75.85427856	
8.200000	75.90081024	
8.220000	75.90410614	
8.240000	75.91492462	
8.260000	75.92477417	
8.280000	75.93062592	
8.300000	75.90843201	
8.320000	75.88501740	
8.340000	75.83479309	
8.360000	75.75044250	
8.380000	75.61064911	
8.400000	75.43466949	
8.420000	75.19290924	
8.440000	74.90915680	
8.460000	74.54475403	
8.480000	74.10170746	
8.500000	73.49390411	
8.520000	72.69988251	
8.540000	71.62628937	
8.559999	70.27155304	
8.580000	68.63016510	
8.599999	66.86184692	
8.620000	65.10946655	
8.639999	63.63247299	
8.660000	62.63086319	
8.679999	62.26588440	
8.700000	62.56638336	
8.720000	63.49045563	
8.740000	64.94345093	
8.760000	66.76258087	
8.780000	68.82258606	
8.800000	70.99385071	
8.820000	73.11525726	
8.840000	74.92052460	
8.860000	76.26900482	
8.880000	77.14429474	
8.900000	77.64288330	
8.920000	77.84288788	
8.940000	77.88176727	
8.960000	77.89987183	
8.980000	77.94341278	
9.000000	77.98098755	
9.020000	77.99132538	
9.040000	78.04430389	
9.059999	78.15764618	
9.080000	78.29745483	
9.099999	78.41670227	
9.120000	78.52181244	
