Time	Knee_Angle_right X
8.480000	159.38981628	
8.500000	158.51148987	
8.520000	157.17991638	
8.540000	155.23251343	
8.559999	152.60247803	
8.580000	149.30595398	
8.599999	145.57359314	
8.620000	141.67839050	
8.639999	138.06643677	
8.660000	135.10426331	
8.679999	133.08935547	
8.700000	132.09019470	
8.720000	132.10054016	
8.740000	132.95361328	
8.760000	134.43711853	
8.780000	136.36830139	
8.800000	138.61842346	
8.820000	141.00015259	
8.840000	143.20178223	
8.860000	145.07106018	
8.880000	146.57298279	
8.900000	147.81414795	
8.920000	148.80960083	
8.940000	149.68614197	
8.960000	150.53913879	
8.980000	151.43588257	
9.000000	152.28279114	
9.020000	153.06399536	
9.040000	153.85069275	
9.059999	154.75711060	
9.080000	155.68066406	
9.099999	156.62521362	
9.120000	157.54833984	
9.139999	158.50395203	
9.160000	159.31330872	
9.179999	159.96775818	
9.200000	160.39581299	
9.220000	160.68945313	
9.240000	160.79536438	
9.260000	160.81645203	
9.280000	160.75001526	
9.300000	160.61265564	
9.320000	160.35408020	
9.340000	159.89929199	
9.360000	159.16998291	
9.380000	158.04174805	
9.400000	156.45518494	
9.420000	154.27038574	
9.440000	151.53746033	
9.460000	148.23689270	
9.480000	144.62121582	
9.500000	140.83493042	
9.520000	137.29577637	
9.540000	134.28317261	
9.559999	132.14932251	
9.580000	130.98724365	
9.599999	130.86734009	
9.620000	131.66490173	
9.639999	133.22406006	
9.660000	135.30355835	
9.679999	137.67959595	
9.700000	140.11372375	
9.719999	142.31349182	
9.740000	144.11494446	
9.760000	145.48239136	
9.780000	146.56106567	
9.800000	147.46017456	
9.820000	148.30599976	
9.840000	149.13626099	
9.860000	149.97801208	
9.880000	150.75939941	
9.900000	151.46220398	
9.920000	152.14979553	
9.940000	152.90234375	
9.960000	153.69923401	
9.980000	154.49015808	
10.000000	155.22926331	
10.020000	155.97921753	
10.040000	156.67660522	
10.059999	157.33502197	
10.080000	157.89384460	
10.099999	158.46238708	
10.120000	158.99594116	
10.139999	159.56513977	
10.160000	160.09764099	
10.179999	160.61228943	
10.200000	161.03507996	
10.219999	161.33201599	
10.240000	161.44056702	
10.260000	161.30386353	
10.280000	160.91508484	
10.300000	160.18811035	
10.320000	159.08020020	
10.340000	157.48088074	
10.360000	155.44198608	
10.380000	152.93614197	
10.400000	150.11705017	
10.420000	147.07482910	
10.440000	144.06170654	
10.460000	141.23779297	
10.480000	138.90370178	
10.500000	137.18006897	
10.520000	136.18722534	
10.540000	135.85905457	
10.559999	136.15542603	
10.580000	136.91047668	
10.599999	137.97476196	
10.620000	139.22273254	
10.639999	140.60563660	
10.660000	142.04644775	
10.679999	143.40307617	
10.700000	144.58180237	
10.719999	145.56327820	
10.740000	146.44738770	
10.760000	147.27526855	
10.780000	148.09973145	
10.800000	148.86497498	
10.820000	149.55615234	
10.840000	150.11087036	
10.860000	150.59043884	
10.880000	151.03160095	
10.900000	151.57974243	
10.920000	152.29350281	
10.940000	153.18583679	
10.960000	154.18205261	
10.980000	155.29817200	
11.000000	156.52517700	
11.020000	157.83253479	
11.040000	159.09959412	
11.059999	160.26963806	
11.080000	161.30584717	
11.099999	162.20515442	
11.120000	162.95059204	
11.139999	163.52024841	
11.160000	163.91964722	
11.179999	164.11434937	
11.200000	164.10578918	
11.219999	163.83493042	
11.240000	163.36021423	
11.259999	162.63478088	
11.280000	161.68278503	
11.300000	160.42787170	
11.320000	158.94970703	
11.340000	157.20811462	
11.360000	155.28073120	
11.380000	153.12402344	
11.400000	150.79412842	
