Time	Right_Hand_y_baseline X
4.760000	-0.00355196	
4.780000	-0.00571269	
4.800000	-0.00611252	
4.820000	-0.00674427	
4.840000	-0.00672323	
4.860000	-0.00617987	
4.880000	-0.00528479	
4.900000	-0.00165296	
4.920000	0.00289267	
4.940000	0.00949579	
4.960000	0.01282167	
4.980000	0.01215136	
5.000000	0.00554138	
5.020000	-0.00103313	
5.040000	-0.00503880	
5.060000	-0.00556320	
5.080000	-0.00593227	
5.100000	-0.00429475	
5.120000	-0.00146157	
5.140000	0.00338054	
5.160000	0.00625420	
5.180000	0.01032245	
5.200000	0.01245511	
5.220000	0.01245511	
5.240000	0.00690949	
5.260000	0.00022960	
5.280000	-0.00439751	
5.300000	-0.00546890	
5.320000	-0.00539464	
5.340000	-0.00403947	
5.360000	-0.00219995	
5.380000	0.00160795	
5.400000	0.00395828	
5.420000	0.00587356	
5.440000	0.00576550	
5.460000	0.00399345	
5.480000	0.00034589	
5.500000	-0.00348920	
5.520000	-0.00526845	
5.540000	-0.00537574	
5.560000	-0.00524050	
5.580000	-0.00504524	
5.600000	-0.00485009	
5.620000	-0.00275397	
5.640000	-0.00022250	
5.660000	0.00400949	
5.680000	0.00634307	
5.700000	0.00607914	
5.720000	0.00180191	
5.740000	-0.00243235	
5.760000	-0.00470006	
5.780000	-0.00503504	
5.800000	-0.00529283	
5.820000	-0.00567192	
5.840000	-0.00570232	
5.860000	-0.00443882	
5.880000	-0.00246871	
5.900000	0.00273520	
5.920000	0.00734717	
5.940000	0.01184797	
5.960000	0.01289654	
5.980000	0.00847000	
6.000000	0.00273275	
6.020000	-0.00343949	
6.040000	-0.00499445	
6.060000	-0.00540054	
6.080000	-0.00512159	
6.100000	-0.00231564	
6.120000	0.00128895	
6.140000	0.00639826	
6.160000	0.00873768	
6.180000	0.01028705	
6.200000	0.01019412	
6.220000	0.00897938	
6.240000	0.00480473	
6.260000	-0.00049067	
6.280000	-0.00425279	
6.300000	-0.00537574	
6.320000	-0.00524050	
6.340000	-0.00406605	
6.360000	-0.00275850	
6.380000	0.00035620	
6.400000	0.00322986	
6.420000	0.00836957	
6.440000	0.01168615	
6.460000	0.01339060	
6.480000	0.01054341	
6.500000	0.00386614	
6.520000	-0.00189739	
6.540000	-0.00535357	
6.560000	-0.00500780	
6.580000	-0.00464708	
6.600000	-0.00428617	
6.620000	-0.00153881	
6.640000	0.00111824	
6.660000	0.00630939	
6.680000	0.00963593	
6.700000	0.01437813	
6.720000	0.01622903	
6.740000	0.01508695	
6.760000	0.00889105	
6.780000	0.00134450	
6.800000	-0.00372535	
6.820000	-0.00540012	
6.840000	-0.00530022	
6.860000	-0.00392258	
6.880000	-0.00191587	
6.900000	0.00168121	
6.920000	0.00403863	
6.940000	0.00698692	
6.960000	0.00827855	
6.980000	0.00836736	
7.000000	0.00584203	
7.020000	0.00083697	
7.040000	-0.00305712	
