Time	Step_Length_1 X
15.940000	-0.11771011	
15.960000	-0.11651278	
15.980000	-0.11501652	
16.000000	-0.11413771	
16.020000	-0.11151543	
16.039999	-0.10859886	
16.059999	-0.10381362	
16.080000	-0.09870374	
16.100000	-0.09200853	
16.119999	-0.08442524	
16.139999	-0.07555315	
16.160000	-0.06674844	
16.180000	-0.05638289	
16.199999	-0.04518184	
16.219999	-0.03132910	
16.240000	-0.01696724	
16.260000	0.00043246	
16.279999	0.01678342	
16.299999	0.03460005	
16.320000	0.05285147	
16.340000	0.07606038	
16.359999	0.10144806	
16.379999	0.12722686	
16.400000	0.14940116	
16.420000	0.16649804	
16.440001	0.17706352	
16.459999	0.18238080	
16.480000	0.18216050	
16.500000	0.18165639	
16.520000	0.17991579	
16.539999	0.18228206	
16.559999	0.18300527	
16.580000	0.18476000	
16.600000	0.18416676	
16.619999	0.18350428	
16.639999	0.18174911	
16.660000	0.17969158	
16.680000	0.17681625	
16.699999	0.17304173	
16.719999	0.16819787	
16.740000	0.16196245	
16.760000	0.15465605	
16.779999	0.14438727	
16.799999	0.13151613	
16.820000	0.11415163	
16.840000	0.09378329	
16.859999	0.07020533	
16.879999	0.04442155	
16.900000	0.01634702	
16.920000	-0.01107258	
16.940001	-0.03574809	
16.959999	-0.05808309	
16.980000	-0.07895240	
17.000000	-0.09691036	
17.020000	-0.10860953	
17.039999	-0.11375839	
17.059999	-0.11411896	
17.080000	-0.11359033	
17.100000	-0.11289430	
17.119999	-0.11323044	
17.139999	-0.11256114	
17.160000	-0.11251301	
17.180000	-0.11110079	
17.199999	-0.10975015	
17.219999	-0.10635301	
17.240000	-0.10329735	
17.260000	-0.09820208	
17.279999	-0.09291491	
17.299999	-0.08600995	
17.320000	-0.07857946	
17.340000	-0.07028592	
17.359999	-0.06220487	
17.379999	-0.05295172	
17.400000	-0.04277968	
17.420000	-0.02965620	
17.440001	-0.01579416	
17.459999	0.00023219	
17.480000	0.01590621	
17.500000	0.03148440	
17.520000	0.04536864	
17.539999	0.05812827	
17.559999	0.06882787	
17.580000	0.07819191	
17.600000	0.08503526	
17.619999	0.09080032	
17.639999	0.09450051	
17.660000	0.09789464	
17.680000	0.09918323	
17.699999	0.09992102	
17.719999	0.09938902	
17.740000	0.09907809	
17.760000	0.09738418	
17.779999	0.09459820	
17.799999	0.09130383	
17.820000	0.08779532	
17.840000	0.08436415	
17.859999	0.07993701	
17.879999	0.07513276	
17.900000	0.07006547	
17.920000	0.06471673	
17.940001	0.05923253	
17.959999	0.05257320	
17.980000	0.04431021	
18.000000	0.03365108	
18.020000	0.02005044	
18.039999	0.00420812	
18.059999	-0.01450327	
18.080000	-0.03445840	
18.100000	-0.05522144	
18.119999	-0.07409281	
18.139999	-0.09118322	
18.160000	-0.10318992	
18.180000	-0.11072019	
18.199999	-0.11215022	
18.219999	-0.11239237	
18.240000	-0.11207312	
18.260000	-0.11210507	
18.279999	-0.11122882	
18.299999	-0.11002913	
18.320000	-0.10889220	
18.340000	-0.10735685	
18.359999	-0.10506538	
18.379999	-0.10214469	
18.400000	-0.09809604	
18.420000	-0.09268779	
18.440001	-0.08561751	
18.459999	-0.07747355	
18.480000	-0.06858060	
18.500000	-0.05843407	
18.520000	-0.04631877	
18.539999	-0.03136426	
18.559999	-0.01422018	
18.580000	0.00438106	
18.600000	0.02324226	
18.619999	0.04122537	
18.639999	0.05687949	
18.660000	0.07105565	
18.680000	0.08259264	
18.699999	0.09315103	
18.719999	0.10080352	
18.740000	0.10754159	
18.760000	0.11215091	
18.779999	0.11597103	
18.799999	0.11824489	
18.820000	0.11956266	
18.840000	0.11965871	
18.859999	0.11936238	
18.879999	0.11780919	
18.900000	0.11588375	
18.920000	0.11232756	
18.939999	0.10831252	
18.959999	0.10274704	
18.980000	0.09591801	
19.000000	0.08710173	
19.020000	0.07509038	
19.039999	0.05990508	
19.059999	0.04190785	
19.080000	0.02104318	
19.100000	-0.00185114	
19.119999	-0.02493298	
19.139999	-0.05076674	
19.160000	-0.07563972	
19.180000	-0.10172448	
19.199999	-0.12107071	
19.219999	-0.13530195	
19.240000	-0.14154875	
19.260000	-0.14381337	
19.279999	-0.14291975	
19.299999	-0.14238170	
19.320000	-0.14112487	
19.340000	-0.13946635	
19.359999	-0.13696119	
19.379999	-0.13249862	
