Time	Right_Heel_y_baseline X
10.780000	0.01964375	
10.800000	0.02209179	
10.820000	0.02411942	
10.840000	0.02384634	
10.860000	0.02069598	
10.880000	0.01625711	
10.900000	0.00824501	
10.920000	0.00066358	
10.940000	-0.00887439	
10.960000	-0.01483873	
10.980000	-0.01819250	
11.000000	-0.01803963	
11.020000	-0.01500003	
11.040000	-0.01150858	
11.059999	-0.00541522	
11.080000	-0.00139098	
11.099999	0.00590526	
11.120000	0.01070084	
11.139999	0.01570129	
11.160000	0.01688339	
11.179999	0.01665984	
11.200000	0.01424919	
11.219999	0.00820391	
11.240000	0.00005044	
11.259999	-0.00969897	
11.280000	-0.01577446	
11.300000	-0.01842715	
11.320000	-0.01838811	
11.340000	-0.01575042	
11.360000	-0.01309054	
11.380000	-0.00903240	
11.400000	-0.00712436	
11.420000	-0.00143617	
11.440000	0.00413303	
11.460000	0.01219937	
11.480000	0.01656942	
11.500000	0.02105825	
11.520000	0.02256171	
11.540000	0.02330963	
11.559999	0.02253848	
11.580000	0.01746777	
11.599999	0.01035482	
11.620000	-0.00067736	
11.639999	-0.00838618	
11.660000	-0.01462586	
11.679999	-0.01675664	
11.700000	-0.01627973	
11.719999	-0.01464742	
11.740000	-0.01071319	
11.759999	-0.00804016	
11.780000	-0.00183830	
11.800000	0.00266860	
11.820000	0.01030284	
11.840000	0.01463960	
11.860000	0.01888965	
11.880000	0.01964149	
11.900000	0.01703934	
11.920000	0.01018715	
11.940000	-0.00015914	
11.960000	-0.00909323	
11.980000	-0.01496284	
12.000000	-0.01733752	
12.020000	-0.01534276	
12.040000	-0.01228364	
12.059999	-0.00691067	
12.080000	-0.00204295	
12.099999	0.00582285	
12.120000	0.01254046	
12.139999	0.02064011	
12.160000	0.02554213	
12.179999	0.03107353	
12.200000	0.03306869	
12.219999	0.03336787	
12.240000	0.03133613	
12.259999	0.02568328	
12.280000	0.01896240	
12.300000	0.00902416	
12.320000	-0.00011210	
12.340000	-0.00893173	
12.360000	-0.01423812	
12.380000	-0.01704143	
12.400000	-0.01759641	
12.420000	-0.01474524	
12.440000	-0.01139742	
12.460000	-0.00740729	
12.480000	-0.00604890	
12.500000	-0.00197946	
12.520000	0.00184731	
12.540000	0.00585717	
12.559999	0.00697434	
12.580000	0.00544478	
12.599999	0.00286484	
12.620000	-0.00347388	
12.639999	-0.00817229	
12.660000	-0.01432340	
12.679999	-0.01666521	
12.700000	-0.01845057	
12.719999	-0.01841749	
12.740000	-0.01694301	
12.759999	-0.01541775	
12.780000	-0.01151660	
12.799999	-0.00873776	
12.820000	-0.00249253	
12.840000	0.00160341	
12.860000	0.00749850	
12.880000	0.00989929	
12.900000	0.01171733	
12.920000	0.01132713	
12.940000	0.00705735	
12.960000	0.00106980	
12.980000	-0.00836132	
13.000000	-0.01407026	
13.020000	-0.01809695	
13.040000	-0.01859769	
13.059999	-0.01721115	
13.080000	-0.01525626	
13.099999	-0.01130947	
13.120000	-0.00861159	
13.139999	-0.00291951	
13.160000	0.00137720	
13.179999	0.00886039	
13.200000	0.01318298	
13.219999	0.01831658	
13.240000	0.01981080	
13.259999	0.02155653	
13.280000	0.02166173	
13.299999	0.01825926	
13.320000	0.01143563	
13.340000	0.00137720	
13.360000	-0.00800626	
13.380000	-0.01468113	
13.400000	-0.01793155	
13.420000	-0.01724978	
13.440000	-0.01591049	
13.460000	-0.01222056	
13.480000	-0.00863665	
13.500000	-0.00221288	
13.520000	0.00268422	
13.540000	0.00955409	
13.559999	0.01334429	
13.580000	0.01623820	
13.599999	0.01620039	
13.620000	0.01418796	
13.639999	0.01035914	
13.660000	0.00265668	
13.679999	-0.00474352	
13.700000	-0.01261261	
13.719999	-0.01664239	
13.740000	-0.01809777	
13.759999	-0.01719101	
13.780000	-0.01308109	
13.799999	-0.00875686	
13.820000	-0.00123049	
13.840000	0.00523293	
13.860000	0.01512823	
13.880000	0.02221589	
13.900000	0.02859960	
13.920000	0.03043532	
13.940000	0.03031039	
13.960000	0.02622554	
