Time	Paced_left_y_velocity X
10.740000	0.04589276	
10.760000	0.10433540	
10.780000	0.17917068	
10.800000	0.25996158	
10.820000	0.33044839	
10.840000	0.37769750	
10.860000	0.38125625	
10.880000	0.34567553	
10.900000	0.28885621	
10.920000	0.22586557	
10.940000	0.16261041	
10.960000	0.09817800	
10.980000	0.04146495	
11.000000	-0.02114288	
11.020000	-0.10096588	
11.040000	-0.21187481	
11.059999	-0.34812507	
11.080000	-0.47020018	
11.099999	-0.52509248	
11.120000	-0.48764411	
11.139999	-0.37889621	
11.160000	-0.23447956	
11.179999	-0.09980185	
11.200000	-0.01352950	
11.219999	0.01184381	
11.240000	0.00136172	
11.259999	-0.00629555	
11.280000	-0.00546742	
11.300000	0.00098304	
11.320000	0.00546550	
11.340000	0.00700541	
11.360000	0.01484999	
11.380000	0.02547371	
11.400000	0.05062798	
11.420000	0.08530924	
11.440000	0.13094974	
11.460000	0.17679910	
11.480000	0.22451508	
11.500000	0.25556520	
11.520000	0.26389766	
11.540000	0.25026613	
11.559999	0.22048762	
11.580000	0.18085575	
11.599999	0.12977217	
11.620000	0.08713395	
11.639999	0.04808385	
11.660000	0.00888146	
11.679999	-0.05443355	
11.700000	-0.14927164	
11.719999	-0.27506390	
11.740000	-0.38143876	
11.759999	-0.42378154	
11.780000	-0.38762337	
11.800000	-0.29099256	
11.820000	-0.16623710	
11.840000	-0.05436059	
11.860000	0.00559458	
11.880000	0.01760702	
11.900000	0.01311792	
11.920000	0.01846539	
11.940000	0.03850173	
11.960000	0.08238973	
11.980000	0.14506976	
12.000000	0.22231320	
12.020000	0.28711426	
12.040000	0.31994772	
12.059999	0.30657947	
12.080000	0.24849726	
12.099999	0.16787244	
12.120000	0.06770998	
12.139999	-0.05570530	
12.160000	-0.20575640	
12.179999	-0.33353665	
12.200000	-0.39824024	
12.219999	-0.38130078	
12.240000	-0.30078542	
12.259999	-0.17997952	
12.280000	-0.05862916	
12.300000	0.00892343	
12.320000	0.03487926	
12.340000	0.06555074	
12.360000	0.13468987	
12.380000	0.21555482	
12.400000	0.29133493	
12.420000	0.33934873	
12.440000	0.34289148	
12.460000	0.29770744	
12.480000	0.21887450	
12.500000	0.13235846	
12.520000	0.02793526	
12.540000	-0.09740786	
12.559999	-0.24629785	
12.580000	-0.36970249	
12.599999	-0.43072742	
12.620000	-0.40826547	
12.639999	-0.32194555	
12.660000	-0.19938378	
12.679999	-0.08006620	
12.700000	-0.01145737	
12.719999	0.00794381	
12.740000	0.00289151	
12.759999	0.00356572	
12.780000	0.00522391	
12.799999	0.01226409	
12.820000	0.02139322	
12.840000	0.04326240	
12.860000	0.07808932	
12.880000	0.12352921	
12.900000	0.17487225	
12.920000	0.23396763	
12.940000	0.28119275	
12.960000	0.30304205	
12.980000	0.29748517	
13.000000	0.25793141	
13.020000	0.19132419	
13.040000	0.09917731	
13.059999	0.00992696	
13.080000	-0.08217422	
13.099999	-0.18836960	
13.120000	-0.30274963	
13.139999	-0.38185290	
13.160000	-0.39912808	
13.179999	-0.35293305	
13.200000	-0.25994357	
13.219999	-0.14889123	
13.240000	-0.05036826	
13.259999	-0.00193516	
13.280000	0.00360894	
13.299999	-0.00280390	
13.320000	-0.00230403	
13.340000	0.00091183	
13.360000	0.00566393	
13.380000	0.01200549	
13.400000	0.02533395	
13.420000	0.03709966	
13.440000	0.06555726	
13.460000	0.11578707	
13.480000	0.18612976	
13.500000	0.25834802	
13.520000	0.32283521	
13.540000	0.35639042	
