Time	Right_Forefoot_y_baseline X
11.500000	-0.00429982	
11.520000	-0.00333866	
11.540000	-0.00125283	
11.559999	0.00024912	
11.580000	0.00453445	
11.599999	0.00773861	
11.620000	0.01092109	
11.639999	0.01094337	
11.660000	0.00665474	
11.679999	0.00158337	
11.700000	-0.00356865	
11.719999	-0.00430085	
11.740000	-0.00447966	
11.759999	-0.00437139	
11.780000	-0.00409438	
11.800000	-0.00362681	
11.820000	-0.00236598	
11.840000	-0.00138193	
11.860000	0.00193317	
11.880000	0.00542155	
11.900000	0.00925787	
11.920000	0.01057252	
11.940000	0.00613828	
11.960000	0.00129627	
11.980000	-0.00378603	
12.000000	-0.00408635	
12.020000	-0.00440685	
12.040000	-0.00448689	
12.059999	-0.00384605	
12.080000	-0.00319594	
12.099999	-0.00131346	
12.120000	-0.00011204	
12.139999	0.00450908	
12.160000	0.00794196	
12.179999	0.01209262	
12.200000	0.01289412	
12.219999	0.01067689	
12.240000	0.00479186	
12.259999	-0.00121529	
12.280000	-0.00424866	
12.300000	-0.00481628	
12.320000	-0.00526117	
12.340000	-0.00544658	
12.360000	-0.00518692	
12.380000	-0.00317511	
12.400000	-0.00042163	
12.420000	0.00508535	
12.440000	0.00885856	
12.460000	0.01177891	
12.480000	0.00943586	
12.500000	0.00372490	
12.520000	-0.00191160	
12.540000	-0.00503881	
12.559999	-0.00481607	
12.580000	-0.00500706	
12.599999	-0.00519846	
12.620000	-0.00453103	
12.639999	-0.00345913	
12.660000	-0.00108473	
12.679999	0.00231948	
12.700000	0.00796507	
12.719999	0.01230878	
12.740000	0.01431912	
12.759999	0.01187131	
12.780000	0.00555809	
12.799999	-0.00019680	
12.820000	-0.00431301	
12.840000	-0.00444315	
12.860000	-0.00496148	
12.880000	-0.00511554	
12.900000	-0.00496250	
12.920000	-0.00447471	
12.940000	-0.00224119	
12.960000	-0.00026137	
12.980000	0.00419681	
13.000000	0.00690883	
13.020000	0.00910173	
13.040000	0.00842625	
13.059999	0.00385216	
13.080000	-0.00037584	
13.099999	-0.00456361	
13.120000	-0.00485277	
13.139999	-0.00514731	
13.160000	-0.00519599	
13.179999	-0.00389226	
13.200000	-0.00246848	
13.219999	0.00087777	
13.240000	0.00451362	
13.259999	0.00988983	
13.280000	0.01338623	
13.299999	0.01409657	
13.320000	0.00985518	
13.340000	0.00309253	
13.360000	-0.00233194	
13.380000	-0.00485340	
13.400000	-0.00489052	
13.420000	-0.00471067	
13.440000	-0.00433694	
13.460000	-0.00362928	
13.480000	-0.00312190	
13.500000	-0.00116724	
13.520000	0.00220729	
13.540000	0.00837509	
13.559999	0.01326950	
13.580000	0.01738571	
13.599999	0.01849845	
13.620000	0.01495996	
13.639999	0.00700536	
13.660000	-0.00059529	
13.679999	-0.00390607	
13.700000	-0.00355214	
13.719999	-0.00355214	
13.740000	-0.00288470	
13.759999	-0.00240414	
13.780000	-0.00092220	
13.799999	0.00026417	
13.820000	0.00398333	
13.840000	0.00720172	
13.860000	0.01186863	
13.880000	0.01400872	
13.900000	0.01421125	
13.920000	0.00992510	
13.940000	0.00334498	
13.960000	-0.00155766	
13.980000	-0.00381801	
14.000000	-0.00379057	
14.020000	-0.00400342	
14.040000	-0.00400342	
14.059999	-0.00269371	
14.080000	-0.00124973	
14.099999	0.00283244	
14.120000	0.00745356	
14.139999	0.01330353	
14.160000	0.01651552	
14.179999	0.01668507	
14.200000	0.01402026	
14.219999	0.00603288	
14.240000	-0.00070873	
14.259999	-0.00621818	
14.280000	-0.00640525	
14.299999	-0.00657211	
14.320000	-0.00650075	
14.340000	-0.00631367	
14.360000	-0.00611794	
14.380000	-0.00369178	
14.400000	-0.00138111	
14.420000	0.00362198	
14.440000	0.00697897	
14.460000	0.01123357	
14.480000	0.01271592	
14.500000	0.01093760	
14.520000	0.00511773	
14.540000	-0.00081226	
14.559999	-0.00400858	
14.580000	-0.00436911	
14.599999	-0.00461930	
14.620000	-0.00492744	
14.639999	-0.00492744	
14.660000	-0.00323287	
14.679999	-0.00135060	
14.700000	0.00351246	
14.719999	0.00675559	
14.740000	0.01037988	
14.759999	0.01102380	
14.780000	0.00916176	
14.799999	0.00374573	
14.820000	-0.00200297	
14.839999	-0.00531954	
14.860000	-0.00606678	
14.880000	-0.00648116	
14.900000	-0.00674000	
14.920000	-0.00658448	
14.940000	-0.00579804	
14.960000	-0.00506645	
14.980000	-0.00245178	
15.000000	0.00083838	
15.020000	0.00692308	
15.040000	0.01129895	
15.059999	0.01503524	
15.080000	0.01565421	
15.099999	0.01040608	
15.120000	0.00360940	
15.139999	-0.00328174	
15.160000	-0.00452340	
15.179999	-0.00488393	
15.200000	-0.00480720	
15.219999	-0.00423525	
15.240000	-0.00347418	
15.259999	-0.00140649	
15.280000	0.00047930	
15.299999	0.00472441	
15.320000	0.00754307	
15.339999	0.01036792	
15.360000	0.01064388	
15.380000	0.00923477	
15.400000	0.00390889	
15.420000	-0.00125365	
15.440000	-0.00492786	
15.460000	-0.00554001	
15.480000	-0.00631635	
15.500000	-0.00651972	
15.520000	-0.00601770	
15.540000	-0.00428352	
15.559999	-0.00292513	
15.580000	0.00037616	
15.599999	0.00417061	
15.620000	0.00981516	
15.639999	0.01339099	
15.660000	0.01456271	
15.679999	0.01284647	
15.700000	0.00624368	
15.719999	0.00031924	
15.740000	-0.00493734	
15.759999	-0.00536244	
15.780000	-0.00576277	
15.799999	-0.00584610	
15.820000	-0.00506274	
15.839999	-0.00411481	
15.860000	-0.00170164	
15.880000	-0.00010069	
15.900000	0.00347842	
15.920000	0.00620490	
15.940000	0.00905161	
15.960000	0.00972772	
15.980000	0.00517198	
16.000000	0.00046362	
16.020000	-0.00441593	
16.039999	-0.00466612	
16.059999	-0.00553980	
16.080000	-0.00623943	
16.100000	-0.00579886	
16.119999	-0.00455886	
16.139999	-0.00197740	
16.160000	0.00050260	
16.180000	0.00625975	
16.199999	0.01067565	
16.219999	0.01284173	
16.240000	0.01166072	
16.260000	0.00524232	
16.279999	0.00007875	
16.299999	-0.00560230	
16.320000	-0.00610928	
16.340000	-0.00711703	
16.359999	-0.00768073	
16.379999	-0.00778984	
