Time	Left_Heel_y_baseline X
11.599999	-0.01129177	
11.620000	-0.01152554	
11.639999	-0.01152554	
11.660000	-0.01059005	
11.679999	-0.00972067	
11.700000	-0.00658238	
11.719999	-0.00362298	
11.740000	0.00137074	
11.759999	0.00419503	
11.780000	0.00764693	
11.800000	0.00874005	
11.820000	0.00798285	
11.840000	0.00541261	
11.860000	0.00044385	
11.880000	-0.00392431	
11.900000	-0.00825807	
11.920000	-0.01003653	
11.940000	-0.01118696	
11.960000	-0.01160538	
11.980000	-0.01158081	
12.000000	-0.01068257	
12.020000	-0.00815450	
12.040000	-0.00525017	
12.059999	0.00024447	
12.080000	0.00399852	
12.099999	0.00781664	
12.120000	0.00869359	
12.139999	0.00838427	
12.160000	0.00719188	
12.179999	0.00365850	
12.200000	-0.00011764	
12.219999	-0.00588126	
12.240000	-0.00918701	
12.259999	-0.01138368	
12.280000	-0.01159309	
12.300000	-0.01171018	
12.320000	-0.01150078	
12.340000	-0.01091880	
12.360000	-0.01056814	
12.380000	-0.00774406	
12.400000	-0.00529234	
12.420000	-0.00041263	
12.440000	0.00199305	
12.460000	0.00575876	
12.480000	0.00711839	
12.500000	0.00762995	
12.520000	0.00545661	
12.540000	0.00085407	
12.559999	-0.00345206	
12.580000	-0.00751787	
12.599999	-0.00917432	
12.620000	-0.01005782	
12.639999	-0.01009467	
12.660000	-0.00854875	
12.679999	-0.00711337	
12.700000	-0.00428888	
12.719999	-0.00252250	
12.740000	0.00204892	
12.759999	0.00596632	
12.780000	0.01071420	
12.799999	0.01254691	
12.820000	0.01238908	
12.840000	0.00984955	
12.860000	0.00432912	
12.880000	-0.00168547	
12.900000	-0.00806034	
12.920000	-0.01142810	
12.940000	-0.01356684	
12.960000	-0.01429927	
12.980000	-0.01503251	
13.000000	-0.01500754	
13.020000	-0.01385158	
13.040000	-0.01272060	
13.059999	-0.00850904	
13.080000	-0.00506246	
13.099999	0.00110382	
13.120000	0.00428408	
13.139999	0.00899102	
13.160000	0.01097868	
13.179999	0.01276737	
13.200000	0.01254588	
13.219999	0.01015536	
13.240000	0.00677675	
13.259999	0.00040823	
13.280000	-0.00437240	
13.299999	-0.00810680	
13.320000	-0.00873463	
13.340000	-0.00961772	
13.360000	-0.01033786	
13.380000	-0.01005660	
13.400000	-0.00856616	
13.420000	-0.00560267	
13.440000	-0.00304347	
13.460000	0.00205567	
13.480000	0.00616775	
13.500000	0.01187651	
13.520000	0.01467173	
13.540000	0.01642255	
13.559999	0.01593351	
13.580000	0.01251069	
13.599999	0.00803915	
13.620000	0.00053392	
13.639999	-0.00469644	
13.660000	-0.00916798	
13.679999	-0.01055935	
13.700000	-0.01108237	
13.719999	-0.01075095	
13.740000	-0.00997840	
13.759999	-0.00930411	
13.780000	-0.00675350	
13.799999	-0.00464466	
13.820000	-0.00166336	
13.840000	-0.00066973	
13.860000	-0.00012849	
13.880000	-0.00075059	
13.900000	-0.00422829	
13.920000	-0.00720958	
13.940000	-0.01100437	
13.960000	-0.01195419	
13.980000	-0.01338957	
14.000000	-0.01373203	
14.020000	-0.01349355	
14.040000	-0.01272081	
14.059999	-0.01042342	
14.080000	-0.00835572	
14.099999	-0.00491732	
14.120000	-0.00272393	
14.139999	0.00117116	
14.160000	0.00360201	
14.179999	0.00479870	
14.200000	0.00354387	
14.219999	-0.00087443	
14.240000	-0.00467435	
14.259999	-0.00885847	
14.280000	-0.00987953	
14.299999	-0.01063938	
14.320000	-0.01060008	
14.340000	-0.00955385	
14.360000	-0.00835244	
14.380000	-0.00591791	
14.400000	-0.00458939	
14.420000	-0.00242834	
14.440000	-0.00151515	
14.460000	0.00042829	
14.480000	0.00115745	
14.500000	-0.00076532	
14.520000	-0.00439778	
14.540000	-0.00872357	
14.559999	-0.01028667	
14.580000	-0.01094747	
14.599999	-0.01071370	
14.620000	-0.00920913	
