Time	Left_Hand_y_baseline X
10.460000	-0.00723976	
10.480000	-0.00710809	
10.500000	-0.00689822	
10.520000	-0.00689822	
10.540000	-0.00550109	
10.559999	-0.00272739	
10.580000	0.00205517	
10.599999	0.00542283	
10.620000	0.00552827	
10.639999	0.00234962	
10.660000	-0.00281066	
10.679999	-0.00608516	
10.700000	-0.00787544	
10.719999	-0.00766641	
10.740000	-0.00766641	
10.760000	-0.00787544	
10.780000	-0.00748920	
10.800000	-0.00689417	
10.820000	-0.00479871	
10.840000	-0.00332153	
10.860000	-0.00197589	
10.880000	-0.00229108	
10.900000	-0.00434250	
10.920000	-0.00628316	
10.940000	-0.00806344	
10.960000	-0.00808436	
10.980000	-0.00808436	
11.000000	-0.00808436	
11.020000	-0.00809383	
11.040000	-0.00809383	
11.059999	-0.00810325	
11.080000	-0.00809383	
11.099999	-0.00826329	
11.120000	-0.00825387	
11.139999	-0.00842327	
11.160000	-0.00825387	
11.179999	-0.00826323	
11.200000	-0.00809383	
11.219999	-0.00825924	
11.240000	-0.00824982	
11.259999	-0.00824982	
11.280000	-0.00808436	
11.300000	-0.00808436	
11.320000	-0.00808436	
11.340000	-0.00836682	
11.360000	-0.00864923	
11.380000	-0.00909543	
11.400000	-0.00909543	
11.420000	-0.00909543	
11.440000	-0.00893170	
11.460000	-0.00893170	
11.480000	-0.00893170	
11.500000	-0.00893170	
11.520000	-0.00893170	
11.540000	-0.00876790	
11.559999	-0.00876790	
11.580000	-0.00876790	
11.599999	-0.00893170	
11.620000	-0.00893170	
11.639999	-0.00864923	
11.660000	-0.00864923	
11.679999	-0.00848532	
11.700000	-0.00865859	
11.719999	-0.00854945	
11.740000	-0.00843084	
11.759999	-0.00825757	
11.780000	-0.00820309	
11.800000	-0.00820309	
11.820000	-0.00832158	
11.840000	-0.00848532	
11.860000	-0.00848532	
11.880000	-0.00836682	
11.900000	-0.00806344	
11.920000	-0.00806344	
11.940000	-0.00806344	
11.960000	-0.00808436	
11.980000	-0.00825757	
12.000000	-0.00843084	
12.020000	-0.00853783	
12.040000	-0.00836456	
12.059999	-0.00819135	
12.080000	-0.00808436	
12.099999	-0.00808436	
12.120000	-0.00808436	
12.139999	-0.00789881	
12.160000	-0.00789881	
12.179999	-0.00806421	
12.200000	-0.00824982	
12.219999	-0.00824982	
12.240000	-0.00808436	
12.259999	-0.00824982	
12.280000	-0.00824982	
12.300000	-0.00858682	
12.320000	-0.00859463	
12.340000	-0.00859463	
12.360000	-0.00825757	
12.380000	-0.00806344	
12.400000	-0.00806344	
12.420000	-0.00815690	
12.440000	-0.00828475	
12.460000	-0.00862163	
12.480000	-0.00870156	
12.500000	-0.00876790	
12.520000	-0.00860405	
12.540000	-0.00859624	
12.559999	-0.00842309	
12.580000	-0.00824982	
12.599999	-0.00808436	
12.620000	-0.00808436	
12.639999	-0.00808436	
12.660000	-0.00824982	
12.679999	-0.00824982	
