Time	Knöchel li X	Knöchel li Y	Knöchel li Weg	Knöchel li v(X)	Knöchel li v(Y)	Knöchel li v(Bahn)	Knöchel li a(X)	Knöchel li a(Y)	Knöchel li a(Bahn)
1.360000	-0.40280762	-0.51596445	0.42553455	0.10418987	0.24498120	0.26621667	-1.80787599	2.15154767	1.23697984	
1.380000	-0.40080461	-0.51022178	0.43161651	0.06630678	0.29458752	0.30195761	-2.01815081	1.93593884	1.37836814	
1.400000	-0.39972857	-0.50404924	0.43788216	0.02385315	0.33385444	0.33470547	-2.29655099	1.32621038	1.16194344	
1.420000	-0.39985865	-0.49602067	0.44591177	-0.02347801	0.36017287	0.36093727	-2.72910023	0.31123647	0.69859791	
1.440000	-0.40099838	-0.48867989	0.45334050	-0.07642542	0.36115804	0.36915576	-3.34430170	-0.94502586	0.43264446	
1.460000	-0.40279651	-0.48084089	0.46138307	-0.14540622	0.33009636	0.36070290	-4.11038160	-2.34987688	0.74945498	
1.480000	-0.40573713	-0.47413310	0.46870711	-0.23568027	0.26351675	0.35353398	-4.94463396	-3.75077844	1.73592818	
1.500000	-0.41059533	-0.46895131	0.47581014	-0.34773460	0.17126793	0.38762361	-5.66454792	-4.85561657	3.20546484	
1.520000	-0.41875622	-0.46622777	0.48441350	-0.47574183	0.05348981	0.47873944	-6.01198101	-5.45076036	4.70859575	
1.540000	-0.42993018	-0.46665049	0.49559546	-0.60893929	-0.07280444	0.61327606	-5.79975080	-5.50511980	5.66188192	
1.560000	-0.44391677	-0.46939975	0.50984967	-0.73369908	-0.19090143	0.75812775	-4.94236231	-4.99969530	5.57774782	
1.580000	-0.45992059	-0.47515529	0.52685696	-0.83160233	-0.28778067	0.87998873	-3.35913491	-3.91358900	4.24110031	
1.600000	-0.47789940	-0.48223671	0.54618013	-0.89034671	-0.35992077	0.96034378	-0.94617766	-2.41733789	1.69017911	
1.620000	-0.49731979	-0.49045473	0.56726772	-0.89748663	-0.39676958	0.98127896	2.14653921	-0.75295162	-1.68914986	
1.640000	-0.51638031	-0.49913323	0.58821094	-0.83267605	-0.39200616	0.92033595	5.35592699	0.83430153	-5.17840099	
1.660000	-0.53378683	-0.50774604	0.60763174	-0.67849582	-0.34963328	0.76328242	8.02557373	2.08510661	-7.81144571	
1.680000	-0.54718018	-0.51482749	0.62278193	-0.45418000	-0.28224999	0.53473783	9.60961723	2.76870561	-8.18387032	
1.700000	-0.55437303	-0.51975858	0.63150275	-0.21407719	-0.20958251	0.29958951	9.69542599	2.82749939	-6.39743423	
1.720000	-0.55437303	-0.52205956	0.63380373	-0.00396147	-0.14811823	0.14817119	8.22736263	2.39680266	-3.94737959	
1.740000	-0.54961079	-0.52378803	0.63886994	0.14777352	-0.10673846	0.18229128	5.80452681	1.75773966	-1.53686440	
1.760000	-0.54428285	-0.52534175	0.64441979	0.23151378	-0.08498452	0.24661914	3.34156752	1.18959510	0.37991703	
1.780000	-0.53932267	-0.52747583	0.64981955	0.25099358	-0.07448765	0.26181325	1.43593168	0.82637537	0.82579285	
1.800000	-0.53485769	-0.52907157	0.65456110	0.23891668	-0.06413780	0.24737591	0.23681760	0.64261955	0.10149096	
1.820000	-0.52959621	-0.53010643	0.65992337	0.22776590	-0.04960669	0.23310541	-0.26286781	0.55708879	-0.36654705	
1.840000	-0.52523911	-0.53067523	0.66431743	0.22576641	-0.03432133	0.22836030	-0.18886234	0.50174129	-0.27605116	
1.860000	-0.52095121	-0.53118110	0.66863507	0.22344331	-0.02557932	0.22490269	0.09140983	0.41804260	0.02698549	
1.880000	-0.51687831	-0.53154862	0.67272455	0.22454129	-0.02138688	0.22555751	0.25589189	0.31346884	0.21990317	
1.900000	-0.51211399	-0.53204262	0.67751443	0.23470561	-0.01751979	0.23535860	0.30490148	0.25032979	0.28683645	
1.920000	-0.50752968	-0.53239036	0.68211192	0.24782769	-0.01307030	0.24817212	0.31747410	0.24160415	0.30573124	
1.940000	-0.50214523	-0.53269237	0.68750483	0.25348279	-0.00699262	0.25357923	0.24303462	0.23794943	0.23514196	
1.960000	-0.49702254	-0.53265107	0.69262767	0.25503191	-0.00130435	0.25503525	0.07435366	0.21254916	0.07011589	
1.980000	-0.49143532	-0.53265107	0.69821489	0.25373191	0.00290672	0.25374857	-0.07602886	0.17100082	-0.07707585	
2.000000	-0.48699895	-0.53234905	0.70266151	0.25147352	0.00520646	0.25152740	-0.15408900	0.13407207	-0.15252209	
